operationId,平台,方法,路径,用途,所有者类型,UI_ID,责任模块,计划版本,权限,说明,状态
supportPostSupportTickets,CLIENT,POST,/api/v1/support/tickets,创建工单,PAGE_ACTION,SCR-AUTH-005;SCR-SUPPORT-002,Support,R15,登录,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
supportGetSupportTickets,CLIENT,GET,/api/v1/support/tickets,工单列表,PAGE_ACTION,SCR-SUPPORT-003,Support,R15,登录,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
supportGetSupportTicketsById,CLIENT,GET,/api/v1/support/tickets/{id},工单详情,PAGE_ACTION,SCR-SUPPORT-004,Support,R15,登录+所有者,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
supportPostSupportTicketsByIdMessages,CLIENT,POST,/api/v1/support/tickets/{id}/messages,补充消息,PAGE_ACTION,SCR-SUPPORT-004,Support,R15,登录+所有者,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
appReleaseGetAppVersionCheck,CLIENT,GET,/api/v1/app/version-check,登录后版本检查兼容接口；新客户端优先使用公开版本检查,PAGE_ACTION,SCR-APP-001,AppRelease,P00/R02/R29,登录可选,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
publicGetHomePage,CLIENT,GET,/public-api/v1/home-page,H5宣传页配置,PAGE_ACTION,H5-001,Public,R28,公开,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
publicGetAppLatest,CLIENT,GET,/public-api/v1/app/latest,最新APK下载信息,PAGE_ACTION,H5-001;H5-002;H5-003;SCR-APP-003,Public,R28,公开,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
publicGetShareContentsById,CLIENT,GET,/public-api/v1/share/contents/{id},分享预览,PAGE_ACTION,H5-004;H5-005;H5-006;H5-007,Public,R28,公开,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
publicGetInviteByCode,CLIENT,GET,/public-api/v1/invite/{code},邀请落地数据,PAGE_ACTION,H5-003,Public,R28,公开,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
publicGetInviteByCodeRegistrationConfig,CLIENT,GET,/public-api/v1/invite/{code}/registration-config,H5注册配置、邀请码状态、协议版本,PAGE_ACTION,H5-013,Public,R28,公开,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
publicGetAgreementsByCode,CLIENT,GET,/public-api/v1/agreements/{code},协议内容,PAGE_ACTION,H5-010;SCR-ABOUT-001;SCR-REF-008,Public,R28,公开,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
publicGetPlatformStatus,CLIENT,GET,/public-api/v1/platform/status,启动维护状态、注册/发布/红包/提现总开关和服务端时间,PAGE_ACTION,SCR-APP-001;SCR-APP-002,Public,P00/R02,公开,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
appReleasePostAppVersionCheck,CLIENT,POST,/public-api/v1/app/version-check,按平台、版本号、渠道和环境返回可选/强制更新策略,PAGE_ACTION,SCR-ABOUT-001;SCR-APP-001;SCR-APP-003,AppRelease,P00/R02/R29,公开,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
publicGetHelpArticlesById,CLIENT,GET,/public-api/v1/help/articles/{id},公开帮助文章详情,PAGE_ACTION,H5-002;H5-011,Public,R15/R28,公开,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminAdminAuthPostAuthLogin,ADMIN,POST,/admin-api/v1/auth/login,后台登录,PAGE_ACTION,ADM-AUTH-001,AdminAuth,R01,公开,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminAdminAuthPostAuthMfaVerify,ADMIN,POST,/admin-api/v1/auth/mfa/verify,二次验证,PAGE_ACTION,ADM-AUTH-002,AdminAuth,R01,已登录待二次验证,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminAdminAuthPostAuthLogout,ADMIN,POST,/admin-api/v1/auth/logout,退出,PAGE_ACTION,ADM-SECURITY-001,AdminAuth,R01,后台登录,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminDashboardGetDashboardSummary,ADMIN,GET,/admin-api/v1/dashboard/summary,总览指标,PAGE_ACTION,ADM-DASH-001,Dashboard,R30,dashboard.read,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminDashboardGetDashboardTodos,ADMIN,GET,/admin-api/v1/dashboard/todos,待办队列,PAGE_ACTION,ADM-DASH-001,Dashboard,R30,dashboard.read,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminUsersGetUsers,ADMIN,GET,/admin-api/v1/users,用户列表,PAGE_ACTION,ADM-USER-001;ADM-USER-002,Users,R02,user.read,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminUsersGetUsersById,ADMIN,GET,/admin-api/v1/users/{id},用户详情,PAGE_ACTION,ADM-USER-001;ADM-USER-002,Users,R02,user.read,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminUsersPostUsersByIdRestrictions,ADMIN,POST,/admin-api/v1/users/{id}/restrictions,新增/修改限制,PAGE_ACTION,ADM-USER-002,Users,R02,user.restrict,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminUsersDeleteUsersByIdRestrictionsByType,ADMIN,DELETE,/admin-api/v1/users/{id}/restrictions/{type},解除限制,PAGE_ACTION,ADM-USER-002,Users,R02,user.restrict,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminUsersPostUsersByIdFreeze,ADMIN,POST,/admin-api/v1/users/{id}/freeze,冻结账号,PAGE_ACTION,ADM-USER-002,Users,R02,user.freeze,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminUsersPostUsersByIdUnfreeze,ADMIN,POST,/admin-api/v1/users/{id}/unfreeze,解冻账号,PAGE_ACTION,ADM-USER-002,Users,R02,user.freeze,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminUsersPostUsersByIdForceLogout,ADMIN,POST,/admin-api/v1/users/{id}/force-logout,强制下线,PAGE_ACTION,ADM-USER-002,Users,R02,user.security,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminIdentityGetIdentities,ADMIN,GET,/admin-api/v1/identities,实名列表,PAGE_ACTION,ADM-ID-001;ADM-ID-002,Identity,R05,identity.read,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminIdentityGetIdentitiesByUserid,ADMIN,GET,/admin-api/v1/identities/{userId},实名详情,PAGE_ACTION,ADM-ID-001;ADM-ID-002,Identity,R05,identity.read,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminIdentityPostIdentitiesByUseridMediaAccess,ADMIN,POST,/admin-api/v1/identities/{userId}/media-access,获取短时原图预览,PAGE_ACTION,ADM-ID-002,Identity,R05,identity.media.view,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminIdentityPostIdentitySessionsByIdReview,ADMIN,POST,/admin-api/v1/identity-sessions/{id}/review,人工复核,PAGE_ACTION,ADM-ID-002,Identity,R05,identity.review,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminIdentityPostIdentitiesByUseridFreeze,ADMIN,POST,/admin-api/v1/identities/{userId}/freeze,冻结实名,PAGE_ACTION,ADM-ID-002,Identity,R05,identity.freeze,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminContentGetContents,ADMIN,GET,/admin-api/v1/contents,内容列表,PAGE_ACTION,ADM-CONTENT-001;ADM-CONTENT-002;ADM-CONTENT-003,Content,R06,content.read,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminContentGetContentsById,ADMIN,GET,/admin-api/v1/contents/{id},内容详情与版本,PAGE_ACTION,ADM-CONTENT-001;ADM-CONTENT-002;ADM-CONTENT-003,Content,R06,content.read,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminContentPostContentsByIdOnline,ADMIN,POST,/admin-api/v1/contents/{id}/online,平台上架,PAGE_ACTION,ADM-CONTENT-002;ADM-CONTENT-003,Content,R06,content.manage,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminContentPostContentsByIdOffline,ADMIN,POST,/admin-api/v1/contents/{id}/offline,平台下架,PAGE_ACTION,ADM-CONTENT-002;ADM-CONTENT-003,Content,R06,content.manage,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminContentPostContentsByIdBan,ADMIN,POST,/admin-api/v1/contents/{id}/ban,违规封禁,PAGE_ACTION,ADM-CONTENT-002;ADM-CONTENT-003,Content,R06,content.ban,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminContentPostContentsByIdRecommend,ADMIN,POST,/admin-api/v1/contents/{id}/recommend,运营推荐,PAGE_ACTION,ADM-CONTENT-002;ADM-CONTENT-003,Content,R06,content.recommend,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminContentPostContentsByIdOfficialMark,ADMIN,POST,/admin-api/v1/contents/{id}/official-mark,官方标识,PAGE_ACTION,ADM-CONTENT-002;ADM-CONTENT-003,Content,R06,content.official,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminContentGetContentDictionaries,ADMIN,GET,/admin-api/v1/content-dictionaries,内容字典,PAGE_ACTION,ADM-CONTENT-001;ADM-CONTENT-002;ADM-CONTENT-003,Content,R06,content.dict.read,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminContentPutContentDictionariesByCode,ADMIN,PUT,/admin-api/v1/content-dictionaries/{code},修改字典,PAGE_ACTION,ADM-CONTENT-003,Content,R06,content.dict.write,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminReviewGetReviewsQueue,ADMIN,GET,/admin-api/v1/reviews/queue,统一审核队列,PAGE_ACTION,ADM-REVIEW-001,Review,R12,review.read,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminReviewGetReviewsById,ADMIN,GET,/admin-api/v1/reviews/{id},审核详情,PAGE_ACTION,ADM-REVIEW-001,Review,R12,review.read,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminReviewPostReviewsByIdDecide,ADMIN,POST,/admin-api/v1/reviews/{id}/decide,通过/驳回/二审,PAGE_ACTION,ADM-REVIEW-001,Review,R12,review.decide,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminReviewPostReviewsByIdAssign,ADMIN,POST,/admin-api/v1/reviews/{id}/assign,分配审核员,PAGE_ACTION,ADM-REVIEW-001,Review,R12,review.assign,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminReportsGetContentReports,ADMIN,GET,/admin-api/v1/content-reports,内容举报列表,PAGE_ACTION,ADM-REVIEW-001,Reports,R15,report.read,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminReportsPostContentReportsByIdDecide,ADMIN,POST,/admin-api/v1/content-reports/{id}/decide,处理举报,PAGE_ACTION,ADM-REPORT-001,Reports,R15,report.decide,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminAppealsGetAppeals,ADMIN,GET,/admin-api/v1/appeals,申诉列表,PAGE_ACTION,ADM-REVIEW-001,Appeals,R15,appeal.read,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminAppealsPostAppealsByIdDecide,ADMIN,POST,/admin-api/v1/appeals/{id}/decide,处理申诉,PAGE_ACTION,ADM-APPEAL-001,Appeals,R15,appeal.decide,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminRedPacketGetRedPacketCampaigns,ADMIN,GET,/admin-api/v1/red-packet-campaigns,红包活动列表,PAGE_ACTION,ADM-RP-001;ADM-RP-002;ADM-RP-003;ADM-RP-004,RedPacket,R20-R23,redpacket.read,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminRedPacketGetRedPacketCampaignsById,ADMIN,GET,/admin-api/v1/red-packet-campaigns/{id},活动详情,PAGE_ACTION,ADM-RP-001;ADM-RP-002;ADM-RP-003;ADM-RP-004,RedPacket,R20-R23,redpacket.read,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminRedPacketPostRedPacketCampaignsByIdReview,ADMIN,POST,/admin-api/v1/red-packet-campaigns/{id}/review,预审核,PAGE_ACTION,ADM-RP-002;ADM-RP-003;ADM-RP-004,RedPacket,R20-R23,redpacket.review,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminRedPacketPostRedPacketCampaignsByIdPause,ADMIN,POST,/admin-api/v1/red-packet-campaigns/{id}/pause,平台暂停,PAGE_ACTION,ADM-RP-002;ADM-RP-003;ADM-RP-004,RedPacket,R20-R23,redpacket.manage,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminRedPacketPostRedPacketCampaignsByIdResume,ADMIN,POST,/admin-api/v1/red-packet-campaigns/{id}/resume,恢复,PAGE_ACTION,ADM-RP-002;ADM-RP-003;ADM-RP-004,RedPacket,R20-R23,redpacket.manage,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminRedPacketPostRedPacketCampaignsByIdTerminate,ADMIN,POST,/admin-api/v1/red-packet-campaigns/{id}/terminate,平台终止且不退款,PAGE_ACTION,ADM-RP-002;ADM-RP-003;ADM-RP-004,RedPacket,R20-R23,redpacket.terminate,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminRedPacketGetRedPacketCampaignsByIdSessions,ADMIN,GET,/admin-api/v1/red-packet-campaigns/{id}/sessions,浏览会话和锁定,PAGE_ACTION,ADM-RP-001;ADM-RP-002;ADM-RP-003;ADM-RP-004,RedPacket,R20-R23,redpacket.read,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminRedPacketGetRedPacketCampaignsByIdClaims,ADMIN,GET,/admin-api/v1/red-packet-campaigns/{id}/claims,领取记录,PAGE_ACTION,ADM-RP-001;ADM-RP-002;ADM-RP-003;ADM-RP-004,RedPacket,R20-R23,redpacket.read,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminRedPacketGetRedPacketCampaignsByIdLedger,ADMIN,GET,/admin-api/v1/red-packet-campaigns/{id}/ledger,红包账本,PAGE_ACTION,ADM-RP-001,RedPacket,R20-R23,redpacket.finance,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminProductsGetProducts,ADMIN,GET,/admin-api/v1/products,商品列表,PAGE_ACTION,ADM-PROD-001,Products,R16,product.read,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminProductsPostProducts,ADMIN,POST,/admin-api/v1/products,创建商品,PAGE_ACTION,ADM-PROD-001,Products,R16,product.write,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminProductsPatchProductsById,ADMIN,PATCH,/admin-api/v1/products/{id},修改商品,PAGE_ACTION,ADM-PROD-001,Products,R16,product.write,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminProductsGetSkus,ADMIN,GET,/admin-api/v1/skus,SKU列表,PAGE_ACTION,ADM-PROD-001,Products,R16,product.read,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminProductsPostSkus,ADMIN,POST,/admin-api/v1/skus,创建SKU,PAGE_ACTION,ADM-PROD-001,Products,R16,product.write,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminProductsPatchSkusById,ADMIN,PATCH,/admin-api/v1/skus/{id},修改SKU,PAGE_ACTION,ADM-PROD-001,Products,R16,product.write,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminOrdersGetOrders,ADMIN,GET,/admin-api/v1/orders,订单列表,PAGE_ACTION,ADM-ORDER-001,Orders,R16,order.read,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminOrdersGetOrdersByOrderno,ADMIN,GET,/admin-api/v1/orders/{orderNo},订单详情,PAGE_ACTION,ADM-ORDER-001,Orders,R16,order.read,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminPaymentsGetPayments,ADMIN,GET,/admin-api/v1/payments,支付交易,PAGE_ACTION,ADM-PAY-001;ADM-RECON-001,Payments,R17,payment.read,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminPaymentsGetPaymentCallbacks,ADMIN,GET,/admin-api/v1/payment-callbacks,支付回调日志,PAGE_ACTION,ADM-PAY-001;ADM-RECON-001,Payments,R17,payment.read,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminPaymentsPostPaymentsByIdQuery,ADMIN,POST,/admin-api/v1/payments/{id}/query,主动查单,PAGE_ACTION,ADM-PAY-001;ADM-RECON-001,Payments,R17,payment.query,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminPaymentsGetPaymentExceptions,ADMIN,GET,/admin-api/v1/payment-exceptions,异常账务,PAGE_ACTION,ADM-PAY-001;ADM-RECON-001,Payments,R17,payment.exception.read,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminPaymentsPostPaymentExceptionsByIdResolve,ADMIN,POST,/admin-api/v1/payment-exceptions/{id}/resolve,处理异常账务,PAGE_ACTION,ADM-PAY-001;ADM-RECON-001,Payments,R17,payment.exception.resolve,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminPaymentsPostPaymentReconciliationRun,ADMIN,POST,/admin-api/v1/payment-reconciliation/run,执行对账,PAGE_ACTION,ADM-PAY-001;ADM-RECON-001,Payments,R17,payment.reconcile,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminRewardsGetRewardAccounts,ADMIN,GET,/admin-api/v1/reward-accounts,奖励账户列表,PAGE_ACTION,ADM-REWARD-001;ADM-REWARD-002,Rewards,R24,reward.read,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminRewardsGetRewardAccountsByUseridLedger,ADMIN,GET,/admin-api/v1/reward-accounts/{userId}/ledger,用户奖励流水,PAGE_ACTION,ADM-REWARD-001;ADM-REWARD-002,Rewards,R24,reward.read,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminRewardsPostRewardAdjustments,ADMIN,POST,/admin-api/v1/reward-adjustments,创建奖励调整申请,PAGE_ACTION,ADM-REWARD-001,Rewards,R24,reward.adjust.request,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminWithdrawalsGetWithdrawals,ADMIN,GET,/admin-api/v1/withdrawals,提现列表,PAGE_ACTION,ADM-WD-001;ADM-WD-002,Withdrawals,R24,withdrawal.read,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminWithdrawalsGetWithdrawalsById,ADMIN,GET,/admin-api/v1/withdrawals/{id},提现详情,PAGE_ACTION,ADM-WD-001;ADM-WD-002,Withdrawals,R24,withdrawal.read,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminWithdrawalsPostWithdrawalsByIdRiskReview,ADMIN,POST,/admin-api/v1/withdrawals/{id}/risk-review,风控审核,PAGE_ACTION,ADM-WD-002,Withdrawals,R24,withdrawal.risk,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminWithdrawalsPostWithdrawalsByIdFinanceReview,ADMIN,POST,/admin-api/v1/withdrawals/{id}/finance-review,财务审核,PAGE_ACTION,ADM-WD-002,Withdrawals,R24,withdrawal.finance,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminWithdrawalsPostWithdrawalsByIdPayout,ADMIN,POST,/admin-api/v1/withdrawals/{id}/payout,发起出款,PAGE_ACTION,ADM-WD-002,Withdrawals,R24,withdrawal.payout,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminWithdrawalsPostWithdrawalsByIdQuery,ADMIN,POST,/admin-api/v1/withdrawals/{id}/query,查询出款,PAGE_ACTION,ADM-WD-002,Withdrawals,R24,withdrawal.payout,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminMembershipGetMembershipSkus,ADMIN,GET,/admin-api/v1/membership/skus,会员SKU,PAGE_ACTION,ADM-MEMBER-001;ADM-MEMBER-002,Membership,R18,membership.read,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminMembershipPatchMembershipSkusById,ADMIN,PATCH,/admin-api/v1/membership/skus/{id},价格和期限,PAGE_ACTION,ADM-MEMBER-001;ADM-MEMBER-002,Membership,R18,membership.write,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminMembershipPutMembershipSkusByIdBenefits,ADMIN,PUT,/admin-api/v1/membership/skus/{id}/benefits,权益配置,PAGE_ACTION,ADM-MEMBER-001;ADM-MEMBER-002,Membership,R18,membership.write,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminMembershipGetUserMemberships,ADMIN,GET,/admin-api/v1/user-memberships,用户会员,PAGE_ACTION,ADM-MEMBER-001;ADM-MEMBER-002,Membership,R18,membership.read,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminMembershipPostUserMembershipsGrants,ADMIN,POST,/admin-api/v1/user-memberships/grants,人工赠送,PAGE_ACTION,ADM-MEMBER-001,Membership,R18,membership.grant,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminPropsGetProps,ADMIN,GET,/admin-api/v1/props,道具定义和SKU,PAGE_ACTION,ADM-PROP-001;ADM-PROP-002;ADM-PROP-003,Props,R19,prop.read,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminPropsPatchPropsById,ADMIN,PATCH,/admin-api/v1/props/{id},修改道具,PAGE_ACTION,ADM-PROP-001;ADM-PROP-002;ADM-PROP-003,Props,R19,prop.write,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminPropsGetHeadlineSlots,ADMIN,GET,/admin-api/v1/headline-slots,头条资源位,PAGE_ACTION,ADM-PROP-001;ADM-PROP-002;ADM-PROP-003,Props,R19,prop.slot.read,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminPropsPostHeadlineSlots,ADMIN,POST,/admin-api/v1/headline-slots,创建资源位,PAGE_ACTION,ADM-PROP-001;ADM-PROP-003,Props,R19,prop.slot.write,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminPropsGetPropExecutions,ADMIN,GET,/admin-api/v1/prop-executions,执行日志,PAGE_ACTION,ADM-PROP-001;ADM-PROP-002;ADM-PROP-003,Props,R19,prop.read,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminReferralGetReferralRelations,ADMIN,GET,/admin-api/v1/referral-relations,邀请关系列表,PAGE_ACTION,ADM-REF-001;ADM-REF-002;ADM-REF-003;ADM-REF-004;ADM-REF-005;ADM-REF-006,Referral,R25-R26,referral.read,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminReferralPostReferralRelationsByInviteeidAdjust,ADMIN,POST,/admin-api/v1/referral-relations/{inviteeId}/adjust,纠纷调整关系,PAGE_ACTION,ADM-REF-001;ADM-REF-002;ADM-REF-004;ADM-REF-005;ADM-REF-006,Referral,R25-R26,referral.adjust,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminReferralGetCommissionPolicies,ADMIN,GET,/admin-api/v1/commission-policies,佣金策略,PAGE_ACTION,ADM-REF-001;ADM-REF-002;ADM-REF-003;ADM-REF-004;ADM-REF-005;ADM-REF-006,Referral,R25-R26,commission.read,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminReferralPostCommissionPolicies,ADMIN,POST,/admin-api/v1/commission-policies,创建策略版本,PAGE_ACTION,ADM-REF-001;ADM-REF-002;ADM-REF-004;ADM-REF-005;ADM-REF-006,Referral,R25-R26,commission.write,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminReferralGetCommissions,ADMIN,GET,/admin-api/v1/commissions,佣金记录,PAGE_ACTION,ADM-REF-001;ADM-REF-002;ADM-REF-003;ADM-REF-004;ADM-REF-005;ADM-REF-006,Referral,R25-R26,commission.read,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminReferralActivityGetReferralActivityRules,ADMIN,GET,/admin-api/v1/referral-activity/rules,行为规则,PAGE_ACTION,ADM-REF-001;ADM-REF-002;ADM-REF-003;ADM-REF-004;ADM-REF-005;ADM-REF-006,ReferralActivity,R30,referral.activity.read,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminReferralActivityPostReferralActivityRuleVersions,ADMIN,POST,/admin-api/v1/referral-activity/rule-versions,创建规则版本,PAGE_ACTION,ADM-REF-001;ADM-REF-002;ADM-REF-004;ADM-REF-005;ADM-REF-006,ReferralActivity,R30,referral.activity.write,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminReferralActivityGetReferralActivityProgress,ADMIN,GET,/admin-api/v1/referral-activity/progress,直推进度,PAGE_ACTION,ADM-REF-001;ADM-REF-002;ADM-REF-003;ADM-REF-004;ADM-REF-005;ADM-REF-006,ReferralActivity,R30,referral.activity.read,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminReferralActivityGetReferralActivityMilestones,ADMIN,GET,/admin-api/v1/referral-activity/milestones,档位与矩阵,PAGE_ACTION,ADM-REF-003,ReferralActivity,R30,referral.activity.read,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminReferralActivityPutReferralActivityMilestones,ADMIN,PUT,/admin-api/v1/referral-activity/milestones,保存档位矩阵新版本,PAGE_ACTION,ADM-REF-006,ReferralActivity,R30,referral.activity.write,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminReferralActivityGetReferralActivityRewards,ADMIN,GET,/admin-api/v1/referral-activity/rewards,阶梯奖励记录,PAGE_ACTION,ADM-REF-003,ReferralActivity,R30,referral.activity.read,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminTasksGetTasks,ADMIN,GET,/admin-api/v1/tasks,任务定义,PAGE_ACTION,ADM-TASK-001;ADM-TASK-002,Tasks,R27,task.read,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminTasksPostTasks,ADMIN,POST,/admin-api/v1/tasks,创建任务,PAGE_ACTION,ADM-TASK-001,Tasks,R27,task.write,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminTasksPatchTasksById,ADMIN,PATCH,/admin-api/v1/tasks/{id},修改任务,PAGE_ACTION,ADM-TASK-001;ADM-TASK-002,Tasks,R27,task.write,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminTasksGetTaskProgress,ADMIN,GET,/admin-api/v1/task-progress,用户任务进度,PAGE_ACTION,ADM-TASK-001;ADM-TASK-002,Tasks,R27,task.read,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminTasksGetGrowthBudgets,ADMIN,GET,/admin-api/v1/growth-budgets,增长预算,PAGE_ACTION,ADM-TASK-001;ADM-TASK-002,Tasks,R27,task.budget.read,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminTasksPutGrowthBudgetsById,ADMIN,PUT,/admin-api/v1/growth-budgets/{id},修改预算,PAGE_ACTION,ADM-TASK-001;ADM-TASK-002,Tasks,R27,task.budget.write,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminChatGetChatReports,ADMIN,GET,/admin-api/v1/chat-reports,聊天举报,PAGE_ACTION,ADM-CHAT-001,Chat,R15,chat.report.read,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminChatPostChatReportsByIdDecide,ADMIN,POST,/admin-api/v1/chat-reports/{id}/decide,处理聊天举报,PAGE_ACTION,ADM-CHAT-001,Chat,R15,chat.report.decide,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminSupportGetSupportTickets,ADMIN,GET,/admin-api/v1/support/tickets,工单列表,PAGE_ACTION,ADM-SUPPORT-001,Support,R15,support.read,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminSupportGetSupportTicketsById,ADMIN,GET,/admin-api/v1/support/tickets/{id},工单详情,PAGE_ACTION,ADM-SUPPORT-001,Support,R15,support.read,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
adminSupportPostSupportTicketsByIdAssign,ADMIN,POST,/admin-api/v1/support/tickets/{id}/assign,分配客服,PAGE_ACTION,ADM-SUPPORT-002,Support,R15,support.assign,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
