状态ID,页面ID,平台,页面,状态码,进入条件,展示行为,允许操作,禁用操作,恢复策略,埋点事件,是否终态,成熟度
STA-00455,SCR-MYC-005,ANDROID,内容数据,OFFLINE,网络不可用,只读页面可展示标记为缓存的数据；写操作禁用,重试网络,与当前状态、权限或服务端version冲突的所有写操作,恢复网络后主动刷新,page_state_scr_myc_005_offline,否,FROZEN_V1.2.2
STA-00456,SCR-MSG-001,ANDROID,消息中心,LOADING,首屏数据请求进行中,显示与最终布局一致的骨架屏,返回,与当前状态、权限或服务端version冲突的所有写操作,失败后显示重试,page_state_scr_msg_001_loading,否,FROZEN_V1.2.2
STA-00457,SCR-MSG-001,ANDROID,消息中心,CONTENT,核心数据完整且可交互,展示内容并按权限/状态机计算操作入口,页面定义的读写动作,与当前状态、权限或服务端version冲突的所有写操作,刷新或执行操作,page_state_scr_msg_001_content,否,FROZEN_V1.2.2
STA-00458,SCR-MSG-001,ANDROID,消息中心,PARTIAL_CONTENT,部分模块成功、部分模块失败,保留成功模块，失败模块显示局部重试,重试失败模块,与当前状态、权限或服务端version冲突的所有写操作,不得将局部失败升级为全页失败,page_state_scr_msg_001_partial_content,否,FROZEN_V1.2.2
STA-00459,SCR-MSG-001,ANDROID,消息中心,REFRESHING,已有内容上执行刷新,保留内容并显示轻量刷新指示,取消刷新,与当前状态、权限或服务端version冲突的所有写操作,失败保留旧数据,page_state_scr_msg_001_refreshing,否,FROZEN_V1.2.2
STA-00460,SCR-MSG-001,ANDROID,消息中心,ERROR,请求失败且无法展示可靠内容,展示稳定错误码、requestId、重试和返回,重试/返回,与当前状态、权限或服务端version冲突的所有写操作,按错误码恢复,page_state_scr_msg_001_error,否,FROZEN_V1.2.2
STA-00461,SCR-MSG-001,ANDROID,消息中心,OFFLINE,网络不可用,只读页面可展示标记为缓存的数据；写操作禁用,重试网络,与当前状态、权限或服务端version冲突的所有写操作,恢复网络后主动刷新,page_state_scr_msg_001_offline,否,FROZEN_V1.2.2
STA-00462,SCR-CHAT-001,ANDROID,会话列表,CONNECTING,即时连接建立或恢复中,显示连接状态；允许浏览已加载消息,返回,与当前状态或权限冲突的写操作,连接成功进入CONTENT,page_state_scr_chat_001_connecting,否,FROZEN_V1.2.2
STA-00463,SCR-CHAT-001,ANDROID,会话列表,CONTENT,核心数据完整且可交互,展示内容并按权限/状态机计算操作入口,页面定义的读写动作,与当前状态或权限冲突的写操作,刷新或执行操作,page_state_scr_chat_001_content,否,FROZEN_V1.2.2
STA-00464,SCR-CHAT-001,ANDROID,会话列表,EMPTY,查询成功但无符合条件的数据,展示业务化空状态、当前筛选和明确下一步,清除筛选/创建/返回,与当前状态或权限冲突的写操作,修改筛选或执行主行动,page_state_scr_chat_001_empty,否,FROZEN_V1.2.2
STA-00465,SCR-CHAT-001,ANDROID,会话列表,OFFLINE,网络不可用,只读页面可展示标记为缓存的数据；写操作禁用,重试网络,与当前状态或权限冲突的写操作,恢复网络后主动刷新,page_state_scr_chat_001_offline,否,FROZEN_V1.2.2
STA-00466,SCR-CHAT-001,ANDROID,会话列表,SYNCING,消息增量同步中,保留列表并去重合并,取消,与当前状态或权限冲突的写操作,乱序按服务端序列处理,page_state_scr_chat_001_syncing,否,FROZEN_V1.2.2
STA-00467,SCR-CHAT-001,ANDROID,会话列表,ERROR,请求失败且无法展示可靠内容,展示面向用户的失败原因、重试和返回，不显示内部诊断信息,重试/返回,与当前状态或权限冲突的写操作,按用户可见错误类型恢复,page_state_scr_chat_001_error,否,FROZEN_V1.2.2
STA-00468,SCR-CHAT-002,ANDROID,私聊页,CONNECTING,即时连接建立或恢复中,显示连接状态；允许浏览已加载消息,返回,与当前状态或权限冲突的写操作,连接成功进入CONTENT,page_state_scr_chat_002_connecting,否,FROZEN_V1.2.2
STA-00469,SCR-CHAT-002,ANDROID,私聊页,CONTENT,核心数据完整且可交互,展示内容并按权限/状态机计算操作入口,页面定义的读写动作,与当前状态或权限冲突的写操作,刷新或执行操作,page_state_scr_chat_002_content,否,FROZEN_V1.2.2
STA-00470,SCR-CHAT-002,ANDROID,私聊页,SENDING,消息发送中,对应消息气泡显示发送中状态,等待；失败后可重试或删除本地失败项,与当前状态或权限冲突的写操作,服务端确认后进入已发送状态；失败时保留单条重试,page_state_scr_chat_002_sending,否,FROZEN_V1.2.2
STA-00471,SCR-CHAT-002,ANDROID,私聊页,OFFLINE,网络不可用,只读页面可展示标记为缓存的数据；写操作禁用,重试网络,与当前状态或权限冲突的写操作,恢复网络后主动刷新,page_state_scr_chat_002_offline,否,FROZEN_V1.2.2
STA-00472,SCR-CHAT-002,ANDROID,私聊页,BLOCKED,系统维护、强制更新或账号限制阻断,显示当前无法发送消息及可执行的解除拉黑或返回操作,解除拉黑（允许时）/返回,与当前状态或权限冲突的写操作,服务端确认解除后恢复输入区,page_state_scr_chat_002_blocked,是,FROZEN_V1.2.2
STA-00473,SCR-CHAT-002,ANDROID,私聊页,ERROR,请求失败且无法展示可靠内容,展示面向用户的失败原因、重试和返回，不显示内部诊断信息,重试/返回,与当前状态或权限冲突的写操作,按用户可见错误类型恢复,page_state_scr_chat_002_error,否,FROZEN_V1.2.2
STA-00474,SHEET-CHAT-001,ANDROID,发送联系方式,OPEN,由页面业务状态机进入,按“OPEN”状态展示标准状态区,按页面动作矩阵,与当前状态或权限冲突的写操作,重新查询服务端事实,page_state_sheet_chat_001_open,否,FROZEN_V1.2.2
STA-00475,SHEET-CHAT-001,ANDROID,发送联系方式,EDITING,用户正在编辑表单,显示字段、帮助、脏状态和保存/提交入口,编辑/保存/提交/取消,与当前状态或权限冲突的写操作,离开时执行脏表单保护,page_state_sheet_chat_001_editing,否,FROZEN_V1.2.2
STA-00476,SHEET-CHAT-001,ANDROID,发送联系方式,SUBMITTING,写请求已提交，结果未确定,锁定同资源写操作，保留输入，展示进度,查询结果/取消（业务允许时）,与当前状态或权限冲突的写操作,不得重复生成新业务意图,page_state_sheet_chat_001_submitting,否,FROZEN_V1.2.2
STA-00477,SHEET-CHAT-001,ANDROID,发送联系方式,SUCCESS,操作成功且服务端已返回事实,展示明确结果并刷新关联数据,继续/返回/查看详情,与当前状态或权限冲突的写操作,一次性敏感输入立即清除,page_state_sheet_chat_001_success,是,FROZEN_V1.2.2
STA-00478,SHEET-CHAT-001,ANDROID,发送联系方式,ERROR,请求失败且无法展示可靠内容,展示面向用户的失败原因、重试和返回，不显示内部诊断信息,重试/返回,与当前状态或权限冲突的写操作,按用户可见错误类型恢复,page_state_sheet_chat_001_error,否,FROZEN_V1.2.2
STA-00479,SHEET-CHAT-001,ANDROID,发送联系方式,OFFLINE,网络不可用,只读页面可展示标记为缓存的数据；写操作禁用,重试网络,与当前状态或权限冲突的写操作,恢复网络后主动刷新,page_state_sheet_chat_001_offline,否,FROZEN_V1.2.2
STA-00480,SHEET-CHAT-002,ANDROID,聊天举报,OPEN,由页面业务状态机进入,按“OPEN”状态展示标准状态区,按页面动作矩阵,与当前状态或权限冲突的写操作,重新查询服务端事实,page_state_sheet_chat_002_open,否,FROZEN_V1.2.2
STA-00481,SHEET-CHAT-002,ANDROID,聊天举报,EDITING,用户正在编辑表单,显示字段、帮助、脏状态和保存/提交入口,编辑/保存/提交/取消,与当前状态或权限冲突的写操作,离开时执行脏表单保护,page_state_sheet_chat_002_editing,否,FROZEN_V1.2.2
STA-00482,SHEET-CHAT-002,ANDROID,聊天举报,SUBMITTING,写请求已提交，结果未确定,锁定同资源写操作，保留输入，展示进度,查询结果/取消（业务允许时）,与当前状态或权限冲突的写操作,不得重复生成新业务意图,page_state_sheet_chat_002_submitting,否,FROZEN_V1.2.2
STA-00483,SHEET-CHAT-002,ANDROID,聊天举报,SUCCESS,操作成功且服务端已返回事实,展示明确结果并刷新关联数据,继续/返回/查看详情,与当前状态或权限冲突的写操作,一次性敏感输入立即清除,page_state_sheet_chat_002_success,是,FROZEN_V1.2.2
STA-00484,SHEET-CHAT-002,ANDROID,聊天举报,ERROR,请求失败且无法展示可靠内容,展示面向用户的失败原因、重试和返回，不显示内部诊断信息,重试/返回,与当前状态或权限冲突的写操作,按用户可见错误类型恢复,page_state_sheet_chat_002_error,否,FROZEN_V1.2.2
STA-00490,SHEET-CHAT-002,ANDROID,聊天举报,OFFLINE,网络不可用,只读页面可展示标记为缓存的数据；写操作禁用,重试网络,与当前状态或权限冲突的写操作,恢复网络后主动刷新,page_state_sheet_chat_002_offline,否,FROZEN_V1.2.2
STA-00491,SCR-NOTICE-001,ANDROID,通知列表,LOADING,首屏数据请求进行中,显示与最终布局一致的骨架屏,返回,与当前状态、权限或服务端version冲突的所有写操作,失败后显示重试,page_state_scr_notice_001_loading,否,FROZEN_V1.2.2
STA-00492,SCR-NOTICE-001,ANDROID,通知列表,CONTENT,核心数据完整且可交互,展示内容并按权限/状态机计算操作入口,页面定义的读写动作,与当前状态、权限或服务端version冲突的所有写操作,刷新或执行操作,page_state_scr_notice_001_content,否,FROZEN_V1.2.2
STA-00493,SCR-NOTICE-001,ANDROID,通知列表,EMPTY,查询成功但无符合条件的数据,展示业务化空状态、当前筛选和明确下一步,清除筛选/创建/返回,与当前状态、权限或服务端version冲突的所有写操作,修改筛选或执行主行动,page_state_scr_notice_001_empty,否,FROZEN_V1.2.2
STA-00494,SCR-NOTICE-001,ANDROID,通知列表,REFRESHING,已有内容上执行刷新,保留内容并显示轻量刷新指示,取消刷新,与当前状态、权限或服务端version冲突的所有写操作,失败保留旧数据,page_state_scr_notice_001_refreshing,否,FROZEN_V1.2.2
STA-00495,SCR-NOTICE-001,ANDROID,通知列表,APPENDING,列表加载下一页,列表尾部加载器；已加载项保持可用,取消翻页,与当前状态、权限或服务端version冲突的所有写操作,失败提供尾部重试,page_state_scr_notice_001_appending,否,FROZEN_V1.2.2
STA-00496,SCR-NOTICE-001,ANDROID,通知列表,PARTIAL_ERROR,非首屏请求或单模块失败,保留现有内容并在对应区域提示,局部重试,与当前状态、权限或服务端version冲突的所有写操作,成功后回到CONTENT,page_state_scr_notice_001_partial_error,否,FROZEN_V1.2.2
STA-00497,SCR-NOTICE-001,ANDROID,通知列表,ERROR,请求失败且无法展示可靠内容,展示稳定错误码、requestId、重试和返回,重试/返回,与当前状态、权限或服务端version冲突的所有写操作,按错误码恢复,page_state_scr_notice_001_error,否,FROZEN_V1.2.2
STA-00498,SCR-NOTICE-001,ANDROID,通知列表,OFFLINE,网络不可用,只读页面可展示标记为缓存的数据；写操作禁用,重试网络,与当前状态、权限或服务端version冲突的所有写操作,恢复网络后主动刷新,page_state_scr_notice_001_offline,否,FROZEN_V1.2.2
STA-00499,SCR-NOTICE-002,ANDROID,通知详情,LOADING,首屏数据请求进行中,显示与最终布局一致的骨架屏,返回,与当前状态、权限或服务端version冲突的所有写操作,失败后显示重试,page_state_scr_notice_002_loading,否,FROZEN_V1.2.2
STA-00500,SCR-NOTICE-002,ANDROID,通知详情,CONTENT,核心数据完整且可交互,展示内容并按权限/状态机计算操作入口,页面定义的读写动作,与当前状态、权限或服务端version冲突的所有写操作,刷新或执行操作,page_state_scr_notice_002_content,否,FROZEN_V1.2.2
STA-00501,SCR-NOTICE-002,ANDROID,通知详情,STALE_CACHE,展示最近缓存但未验证最新版本,明确标记可能过期，禁用依赖版本的写操作,刷新,与当前状态、权限或服务端version冲突的所有写操作,成功后进入CONTENT,page_state_scr_notice_002_stale_cache,否,FROZEN_V1.2.2
STA-00502,SCR-NOTICE-002,ANDROID,通知详情,NOT_FOUND,资源不存在、已删除或不再可访问,显示资源状态，移除无效入口,返回来源列表,与当前状态、权限或服务端version冲突的所有写操作,来源列表同步更新,page_state_scr_notice_002_not_found,是,FROZEN_V1.2.2
STA-00503,SCR-NOTICE-002,ANDROID,通知详情,FORBIDDEN,已认证但无页面或字段权限,展示无权限原因，不泄露资源是否存在,返回,与当前状态、权限或服务端version冲突的所有写操作,权限变化后重新进入,page_state_scr_notice_002_forbidden,是,FROZEN_V1.2.2
STA-00504,SCR-NOTICE-002,ANDROID,通知详情,ERROR,请求失败且无法展示可靠内容,展示稳定错误码、requestId、重试和返回,重试/返回,与当前状态、权限或服务端version冲突的所有写操作,按错误码恢复,page_state_scr_notice_002_error,否,FROZEN_V1.2.2
STA-00505,SCR-NOTICE-002,ANDROID,通知详情,OFFLINE,网络不可用,只读页面可展示标记为缓存的数据；写操作禁用,重试网络,与当前状态、权限或服务端version冲突的所有写操作,恢复网络后主动刷新,page_state_scr_notice_002_offline,否,FROZEN_V1.2.2
STA-00506,SCR-ANN-001,ANDROID,公告列表,LOADING,首屏数据请求进行中,显示与最终布局一致的骨架屏,返回,与当前状态、权限或服务端version冲突的所有写操作,失败后显示重试,page_state_scr_ann_001_loading,否,FROZEN_V1.2.2
STA-00507,SCR-ANN-001,ANDROID,公告列表,CONTENT,核心数据完整且可交互,展示内容并按权限/状态机计算操作入口,页面定义的读写动作,与当前状态、权限或服务端version冲突的所有写操作,刷新或执行操作,page_state_scr_ann_001_content,否,FROZEN_V1.2.2
STA-00508,SCR-ANN-001,ANDROID,公告列表,EMPTY,查询成功但无符合条件的数据,展示业务化空状态、当前筛选和明确下一步,清除筛选/创建/返回,与当前状态、权限或服务端version冲突的所有写操作,修改筛选或执行主行动,page_state_scr_ann_001_empty,否,FROZEN_V1.2.2
STA-00509,SCR-ANN-001,ANDROID,公告列表,REFRESHING,已有内容上执行刷新,保留内容并显示轻量刷新指示,取消刷新,与当前状态、权限或服务端version冲突的所有写操作,失败保留旧数据,page_state_scr_ann_001_refreshing,否,FROZEN_V1.2.2
STA-00510,SCR-ANN-001,ANDROID,公告列表,APPENDING,列表加载下一页,列表尾部加载器；已加载项保持可用,取消翻页,与当前状态、权限或服务端version冲突的所有写操作,失败提供尾部重试,page_state_scr_ann_001_appending,否,FROZEN_V1.2.2
STA-00511,SCR-ANN-001,ANDROID,公告列表,PARTIAL_ERROR,非首屏请求或单模块失败,保留现有内容并在对应区域提示,局部重试,与当前状态、权限或服务端version冲突的所有写操作,成功后回到CONTENT,page_state_scr_ann_001_partial_error,否,FROZEN_V1.2.2
STA-00512,SCR-ANN-001,ANDROID,公告列表,ERROR,请求失败且无法展示可靠内容,展示稳定错误码、requestId、重试和返回,重试/返回,与当前状态、权限或服务端version冲突的所有写操作,按错误码恢复,page_state_scr_ann_001_error,否,FROZEN_V1.2.2
STA-00513,SCR-ANN-001,ANDROID,公告列表,OFFLINE,网络不可用,只读页面可展示标记为缓存的数据；写操作禁用,重试网络,与当前状态、权限或服务端version冲突的所有写操作,恢复网络后主动刷新,page_state_scr_ann_001_offline,否,FROZEN_V1.2.2
STA-00514,SCR-ANN-002,ANDROID,公告详情,LOADING,首屏数据请求进行中,显示与最终布局一致的骨架屏,返回,与当前状态、权限或服务端version冲突的所有写操作,失败后显示重试,page_state_scr_ann_002_loading,否,FROZEN_V1.2.2
STA-00515,SCR-ANN-002,ANDROID,公告详情,CONTENT,核心数据完整且可交互,展示内容并按权限/状态机计算操作入口,页面定义的读写动作,与当前状态、权限或服务端version冲突的所有写操作,刷新或执行操作,page_state_scr_ann_002_content,否,FROZEN_V1.2.2
STA-00516,SCR-ANN-002,ANDROID,公告详情,STALE_CACHE,展示最近缓存但未验证最新版本,明确标记可能过期，禁用依赖版本的写操作,刷新,与当前状态、权限或服务端version冲突的所有写操作,成功后进入CONTENT,page_state_scr_ann_002_stale_cache,否,FROZEN_V1.2.2
STA-00517,SCR-ANN-002,ANDROID,公告详情,NOT_FOUND,资源不存在、已删除或不再可访问,显示资源状态，移除无效入口,返回来源列表,与当前状态、权限或服务端version冲突的所有写操作,来源列表同步更新,page_state_scr_ann_002_not_found,是,FROZEN_V1.2.2
STA-00518,SCR-ANN-002,ANDROID,公告详情,FORBIDDEN,已认证但无页面或字段权限,展示无权限原因，不泄露资源是否存在,返回,与当前状态、权限或服务端version冲突的所有写操作,权限变化后重新进入,page_state_scr_ann_002_forbidden,是,FROZEN_V1.2.2
STA-00519,SCR-ANN-002,ANDROID,公告详情,ERROR,请求失败且无法展示可靠内容,展示稳定错误码、requestId、重试和返回,重试/返回,与当前状态、权限或服务端version冲突的所有写操作,按错误码恢复,page_state_scr_ann_002_error,否,FROZEN_V1.2.2
STA-00520,SCR-ANN-002,ANDROID,公告详情,OFFLINE,网络不可用,只读页面可展示标记为缓存的数据；写操作禁用,重试网络,与当前状态、权限或服务端version冲突的所有写操作,恢复网络后主动刷新,page_state_scr_ann_002_offline,否,FROZEN_V1.2.2
STA-00521,SCR-ME-001,ANDROID,我的首页,LOADING,首屏数据请求进行中,显示与最终布局一致的骨架屏,返回,与当前状态、权限或服务端version冲突的所有写操作,失败后显示重试,page_state_scr_me_001_loading,否,FROZEN_V1.2.2
STA-00522,SCR-ME-001,ANDROID,我的首页,CONTENT,核心数据完整且可交互,展示内容并按权限/状态机计算操作入口,页面定义的读写动作,与当前状态、权限或服务端version冲突的所有写操作,刷新或执行操作,page_state_scr_me_001_content,否,FROZEN_V1.2.2
STA-00523,SCR-ME-001,ANDROID,我的首页,PARTIAL_CONTENT,部分模块成功、部分模块失败,保留成功模块，失败模块显示局部重试,重试失败模块,与当前状态、权限或服务端version冲突的所有写操作,不得将局部失败升级为全页失败,page_state_scr_me_001_partial_content,否,FROZEN_V1.2.2
STA-00524,SCR-ME-001,ANDROID,我的首页,REFRESHING,已有内容上执行刷新,保留内容并显示轻量刷新指示,取消刷新,与当前状态、权限或服务端version冲突的所有写操作,失败保留旧数据,page_state_scr_me_001_refreshing,否,FROZEN_V1.2.2
STA-00525,SCR-ME-001,ANDROID,我的首页,ERROR,三项请求均失败且无法展示可靠内容,展示商业化失败说明和重试操作；技术诊断仅保留在受控日志,重试,与当前状态、权限或服务端version冲突的所有写操作,按模块恢复；不得展示错误码、requestId或traceId,page_state_scr_me_001_error,否,FROZEN_V1.2.2
STA-00526,SCR-ME-001,ANDROID,我的首页,OFFLINE,网络不可用,只读页面可展示标记为缓存的数据；写操作禁用,重试网络,与当前状态、权限或服务端version冲突的所有写操作,恢复网络后主动刷新,page_state_scr_me_001_offline,否,FROZEN_V1.2.2
STA-00527,SCR-ME-002,ANDROID,个人资料,EDITING,用户正在编辑表单,显示字段、帮助、脏状态和保存/提交入口,编辑/保存/提交/取消,与当前状态、权限或服务端version冲突的所有写操作,离开时执行脏表单保护,page_state_scr_me_002_editing,否,FROZEN_V1.2.2
STA-00528,SCR-ME-002,ANDROID,个人资料,DIRTY,存在未保存变更,显示未保存标识和离开确认,保存/放弃,与当前状态、权限或服务端version冲突的所有写操作,禁止静默丢失,page_state_scr_me_002_dirty,否,FROZEN_V1.2.2
STA-00529,SCR-ME-002,ANDROID,个人资料,AUTOSAVING,由页面业务状态机进入,按“AUTOSAVING”状态展示标准状态区,按页面动作矩阵,与当前状态、权限或服务端version冲突的所有写操作,重新查询服务端事实,page_state_scr_me_002_autosaving,否,FROZEN_V1.2.2
STA-00530,SCR-ME-002,ANDROID,个人资料,VALIDATING,正在验证一次性state或输入,显示处理中，不暴露敏感参数,返回（允许时）,与当前状态、权限或服务端version冲突的所有写操作,参数立即从URL清理,page_state_scr_me_002_validating,否,FROZEN_V1.2.2
STA-00531,SCR-ME-002,ANDROID,个人资料,SUBMITTING,写请求已提交，结果未确定,锁定同资源写操作，保留输入，展示进度,查询结果/取消（业务允许时）,与当前状态、权限或服务端version冲突的所有写操作,不得重复生成新业务意图,page_state_scr_me_002_submitting,否,FROZEN_V1.2.2
STA-00532,SCR-ME-002,ANDROID,个人资料,SUCCESS,操作成功且服务端已返回事实,展示明确结果并刷新关联数据,继续/返回/查看详情,与当前状态、权限或服务端version冲突的所有写操作,一次性敏感输入立即清除,page_state_scr_me_002_success,是,FROZEN_V1.2.2
STA-00533,SCR-ME-002,ANDROID,个人资料,ERROR,请求失败且无法展示可靠内容,展示稳定错误码、requestId、重试和返回,重试/返回,与当前状态、权限或服务端version冲突的所有写操作,按错误码恢复,page_state_scr_me_002_error,否,FROZEN_V1.2.2
STA-00534,SCR-ME-002,ANDROID,个人资料,CONFLICT,expectedVersion或状态机冲突,展示数据已变化和差异摘要,重新加载/放弃本地变更,与当前状态、权限或服务端version冲突的所有写操作,禁止盲目覆盖,page_state_scr_me_002_conflict,否,FROZEN_V1.2.2
STA-00535,SCR-ME-002,ANDROID,个人资料,OFFLINE,网络不可用,只读页面可展示标记为缓存的数据；写操作禁用,重试网络,与当前状态、权限或服务端version冲突的所有写操作,恢复网络后主动刷新,page_state_scr_me_002_offline,否,FROZEN_V1.2.2
STA-00536,SCR-FAV-001,ANDROID,我的收藏,LOADING,首屏数据请求进行中,显示与最终布局一致的骨架屏,返回,与当前状态、权限或服务端version冲突的所有写操作,失败后显示重试,page_state_scr_fav_001_loading,否,FROZEN_V1.2.2
STA-00537,SCR-FAV-001,ANDROID,我的收藏,CONTENT,核心数据完整且可交互,展示内容并按权限/状态机计算操作入口,页面定义的读写动作,与当前状态、权限或服务端version冲突的所有写操作,刷新或执行操作,page_state_scr_fav_001_content,否,FROZEN_V1.2.2
STA-00538,SCR-FAV-001,ANDROID,我的收藏,EMPTY,查询成功但无符合条件的数据,展示业务化空状态、当前筛选和明确下一步,清除筛选/创建/返回,与当前状态、权限或服务端version冲突的所有写操作,修改筛选或执行主行动,page_state_scr_fav_001_empty,否,FROZEN_V1.2.2
STA-00539,SCR-FAV-001,ANDROID,我的收藏,REFRESHING,已有内容上执行刷新,保留内容并显示轻量刷新指示,取消刷新,与当前状态、权限或服务端version冲突的所有写操作,失败保留旧数据,page_state_scr_fav_001_refreshing,否,FROZEN_V1.2.2
STA-00540,SCR-FAV-001,ANDROID,我的收藏,APPENDING,列表加载下一页,列表尾部加载器；已加载项保持可用,取消翻页,与当前状态、权限或服务端version冲突的所有写操作,失败提供尾部重试,page_state_scr_fav_001_appending,否,FROZEN_V1.2.2
STA-00541,SCR-FAV-001,ANDROID,我的收藏,PARTIAL_ERROR,非首屏请求或单模块失败,保留现有内容并在对应区域提示,局部重试,与当前状态、权限或服务端version冲突的所有写操作,成功后回到CONTENT,page_state_scr_fav_001_partial_error,否,FROZEN_V1.2.2
STA-00542,SCR-FAV-001,ANDROID,我的收藏,ERROR,请求失败且无法展示可靠内容,展示稳定错误码、requestId、重试和返回,重试/返回,与当前状态、权限或服务端version冲突的所有写操作,按错误码恢复,page_state_scr_fav_001_error,否,FROZEN_V1.2.2
STA-00543,SCR-FAV-001,ANDROID,我的收藏,OFFLINE,网络不可用,只读页面可展示标记为缓存的数据；写操作禁用,重试网络,与当前状态、权限或服务端version冲突的所有写操作,恢复网络后主动刷新,page_state_scr_fav_001_offline,否,FROZEN_V1.2.2
STA-00544,SCR-HIS-001,ANDROID,浏览记录,LOADING,首屏数据请求进行中,显示与最终布局一致的骨架屏,返回,与当前状态、权限或服务端version冲突的所有写操作,失败后显示重试,page_state_scr_his_001_loading,否,FROZEN_V1.2.2
STA-00545,SCR-HIS-001,ANDROID,浏览记录,CONTENT,核心数据完整且可交互,展示内容并按权限/状态机计算操作入口,页面定义的读写动作,与当前状态、权限或服务端version冲突的所有写操作,刷新或执行操作,page_state_scr_his_001_content,否,FROZEN_V1.2.2
STA-00546,SCR-HIS-001,ANDROID,浏览记录,EMPTY,查询成功但无符合条件的数据,展示业务化空状态、当前筛选和明确下一步,清除筛选/创建/返回,与当前状态、权限或服务端version冲突的所有写操作,修改筛选或执行主行动,page_state_scr_his_001_empty,否,FROZEN_V1.2.2
STA-00547,SCR-HIS-001,ANDROID,浏览记录,REFRESHING,已有内容上执行刷新,保留内容并显示轻量刷新指示,取消刷新,与当前状态、权限或服务端version冲突的所有写操作,失败保留旧数据,page_state_scr_his_001_refreshing,否,FROZEN_V1.2.2
STA-00548,SCR-HIS-001,ANDROID,浏览记录,APPENDING,列表加载下一页,列表尾部加载器；已加载项保持可用,取消翻页,与当前状态、权限或服务端version冲突的所有写操作,失败提供尾部重试,page_state_scr_his_001_appending,否,FROZEN_V1.2.2
STA-00549,SCR-HIS-001,ANDROID,浏览记录,PARTIAL_ERROR,非首屏请求或单模块失败,保留现有内容并在对应区域提示,局部重试,与当前状态、权限或服务端version冲突的所有写操作,成功后回到CONTENT,page_state_scr_his_001_partial_error,否,FROZEN_V1.2.2
STA-00550,SCR-HIS-001,ANDROID,浏览记录,ERROR,请求失败且无法展示可靠内容,展示稳定错误码、requestId、重试和返回,重试/返回,与当前状态、权限或服务端version冲突的所有写操作,按错误码恢复,page_state_scr_his_001_error,否,FROZEN_V1.2.2
STA-00551,SCR-HIS-001,ANDROID,浏览记录,OFFLINE,网络不可用,只读页面可展示标记为缓存的数据；写操作禁用,重试网络,与当前状态、权限或服务端version冲突的所有写操作,恢复网络后主动刷新,page_state_scr_his_001_offline,否,FROZEN_V1.2.2
STA-00552,SCR-ORDER-001,ANDROID,订单列表,LOADING,首屏数据请求进行中,显示与最终布局一致的骨架屏,返回,与当前状态、权限或服务端version冲突的所有写操作,失败后显示重试,page_state_scr_order_001_loading,否,FROZEN_V1.2.2
STA-00553,SCR-ORDER-001,ANDROID,订单列表,CONTENT,核心数据完整且可交互,展示内容并按权限/状态机计算操作入口,页面定义的读写动作,与当前状态、权限或服务端version冲突的所有写操作,刷新或执行操作,page_state_scr_order_001_content,否,FROZEN_V1.2.2
STA-00554,SCR-ORDER-001,ANDROID,订单列表,EMPTY,查询成功但无符合条件的数据,展示当前筛选、暂无订单说明和返回路径；不得出现创建订单或联系客服,清除筛选/返回,与当前状态、权限或服务端version冲突的所有写操作,修改筛选或执行主行动,page_state_scr_order_001_empty,否,FROZEN_R16_CR0440
STA-00555,SCR-ORDER-001,ANDROID,订单列表,REFRESHING,已有内容上执行刷新,保留内容并显示轻量刷新指示,取消刷新,与当前状态、权限或服务端version冲突的所有写操作,失败保留旧数据,page_state_scr_order_001_refreshing,否,FROZEN_V1.2.2
STA-00556,SCR-ORDER-001,ANDROID,订单列表,APPENDING,列表加载下一页,列表尾部加载器；已加载项保持可用,取消翻页,与当前状态、权限或服务端version冲突的所有写操作,失败提供尾部重试,page_state_scr_order_001_appending,否,FROZEN_V1.2.2
STA-00557,SCR-ORDER-001,ANDROID,订单列表,PARTIAL_ERROR,非首屏请求或单模块失败,保留现有内容并在对应区域提示,局部重试,与当前状态、权限或服务端version冲突的所有写操作,成功后回到CONTENT,page_state_scr_order_001_partial_error,否,FROZEN_V1.2.2
STA-00558,SCR-ORDER-001,ANDROID,订单列表,ERROR,请求失败且无法展示可靠内容,展示稳定错误码、requestId、重试和返回,重试/返回,与当前状态、权限或服务端version冲突的所有写操作,按错误码恢复,page_state_scr_order_001_error,否,FROZEN_V1.2.2
STA-00559,SCR-ORDER-001,ANDROID,订单列表,OFFLINE,网络不可用,只读页面可展示标记为缓存的数据；写操作禁用,重试网络,与当前状态、权限或服务端version冲突的所有写操作,恢复网络后主动刷新,page_state_scr_order_001_offline,否,FROZEN_V1.2.2
STA-00560,SCR-ORDER-002,ANDROID,订单详情,LOADING,首屏数据请求进行中,显示与最终布局一致的骨架屏,返回,与当前状态、权限或服务端version冲突的所有写操作,失败后显示重试,page_state_scr_order_002_loading,否,FROZEN_V1.2.2
STA-00561,SCR-ORDER-002,ANDROID,订单详情,CONTENT,核心数据完整且可交互,展示内容并按权限/状态机计算操作入口,页面定义的读写动作,与当前状态、权限或服务端version冲突的所有写操作,刷新或执行操作,page_state_scr_order_002_content,否,FROZEN_V1.2.2
STA-00562,SCR-ORDER-002,ANDROID,订单详情,STALE_CACHE,展示最近缓存但未验证最新版本,明确标记可能过期，禁用依赖版本的写操作,刷新,与当前状态、权限或服务端version冲突的所有写操作,成功后进入CONTENT,page_state_scr_order_002_stale_cache,否,FROZEN_V1.2.2
