页面ID,页面,模块,路由,模板ID,筛选项,默认排序,表格列,冻结列,可排序字段,批量操作,行操作,详情Tab,导出字段,导出策略,脱敏规则,审批规则,确认规则,成功反馈,失败恢复,空状态,权限,数据分级,审计事件,计划版本,成熟度
ADM-WD-002,提现详情,提现,/finance/withdrawals/:id,ADM-FINANCE,页码;每页数量;游标;状态;关键词;排序,createdAt:desc,ID;withdrawal No;用户ID;状态;金额;fee Cent;net Amount Cent;payout Account Masked;失败代码;创建时间;completed At;版本,ID/名称;状态;主金额（财务页）;操作,createdAt;updatedAt;status;amountCent（存在时）；仅允许后端白名单,无默认批量业务写操作；除非页面规格明确，不得因表格组件能力自行增加,风控审核;财务审核;发起出款;查询出款,申请信息;账户脱敏;风控;财务复核;出款记录;回调对账;状态历史,ID;withdrawal No;用户ID;状态;金额;fee Cent;net Amount Cent;payout Account Masked;失败代码;创建时间;completed At;版本,仅具备 export.create 权限可导出；异步任务、字段白名单、默认脱敏、用途必填、下载审计,手机号/身份证/支付账号/IP/设备指纹/SecretRef默认脱敏；查看原文需字段权限、会话升级、目的说明和访问审计,以下操作必须绑定双人审批：发起出款;查询出款,不可逆或高影响操作展示目标、影响范围、原因、审批单、服务端version；确认文案不得使用含糊的“确定”,更新当前行/详情、状态计数和待办；显示操作结果、requestId和审计入口；禁止仅Toast不更新数据,字段错误就地提示；409重新加载差异；422保留输入；权限变化立即收回入口；首屏/翻页采用不同错误态,展示当前筛选、无数据原因和可执行下一步；不得使用无上下文的空白表格,读：withdrawal.read；写：withdrawal.manage,HIGH,admin_page_adm_wd_002_operation,R24,FROZEN_OPERATIONAL_V1.2.2
ADM-MEMBER-001,会员SKU,会员,/commerce/membership/skus,ADM-LIST,页码;每页数量;游标;状态;关键词;排序,updatedAt:desc,ID;SKU;名称;状态;starts At;过期时间;权益;paid Value Cent;remaining Value Cent;版本,ID/名称;状态;主金额（财务页）;操作,createdAt;updatedAt;status;amountCent（存在时）；仅允许后端白名单,无默认批量业务写操作；除非页面规格明确，不得因表格组件能力自行增加,价格和期限;权益配置;人工赠送,概览;业务数据;状态历史;关联对象;操作审计,ID;SKU;名称;状态;starts At;过期时间;权益;paid Value Cent;remaining Value Cent;版本,具备页面读取和 export.create 权限可异步导出当前筛选；禁止导出未展示或无权限字段,手机号/身份证/支付账号/IP/设备指纹/SecretRef默认脱敏；查看原文需字段权限、会话升级、目的说明和访问审计,普通保存按页面权限；涉及资金、秘密、生产发布、永久处罚或高风险导出时自动升级为双人审批,不可逆或高影响操作展示目标、影响范围、原因、审批单、服务端version；确认文案不得使用含糊的“确定”,更新当前行/详情、状态计数和待办；显示操作结果、requestId和审计入口；禁止仅Toast不更新数据,字段错误就地提示；409重新加载差异；422保留输入；权限变化立即收回入口；首屏/翻页采用不同错误态,展示当前筛选、无数据原因和可执行下一步；不得使用无上下文的空白表格,读：membership.manage；写：membership.manage,NORMAL,admin_page_adm_member_001_operation,R18,FROZEN_OPERATIONAL_V1.2.2
ADM-MEMBER-002,用户会员,会员,/commerce/membership/users,ADM-LIST,页码;每页数量;游标;状态;关键词;排序,createdAt:desc,ID;SKU;名称;状态;starts At;过期时间;权益;paid Value Cent;remaining Value Cent;版本,ID/名称;状态;主金额（财务页）;操作,createdAt;updatedAt;status;amountCent（存在时）；仅允许后端白名单,无默认批量业务写操作；除非页面规格明确，不得因表格组件能力自行增加,价格和期限;权益配置,概览;业务数据;状态历史;关联对象;操作审计,ID;SKU;名称;状态;starts At;过期时间;权益;paid Value Cent;remaining Value Cent;版本,具备页面读取和 export.create 权限可异步导出当前筛选；禁止导出未展示或无权限字段,手机号/身份证/支付账号/IP/设备指纹/SecretRef默认脱敏；查看原文需字段权限、会话升级、目的说明和访问审计,普通保存按页面权限；涉及资金、秘密、生产发布、永久处罚或高风险导出时自动升级为双人审批,不可逆或高影响操作展示目标、影响范围、原因、审批单、服务端version；确认文案不得使用含糊的“确定”,更新当前行/详情、状态计数和待办；显示操作结果、requestId和审计入口；禁止仅Toast不更新数据,字段错误就地提示；409重新加载差异；422保留输入；权限变化立即收回入口；首屏/翻页采用不同错误态,展示当前筛选、无数据原因和可执行下一步；不得使用无上下文的空白表格,读：membership.manage；写：membership.manage,NORMAL,admin_page_adm_member_002_operation,R18,FROZEN_OPERATIONAL_V1.2.2
ADM-PROP-001,道具商品,道具,/commerce/props/products,ADM-LIST,页码;每页数量;游标;状态;关键词;排序,updatedAt:desc,ID;prop Type;名称;数量;状态;过期时间;配置;版本,ID/名称;状态;主金额（财务页）;操作,createdAt;updatedAt;status;amountCent（存在时）；仅允许后端白名单,无默认批量业务写操作；除非页面规格明确，不得因表格组件能力自行增加,修改道具;创建资源位,概览;业务数据;状态历史;关联对象;操作审计,ID;prop Type;名称;数量;状态;过期时间;配置;版本,具备页面读取和 export.create 权限可异步导出当前筛选；禁止导出未展示或无权限字段,手机号/身份证/支付账号/IP/设备指纹/SecretRef默认脱敏；查看原文需字段权限、会话升级、目的说明和访问审计,普通保存按页面权限；涉及资金、秘密、生产发布、永久处罚或高风险导出时自动升级为双人审批,不可逆或高影响操作展示目标、影响范围、原因、审批单、服务端version；确认文案不得使用含糊的“确定”,更新当前行/详情、状态计数和待办；显示操作结果、requestId和审计入口；禁止仅Toast不更新数据,字段错误就地提示；409重新加载差异；422保留输入；权限变化立即收回入口；首屏/翻页采用不同错误态,展示当前筛选、无数据原因和可执行下一步；不得使用无上下文的空白表格,读：prop.manage；写：prop.manage,NORMAL,admin_page_adm_prop_001_operation,R19,FROZEN_OPERATIONAL_V1.2.2
ADM-PROP-002,资源位与排期,道具,/commerce/props/slots,ADM-LIST,页码;每页数量;游标;状态;关键词;排序,createdAt:desc,ID;prop Type;名称;数量;状态;过期时间;配置;版本,ID/名称;状态;主金额（财务页）;操作,createdAt;updatedAt;status;amountCent（存在时）；仅允许后端白名单,无默认批量业务写操作；除非页面规格明确，不得因表格组件能力自行增加,修改道具,概览;业务数据;状态历史;关联对象;操作审计,ID;prop Type;名称;数量;状态;过期时间;配置;版本,具备页面读取和 export.create 权限可异步导出当前筛选；禁止导出未展示或无权限字段,手机号/身份证/支付账号/IP/设备指纹/SecretRef默认脱敏；查看原文需字段权限、会话升级、目的说明和访问审计,普通保存按页面权限；涉及资金、秘密、生产发布、永久处罚或高风险导出时自动升级为双人审批,不可逆或高影响操作展示目标、影响范围、原因、审批单、服务端version；确认文案不得使用含糊的“确定”,更新当前行/详情、状态计数和待办；显示操作结果、requestId和审计入口；禁止仅Toast不更新数据,字段错误就地提示；409重新加载差异；422保留输入；权限变化立即收回入口；首屏/翻页采用不同错误态,展示当前筛选、无数据原因和可执行下一步；不得使用无上下文的空白表格,读：prop.manage；写：prop.manage,NORMAL,admin_page_adm_prop_002_operation,R19,FROZEN_OPERATIONAL_V1.2.2
ADM-PROP-003,执行日志,道具,/commerce/props/executions,ADM-LIST,页码;每页数量;游标;状态;关键词;排序,createdAt:desc,ID;prop Type;名称;数量;状态;过期时间;配置;版本,ID/名称;状态;主金额（财务页）;操作,createdAt;updatedAt;status;amountCent（存在时）；仅允许后端白名单,无默认批量业务写操作；除非页面规格明确，不得因表格组件能力自行增加,修改道具;创建资源位,概览;业务数据;状态历史;关联对象;操作审计,ID;prop Type;名称;数量;状态;过期时间;配置;版本,具备页面读取和 export.create 权限可异步导出当前筛选；禁止导出未展示或无权限字段,手机号/身份证/支付账号/IP/设备指纹/SecretRef默认脱敏；查看原文需字段权限、会话升级、目的说明和访问审计,普通保存按页面权限；涉及资金、秘密、生产发布、永久处罚或高风险导出时自动升级为双人审批,不可逆或高影响操作展示目标、影响范围、原因、审批单、服务端version；确认文案不得使用含糊的“确定”,更新当前行/详情、状态计数和待办；显示操作结果、requestId和审计入口；禁止仅Toast不更新数据,字段错误就地提示；409重新加载差异；422保留输入；权限变化立即收回入口；首屏/翻页采用不同错误态,展示当前筛选、无数据原因和可执行下一步；不得使用无上下文的空白表格,读：prop.manage；写：prop.manage,NORMAL,admin_page_adm_prop_003_operation,R19,FROZEN_OPERATIONAL_V1.2.2
ADM-REF-001,邀请关系,推广,/growth/referrals,ADM-LIST,页码;每页数量;游标;状态;关键词;排序,createdAt:desc,用户ID;邀请码;直推人数;二级人数;合格直推人数;待结算佣金;已结算佣金;奖励档位;版本;rule Version;风险分;qualified;milestone Code;reward Status,ID/名称;状态;主金额（财务页）;操作,createdAt;updatedAt;status;amountCent（存在时）；仅允许后端白名单,无默认批量业务写操作；除非页面规格明确，不得因表格组件能力自行增加,纠纷调整关系;创建策略版本;创建规则版本,关系;事件;佣金;奖励;风险;调整历史,用户ID;邀请码;直推人数;二级人数;合格直推人数;待结算佣金;已结算佣金;奖励档位;版本;rule Version;风险分;qualified;milestone Code;reward Status,具备页面读取和 export.create 权限可异步导出当前筛选；禁止导出未展示或无权限字段,手机号/身份证/支付账号/IP/设备指纹/SecretRef默认脱敏；查看原文需字段权限、会话升级、目的说明和访问审计,以下操作必须绑定双人审批：纠纷调整关系,不可逆或高影响操作展示目标、影响范围、原因、审批单、服务端version；确认文案不得使用含糊的“确定”,更新当前行/详情、状态计数和待办；显示操作结果、requestId和审计入口；禁止仅Toast不更新数据,字段错误就地提示；409重新加载差异；422保留输入；权限变化立即收回入口；首屏/翻页采用不同错误态,展示当前筛选、无数据原因和可执行下一步；不得使用无上下文的空白表格,读：referral.read；写：referral.manage,NORMAL,admin_page_adm_ref_001_operation,R25,FROZEN_OPERATIONAL_V1.2.2
ADM-REF-002,佣金策略,推广,/growth/commissions/policies,ADM-LIST,页码;每页数量;游标;状态;关键词;排序,createdAt:desc,用户ID;邀请码;直推人数;二级人数;合格直推人数;待结算佣金;已结算佣金;奖励档位;版本;rule Version;风险分;qualified;milestone Code;reward Status,ID/名称;状态;主金额（财务页）;操作,createdAt;updatedAt;status;amountCent（存在时）；仅允许后端白名单,无默认批量业务写操作；除非页面规格明确，不得因表格组件能力自行增加,纠纷调整关系;创建策略版本;创建规则版本,关系;事件;佣金;奖励;风险;调整历史,用户ID;邀请码;直推人数;二级人数;合格直推人数;待结算佣金;已结算佣金;奖励档位;版本;rule Version;风险分;qualified;milestone Code;reward Status,具备页面读取和 export.create 权限可异步导出当前筛选；禁止导出未展示或无权限字段,手机号/身份证/支付账号/IP/设备指纹/SecretRef默认脱敏；查看原文需字段权限、会话升级、目的说明和访问审计,以下操作必须绑定双人审批：纠纷调整关系,不可逆或高影响操作展示目标、影响范围、原因、审批单、服务端version；确认文案不得使用含糊的“确定”,更新当前行/详情、状态计数和待办；显示操作结果、requestId和审计入口；禁止仅Toast不更新数据,字段错误就地提示；409重新加载差异；422保留输入；权限变化立即收回入口；首屏/翻页采用不同错误态,展示当前筛选、无数据原因和可执行下一步；不得使用无上下文的空白表格,读：referral.read；写：referral.manage,NORMAL,admin_page_adm_ref_002_operation,R25,FROZEN_OPERATIONAL_V1.2.2
ADM-REF-003,佣金记录,推广,/growth/commissions/records,ADM-FINANCE,页码;每页数量;游标;状态;关键词;排序,createdAt:desc,用户ID;邀请码;直推人数;二级人数;合格直推人数;待结算佣金;已结算佣金;奖励档位;版本;rule Version;风险分;qualified;milestone Code;reward Status,ID/名称;状态;主金额（财务页）;操作,createdAt;updatedAt;status;amountCent（存在时）；仅允许后端白名单,无批量写操作,查看详情,关系;事件;佣金;奖励;风险;调整历史,用户ID;邀请码;直推人数;二级人数;合格直推人数;待结算佣金;已结算佣金;奖励档位;版本;rule Version;风险分;qualified;milestone Code;reward Status,具备页面读取和 export.create 权限可异步导出当前筛选；禁止导出未展示或无权限字段,手机号/身份证/支付账号/IP/设备指纹/SecretRef默认脱敏；查看原文需字段权限、会话升级、目的说明和访问审计,普通保存按页面权限；涉及资金、秘密、生产发布、永久处罚或高风险导出时自动升级为双人审批,不可逆或高影响操作展示目标、影响范围、原因、审批单、服务端version；确认文案不得使用含糊的“确定”,更新当前行/详情、状态计数和待办；显示操作结果、requestId和审计入口；禁止仅Toast不更新数据,字段错误就地提示；409重新加载差异；422保留输入；权限变化立即收回入口；首屏/翻页采用不同错误态,展示当前筛选、无数据原因和可执行下一步；不得使用无上下文的空白表格,读：referral.read；写：referral.manage,NORMAL,admin_page_adm_ref_003_operation,R25,FROZEN_OPERATIONAL_V1.2.2
ADM-REF-004,直推活跃规则,推广,/growth/referral-activity/rules,ADM-LIST,页码;每页数量;游标;状态;关键词;排序,updatedAt:desc,用户ID;邀请码;直推人数;二级人数;合格直推人数;待结算佣金;已结算佣金;奖励档位;版本;rule Version;风险分;qualified;milestone Code;reward Status,ID/名称;状态;主金额（财务页）;操作,createdAt;updatedAt;status;amountCent（存在时）；仅允许后端白名单,无默认批量业务写操作；除非页面规格明确，不得因表格组件能力自行增加,纠纷调整关系;创建策略版本;创建规则版本,关系;事件;佣金;奖励;风险;调整历史,用户ID;邀请码;直推人数;二级人数;合格直推人数;待结算佣金;已结算佣金;奖励档位;版本;rule Version;风险分;qualified;milestone Code;reward Status,具备页面读取和 export.create 权限可异步导出当前筛选；禁止导出未展示或无权限字段,手机号/身份证/支付账号/IP/设备指纹/SecretRef默认脱敏；查看原文需字段权限、会话升级、目的说明和访问审计,以下操作必须绑定双人审批：纠纷调整关系,不可逆或高影响操作展示目标、影响范围、原因、审批单、服务端version；确认文案不得使用含糊的“确定”,更新当前行/详情、状态计数和待办；显示操作结果、requestId和审计入口；禁止仅Toast不更新数据,字段错误就地提示；409重新加载差异；422保留输入；权限变化立即收回入口；首屏/翻页采用不同错误态,展示当前筛选、无数据原因和可执行下一步；不得使用无上下文的空白表格,读：referral.read；写：referral.manage,NORMAL,admin_page_adm_ref_004_operation,R26,FROZEN_OPERATIONAL_V1.2.2
ADM-REF-005,直推进度,推广,/growth/referral-activity/progress,ADM-LIST,页码;每页数量;游标;状态;关键词;排序,createdAt:desc,用户ID;邀请码;直推人数;二级人数;合格直推人数;待结算佣金;已结算佣金;奖励档位;版本;rule Version;风险分;qualified;milestone Code;reward Status,ID/名称;状态;主金额（财务页）;操作,createdAt;updatedAt;status;amountCent（存在时）；仅允许后端白名单,无默认批量业务写操作；除非页面规格明确，不得因表格组件能力自行增加,纠纷调整关系;创建策略版本;创建规则版本,关系;事件;佣金;奖励;风险;调整历史,用户ID;邀请码;直推人数;二级人数;合格直推人数;待结算佣金;已结算佣金;奖励档位;版本;rule Version;风险分;qualified;milestone Code;reward Status,具备页面读取和 export.create 权限可异步导出当前筛选；禁止导出未展示或无权限字段,手机号/身份证/支付账号/IP/设备指纹/SecretRef默认脱敏；查看原文需字段权限、会话升级、目的说明和访问审计,以下操作必须绑定双人审批：纠纷调整关系,不可逆或高影响操作展示目标、影响范围、原因、审批单、服务端version；确认文案不得使用含糊的“确定”,更新当前行/详情、状态计数和待办；显示操作结果、requestId和审计入口；禁止仅Toast不更新数据,字段错误就地提示；409重新加载差异；422保留输入；权限变化立即收回入口；首屏/翻页采用不同错误态,展示当前筛选、无数据原因和可执行下一步；不得使用无上下文的空白表格,读：referral.read；写：referral.manage,NORMAL,admin_page_adm_ref_005_operation,R26,FROZEN_OPERATIONAL_V1.2.2
ADM-REF-006,阶梯奖励矩阵,推广,/growth/referral-activity/matrix,ADM-FINANCE,页码;每页数量;游标;状态;关键词;排序,createdAt:desc,用户ID;邀请码;直推人数;二级人数;合格直推人数;待结算佣金;已结算佣金;奖励档位;版本;rule Version;风险分;qualified;milestone Code;reward Status,ID/名称;状态;主金额（财务页）;操作,createdAt;updatedAt;status;amountCent（存在时）；仅允许后端白名单,无默认批量业务写操作；除非页面规格明确，不得因表格组件能力自行增加,纠纷调整关系;创建策略版本;创建规则版本;保存档位矩阵新版本,关系;事件;佣金;奖励;风险;调整历史,用户ID;邀请码;直推人数;二级人数;合格直推人数;待结算佣金;已结算佣金;奖励档位;版本;rule Version;风险分;qualified;milestone Code;reward Status,具备页面读取和 export.create 权限可异步导出当前筛选；禁止导出未展示或无权限字段,手机号/身份证/支付账号/IP/设备指纹/SecretRef默认脱敏；查看原文需字段权限、会话升级、目的说明和访问审计,以下操作必须绑定双人审批：纠纷调整关系,不可逆或高影响操作展示目标、影响范围、原因、审批单、服务端version；确认文案不得使用含糊的“确定”,更新当前行/详情、状态计数和待办；显示操作结果、requestId和审计入口；禁止仅Toast不更新数据,字段错误就地提示；409重新加载差异；422保留输入；权限变化立即收回入口；首屏/翻页采用不同错误态,展示当前筛选、无数据原因和可执行下一步；不得使用无上下文的空白表格,读：referral.read；写：referral.manage,NORMAL,admin_page_adm_ref_006_operation,R26,FROZEN_OPERATIONAL_V1.2.2
ADM-TASK-001,任务定义,任务,/growth/tasks/definitions,ADM-LIST,页码;每页数量;游标;状态;关键词;排序,createdAt:desc,ID;任务代码;名称;任务类型;状态;进度;目标;奖励;是否可领取;过期时间;版本,ID/名称;状态;主金额（财务页）;操作,createdAt;updatedAt;status;amountCent（存在时）；仅允许后端白名单,无默认批量业务写操作；除非页面规格明确，不得因表格组件能力自行增加,创建任务;修改任务;修改预算,概览;业务数据;状态历史;关联对象;操作审计,ID;任务代码;名称;任务类型;状态;进度;目标;奖励;是否可领取;过期时间;版本,具备页面读取和 export.create 权限可异步导出当前筛选；禁止导出未展示或无权限字段,手机号/身份证/支付账号/IP/设备指纹/SecretRef默认脱敏；查看原文需字段权限、会话升级、目的说明和访问审计,普通保存按页面权限；涉及资金、秘密、生产发布、永久处罚或高风险导出时自动升级为双人审批,不可逆或高影响操作展示目标、影响范围、原因、审批单、服务端version；确认文案不得使用含糊的“确定”,更新当前行/详情、状态计数和待办；显示操作结果、requestId和审计入口；禁止仅Toast不更新数据,字段错误就地提示；409重新加载差异；422保留输入；权限变化立即收回入口；首屏/翻页采用不同错误态,展示当前筛选、无数据原因和可执行下一步；不得使用无上下文的空白表格,读：task.manage；写：task.manage,NORMAL,admin_page_adm_task_001_operation,R27,FROZEN_OPERATIONAL_V1.2.2
ADM-TASK-002,任务进度与预算,任务,/growth/tasks/progress,ADM-LIST,页码;每页数量;游标;状态;关键词;排序,createdAt:desc,ID;任务代码;名称;任务类型;状态;进度;目标;奖励;是否可领取;过期时间;版本,ID/名称;状态;主金额（财务页）;操作,createdAt;updatedAt;status;amountCent（存在时）；仅允许后端白名单,无默认批量业务写操作；除非页面规格明确，不得因表格组件能力自行增加,修改任务;修改预算,概览;业务数据;状态历史;关联对象;操作审计,ID;任务代码;名称;任务类型;状态;进度;目标;奖励;是否可领取;过期时间;版本,具备页面读取和 export.create 权限可异步导出当前筛选；禁止导出未展示或无权限字段,手机号/身份证/支付账号/IP/设备指纹/SecretRef默认脱敏；查看原文需字段权限、会话升级、目的说明和访问审计,普通保存按页面权限；涉及资金、秘密、生产发布、永久处罚或高风险导出时自动升级为双人审批,不可逆或高影响操作展示目标、影响范围、原因、审批单、服务端version；确认文案不得使用含糊的“确定”,更新当前行/详情、状态计数和待办；显示操作结果、requestId和审计入口；禁止仅Toast不更新数据,字段错误就地提示；409重新加载差异；422保留输入；权限变化立即收回入口；首屏/翻页采用不同错误态,展示当前筛选、无数据原因和可执行下一步；不得使用无上下文的空白表格,读：task.manage；写：task.manage,NORMAL,admin_page_adm_task_002_operation,R27,FROZEN_OPERATIONAL_V1.2.2
ADM-CHAT-001,聊天举报,聊天,/governance/chat-reports,ADM-LIST,页码;每页数量;游标;状态;关键词;排序,"priority:desc,createdAt:asc",ID;对方;最后消息;未读数;最后已读消息;更新时间;版本,ID/名称;状态;主金额（财务页）;操作,createdAt;updatedAt;status;amountCent（存在时）；仅允许后端白名单,批量分配（仅未领取项）;批量标记优先级（不允许批量作出最终决定）,处理聊天举报,概览;业务数据;状态历史;关联对象;操作审计,ID;对方;最后消息;未读数;最后已读消息;更新时间;版本,具备页面读取和 export.create 权限可异步导出当前筛选；禁止导出未展示或无权限字段,手机号/身份证/支付账号/IP/设备指纹/SecretRef默认脱敏；查看原文需字段权限、会话升级、目的说明和访问审计,普通保存按页面权限；涉及资金、秘密、生产发布、永久处罚或高风险导出时自动升级为双人审批,不可逆或高影响操作展示目标、影响范围、原因、审批单、服务端version；确认文案不得使用含糊的“确定”,更新当前行/详情、状态计数和待办；显示操作结果、requestId和审计入口；禁止仅Toast不更新数据,字段错误就地提示；409重新加载差异；422保留输入；权限变化立即收回入口；首屏/翻页采用不同错误态,展示当前筛选、无数据原因和可执行下一步；不得使用无上下文的空白表格,读：chat.report.read；写：chat.report.manage,NORMAL,admin_page_adm_chat_001_operation,R15,FROZEN_OPERATIONAL_V1.2.2
ADM-SUPPORT-001,工单列表,客服,/support/tickets,ADM-LIST,页码;每页数量;游标;状态;关键词;排序,"priority:desc,createdAt:asc",ID;ticket No;问题分类;主题;状态;assignee;last Message At;创建时间;版本,ID/名称;状态;主金额（财务页）;操作,createdAt;updatedAt;status;amountCent（存在时）；仅允许后端白名单,批量分配（仅未领取项）;批量标记优先级（不允许批量作出最终决定）,查看详情,概览;业务数据;状态历史;关联对象;操作审计,ID;ticket No;问题分类;主题;状态;assignee;last Message At;创建时间;版本,具备页面读取和 export.create 权限可异步导出当前筛选；禁止导出未展示或无权限字段,手机号/身份证/支付账号/IP/设备指纹/SecretRef默认脱敏；查看原文需字段权限、会话升级、目的说明和访问审计,普通保存按页面权限；涉及资金、秘密、生产发布、永久处罚或高风险导出时自动升级为双人审批,不可逆或高影响操作展示目标、影响范围、原因、审批单、服务端version；确认文案不得使用含糊的“确定”,更新当前行/详情、状态计数和待办；显示操作结果、requestId和审计入口；禁止仅Toast不更新数据,字段错误就地提示；409重新加载差异；422保留输入；权限变化立即收回入口；首屏/翻页采用不同错误态,展示当前筛选、无数据原因和可执行下一步；不得使用无上下文的空白表格,读：support.manage；写：support.manage,NORMAL,admin_page_adm_support_001_operation,R15,FROZEN_OPERATIONAL_V1.2.2
ADM-CMS-001,首页CMS,运营,/operations/cms/home,ADM-CMS,页码;每页数量;游标;状态;关键词;排序,createdAt:desc,ID;代码;内容类型;标题;状态;正文;版本;生效时间,ID/名称;状态;主金额（财务页）;操作,createdAt;updatedAt;status;amountCent（存在时）；仅允许后端白名单,无默认批量业务写操作；除非页面规格明确，不得因表格组件能力自行增加,排序和配置;创建轮播;创建文章;更新H5配置新版本,概览;业务数据;状态历史;关联对象;操作审计,ID;代码;内容类型;标题;状态;正文;版本;生效时间,具备页面读取和 export.create 权限可异步导出当前筛选；禁止导出未展示或无权限字段,手机号/身份证/支付账号/IP/设备指纹/SecretRef默认脱敏；查看原文需字段权限、会话升级、目的说明和访问审计,普通保存按页面权限；涉及资金、秘密、生产发布、永久处罚或高风险导出时自动升级为双人审批,不可逆或高影响操作展示目标、影响范围、原因、审批单、服务端version；确认文案不得使用含糊的“确定”,更新当前行/详情、状态计数和待办；显示操作结果、requestId和审计入口；禁止仅Toast不更新数据,字段错误就地提示；409重新加载差异；422保留输入；权限变化立即收回入口；首屏/翻页采用不同错误态,展示当前筛选、无数据原因和可执行下一步；不得使用无上下文的空白表格,读：cms.manage；写：cms.manage,NORMAL,admin_page_adm_cms_001_operation,R28,FROZEN_OPERATIONAL_V1.2.2
ADM-CMS-002,H5宣传页CMS,运营,/operations/cms/h5,ADM-CMS,页码;每页数量;游标;状态;关键词;排序,createdAt:desc,ID;代码;内容类型;标题;状态;正文;版本;生效时间,ID/名称;状态;主金额（财务页）;操作,createdAt;updatedAt;status;amountCent（存在时）；仅允许后端白名单,无默认批量业务写操作；除非页面规格明确，不得因表格组件能力自行增加,排序和配置;创建轮播;创建文章;更新H5配置新版本,概览;业务数据;状态历史;关联对象;操作审计,ID;代码;内容类型;标题;状态;正文;版本;生效时间,具备页面读取和 export.create 权限可异步导出当前筛选；禁止导出未展示或无权限字段,手机号/身份证/支付账号/IP/设备指纹/SecretRef默认脱敏；查看原文需字段权限、会话升级、目的说明和访问审计,普通保存按页面权限；涉及资金、秘密、生产发布、永久处罚或高风险导出时自动升级为双人审批,不可逆或高影响操作展示目标、影响范围、原因、审批单、服务端version；确认文案不得使用含糊的“确定”,更新当前行/详情、状态计数和待办；显示操作结果、requestId和审计入口；禁止仅Toast不更新数据,字段错误就地提示；409重新加载差异；422保留输入；权限变化立即收回入口；首屏/翻页采用不同错误态,展示当前筛选、无数据原因和可执行下一步；不得使用无上下文的空白表格,读：cms.manage；写：cms.manage,NORMAL,admin_page_adm_cms_002_operation,R28,FROZEN_OPERATIONAL_V1.2.2
ADM-CMS-003,公告帮助协议,运营,/operations/cms/content,ADM-CMS,页码;每页数量;游标;状态;关键词;排序,createdAt:desc,ID;代码;内容类型;标题;状态;正文;版本;生效时间,ID/名称;状态;主金额（财务页）;操作,createdAt;updatedAt;status;amountCent（存在时）；仅允许后端白名单,无默认批量业务写操作；除非页面规格明确，不得因表格组件能力自行增加,排序和配置;创建轮播;创建文章;更新H5配置新版本;新增协议版本,概览;业务数据;状态历史;关联对象;操作审计,ID;代码;内容类型;标题;状态;正文;版本;生效时间,具备页面读取和 export.create 权限可异步导出当前筛选；禁止导出未展示或无权限字段,手机号/身份证/支付账号/IP/设备指纹/SecretRef默认脱敏；查看原文需字段权限、会话升级、目的说明和访问审计,普通保存按页面权限；涉及资金、秘密、生产发布、永久处罚或高风险导出时自动升级为双人审批,不可逆或高影响操作展示目标、影响范围、原因、审批单、服务端version；确认文案不得使用含糊的“确定”,更新当前行/详情、状态计数和待办；显示操作结果、requestId和审计入口；禁止仅Toast不更新数据,字段错误就地提示；409重新加载差异；422保留输入；权限变化立即收回入口；首屏/翻页采用不同错误态,展示当前筛选、无数据原因和可执行下一步；不得使用无上下文的空白表格,读：cms.manage；写：cms.manage,NORMAL,admin_page_adm_cms_003_operation,R28,FROZEN_OPERATIONAL_V1.2.2
ADM-APP-001,App版本,版本,/delivery/app-versions,ADM-BUILD,页码;每页数量;游标;状态;关键词;排序,createdAt:desc,platform;latest Version Code;latest Version Name;update Type;download Url;SHA-256;release Notes;min Supported Version Code;服务端时间,ID/名称;状态;主金额（财务页）;操作,createdAt;updatedAt;status;amountCent（存在时）；仅允许后端白名单,无默认批量业务写操作；除非页面规格明确，不得因表格组件能力自行增加,创建版本;发布/灰度,概览;业务数据;状态历史;关联对象;操作审计,platform;latest Version Code;latest Version Name;update Type;download Url;SHA-256;release Notes;min Supported Version Code;服务端时间,具备页面读取和 export.create 权限可异步导出当前筛选；禁止导出未展示或无权限字段,手机号/身份证/支付账号/IP/设备指纹/SecretRef默认脱敏；查看原文需字段权限、会话升级、目的说明和访问审计,以下操作必须绑定双人审批：发布/灰度,不可逆或高影响操作展示目标、影响范围、原因、审批单、服务端version；确认文案不得使用含糊的“确定”,更新当前行/详情、状态计数和待办；显示操作结果、requestId和审计入口；禁止仅Toast不更新数据,字段错误就地提示；409重新加载差异；422保留输入；权限变化立即收回入口；首屏/翻页采用不同错误态,展示当前筛选、无数据原因和可执行下一步；不得使用无上下文的空白表格,读：app.release.read；写：app.release.manage,NORMAL,admin_page_adm_app_001_operation,R29,FROZEN_OPERATIONAL_V1.2.2
