key,group,type,default,secret,required,editable_by,approval,snapshot_on_business,runtime_reload,description,enum,lifecycle,required_in,reload_strategy,restart_required,secret_ref_policy,validator,owner,change_risk,rollback_supported,schema_version,display_name,ui_group,control_type,unit,min_value,max_value,step,pattern,option_source,help_text,risk_prompt,visible_when,enabled_when,dependency_keys,cross_field_rule_ids,approver_role,impact_scope,preview_strategy,rollback_strategy,audit_event,ui_order,ui_schema_version,maturity
payment.order_timeout_seconds,payment,integer,900,False,False,"['finance_operator', 'platform_engineer']",TWO_PERSON,False,False,支付订单超时秒,,ACTIVATION_GATED_CONFIGURATION,ACTIVATION_GATED,ACTIVATE_VERSION,False,NOT_SECRET,type+provider_connection_test,payment_owner,HIGH,True,1,支付订单超时秒,支付 / order timeout seconds,NUMBER_INPUT,秒,1,2592000,1,,none,支付订单超时秒。值来源、环境、生效和回滚必须遵守配置生命周期；禁止在业务代码中另设默认值。,该配置可能影响资金、安全、域名或生产流量；保存只生成草稿，审批和影响预览通过后方可激活。,当前环境和配置依赖满足；秘密字段仅显示“已配置/未配置”,具备编辑角色，当前无激活任务；涉及生产/资金/安全时会话已升级,,CFG-RULE-017;CFG-RULE-018;CFG-RULE-019,finance_reviewer,支付领域；具体受影响页面、接口和任务由需求追踪矩阵反向查询,保存前显示旧值/新值、依赖校验、跨字段规则、受影响环境和业务快照差异,激活后保留不可变版本；通过审批回滚到最近已验证版本，不直接修改历史版本,config.payment.changed,9,1.2.2,FROZEN_OPERATIONAL_V1.2.2
payout.active_gateway,payout,enum,ALIPAY_ENTERPRISE,False,False,"['finance_operator', 'platform_engineer']",TWO_PERSON,False,False,出款网关,"['ALIPAY_ENTERPRISE', 'MANUAL']",ACTIVATION_GATED_CONFIGURATION,ACTIVATION_GATED,ACTIVATE_VERSION,False,NOT_SECRET,type+provider_connection_test,payout_owner,HIGH,True,1,出款网关,企业出款 / active gateway,SELECT,,,,,,"enum:['ALIPAY_ENTERPRISE', 'MANUAL']",出款网关。值来源、环境、生效和回滚必须遵守配置生命周期；禁止在业务代码中另设默认值。,该配置可能影响资金、安全、域名或生产流量；保存只生成草稿，审批和影响预览通过后方可激活。,当前环境和配置依赖满足；秘密字段仅显示“已配置/未配置”,具备编辑角色，当前无激活任务；涉及生产/资金/安全时会话已升级,,CFG-RULE-020;CFG-RULE-021;CFG-RULE-022,finance_reviewer,企业出款领域；具体受影响页面、接口和任务由需求追踪矩阵反向查询,保存前显示旧值/新值、依赖校验、跨字段规则、受影响环境和业务快照差异,激活后保留不可变版本；通过审批回滚到最近已验证版本，不直接修改历史版本,config.payout.changed,1,1.2.2,FROZEN_OPERATIONAL_V1.2.2
payout.alipay.app_id,payout,string,,False,False,"['finance_operator', 'platform_engineer']",TWO_PERSON,False,False,支付宝应用ID,,ACTIVATION_GATED_CONFIGURATION,ACTIVATION_GATED,ACTIVATE_VERSION,False,NOT_SECRET,type+provider_connection_test,payout_owner,HIGH,True,1,支付宝应用ID,企业出款 / alipay,TEXT_INPUT,,,,,,none,支付宝应用ID。值来源、环境、生效和回滚必须遵守配置生命周期；禁止在业务代码中另设默认值。,该配置可能影响资金、安全、域名或生产流量；保存只生成草稿，审批和影响预览通过后方可激活。,当前环境和配置依赖满足；秘密字段仅显示“已配置/未配置”,具备编辑角色，当前无激活任务；涉及生产/资金/安全时会话已升级,payout.active_gateway,CFG-RULE-020;CFG-RULE-021;CFG-RULE-022,finance_reviewer,企业出款领域；具体受影响页面、接口和任务由需求追踪矩阵反向查询,保存前显示旧值/新值、依赖校验、跨字段规则、受影响环境和业务快照差异,激活后保留不可变版本；通过审批回滚到最近已验证版本，不直接修改历史版本,config.payout.changed,2,1.2.2,FROZEN_OPERATIONAL_V1.2.2
payout.alipay.merchant_id,payout,string,,False,False,"['finance_operator', 'platform_engineer']",TWO_PERSON,False,False,支付宝商家ID,,ACTIVATION_GATED_CONFIGURATION,ACTIVATION_GATED,ACTIVATE_VERSION,False,NOT_SECRET,type+provider_connection_test,payout_owner,HIGH,True,1,支付宝商家ID,企业出款 / alipay,TEXT_INPUT,,,,,,none,支付宝商家ID。值来源、环境、生效和回滚必须遵守配置生命周期；禁止在业务代码中另设默认值。,该配置可能影响资金、安全、域名或生产流量；保存只生成草稿，审批和影响预览通过后方可激活。,当前环境和配置依赖满足；秘密字段仅显示“已配置/未配置”,具备编辑角色，当前无激活任务；涉及生产/资金/安全时会话已升级,payout.active_gateway,CFG-RULE-020;CFG-RULE-021;CFG-RULE-022,finance_reviewer,企业出款领域；具体受影响页面、接口和任务由需求追踪矩阵反向查询,保存前显示旧值/新值、依赖校验、跨字段规则、受影响环境和业务快照差异,激活后保留不可变版本；通过审批回滚到最近已验证版本，不直接修改历史版本,config.payout.changed,3,1.2.2,FROZEN_OPERATIONAL_V1.2.2
payout.alipay.private_key_certificate_id,payout,certificate_ref,,True,False,"['finance_operator', 'platform_engineer']",TWO_PERSON,False,False,支付宝private_key_certificate_id,,SECRET_REFERENCE,ACTIVATION_GATED,ACTIVATE_VERSION,False,VAULT_OR_KMS_REFERENCE_ONLY,secret_ref_exists+provider_connection_test,payout_owner,CRITICAL,True,1,支付宝private_key_certificate_id,企业出款 / alipay,SECRET_REF_PICKER,,,,,,none,支付宝private_key_certificate_id。值来源、环境、生效和回滚必须遵守配置生命周期；禁止在业务代码中另设默认值。,仅保存Vault/KMS SecretRef，页面永不回显秘密；激活前必须连接测试和双人审批。,当前环境和配置依赖满足；秘密字段仅显示“已配置/未配置”,具备编辑角色，当前无激活任务；涉及生产/资金/安全时会话已升级,payout.active_gateway,CFG-RULE-020;CFG-RULE-021;CFG-RULE-022,finance_reviewer,企业出款领域；具体受影响页面、接口和任务由需求追踪矩阵反向查询,保存前显示旧值/新值、依赖校验、跨字段规则、受影响环境和业务快照差异,激活后保留不可变版本；通过审批回滚到最近已验证版本，不直接修改历史版本,config.payout.changed,4,1.2.2,FROZEN_OPERATIONAL_V1.2.2
payout.alipay.app_public_certificate_id,payout,certificate_ref,,True,False,"['finance_operator', 'platform_engineer']",TWO_PERSON,False,False,支付宝app_public_certificate_id,,SECRET_REFERENCE,ACTIVATION_GATED,ACTIVATE_VERSION,False,VAULT_OR_KMS_REFERENCE_ONLY,secret_ref_exists+provider_connection_test,payout_owner,CRITICAL,True,1,支付宝app_public_certificate_id,企业出款 / alipay,SECRET_REF_PICKER,,,,,,none,支付宝app_public_certificate_id。值来源、环境、生效和回滚必须遵守配置生命周期；禁止在业务代码中另设默认值。,仅保存Vault/KMS SecretRef，页面永不回显秘密；激活前必须连接测试和双人审批。,当前环境和配置依赖满足；秘密字段仅显示“已配置/未配置”,具备编辑角色，当前无激活任务；涉及生产/资金/安全时会话已升级,payout.active_gateway,CFG-RULE-020;CFG-RULE-021;CFG-RULE-022,finance_reviewer,企业出款领域；具体受影响页面、接口和任务由需求追踪矩阵反向查询,保存前显示旧值/新值、依赖校验、跨字段规则、受影响环境和业务快照差异,激活后保留不可变版本；通过审批回滚到最近已验证版本，不直接修改历史版本,config.payout.changed,5,1.2.2,FROZEN_OPERATIONAL_V1.2.2
payout.alipay.alipay_public_certificate_id,payout,certificate_ref,,True,False,"['finance_operator', 'platform_engineer']",TWO_PERSON,False,False,支付宝alipay_public_certificate_id,,SECRET_REFERENCE,ACTIVATION_GATED,ACTIVATE_VERSION,False,VAULT_OR_KMS_REFERENCE_ONLY,secret_ref_exists+provider_connection_test,payout_owner,CRITICAL,True,1,支付宝alipay_public_certificate_id,企业出款 / alipay,SECRET_REF_PICKER,,,,,,none,支付宝alipay_public_certificate_id。值来源、环境、生效和回滚必须遵守配置生命周期；禁止在业务代码中另设默认值。,仅保存Vault/KMS SecretRef，页面永不回显秘密；激活前必须连接测试和双人审批。,当前环境和配置依赖满足；秘密字段仅显示“已配置/未配置”,具备编辑角色，当前无激活任务；涉及生产/资金/安全时会话已升级,payout.active_gateway,CFG-RULE-020;CFG-RULE-021;CFG-RULE-022,finance_reviewer,企业出款领域；具体受影响页面、接口和任务由需求追踪矩阵反向查询,保存前显示旧值/新值、依赖校验、跨字段规则、受影响环境和业务快照差异,激活后保留不可变版本；通过审批回滚到最近已验证版本，不直接修改历史版本,config.payout.changed,6,1.2.2,FROZEN_OPERATIONAL_V1.2.2
payout.alipay.root_certificate_id,payout,certificate_ref,,True,False,"['finance_operator', 'platform_engineer']",TWO_PERSON,False,False,支付宝root_certificate_id,,SECRET_REFERENCE,ACTIVATION_GATED,ACTIVATE_VERSION,False,VAULT_OR_KMS_REFERENCE_ONLY,secret_ref_exists+provider_connection_test,payout_owner,CRITICAL,True,1,支付宝root_certificate_id,企业出款 / alipay,SECRET_REF_PICKER,,,,,,none,支付宝root_certificate_id。值来源、环境、生效和回滚必须遵守配置生命周期；禁止在业务代码中另设默认值。,仅保存Vault/KMS SecretRef，页面永不回显秘密；激活前必须连接测试和双人审批。,当前环境和配置依赖满足；秘密字段仅显示“已配置/未配置”,具备编辑角色，当前无激活任务；涉及生产/资金/安全时会话已升级,payout.active_gateway,CFG-RULE-020;CFG-RULE-021;CFG-RULE-022,finance_reviewer,企业出款领域；具体受影响页面、接口和任务由需求追踪矩阵反向查询,保存前显示旧值/新值、依赖校验、跨字段规则、受影响环境和业务快照差异,激活后保留不可变版本；通过审批回滚到最近已验证版本，不直接修改历史版本,config.payout.changed,7,1.2.2,FROZEN_OPERATIONAL_V1.2.2
payout.alipay.gateway_url,payout,string,https://openapi.alipay.com/gateway.do,False,False,"['finance_operator', 'platform_engineer']",TWO_PERSON,False,False,支付宝网关,,ACTIVATION_GATED_CONFIGURATION,ACTIVATION_GATED,ACTIVATE_VERSION,False,NOT_SECRET,type+provider_connection_test,payout_owner,HIGH,True,1,支付宝网关,企业出款 / alipay,URL_INPUT,,,,,^https://[^\s]+$,none,支付宝网关。值来源、环境、生效和回滚必须遵守配置生命周期；禁止在业务代码中另设默认值。,该配置可能影响资金、安全、域名或生产流量；保存只生成草稿，审批和影响预览通过后方可激活。,当前环境和配置依赖满足；秘密字段仅显示“已配置/未配置”,具备编辑角色，当前无激活任务；涉及生产/资金/安全时会话已升级,payout.active_gateway,CFG-RULE-020;CFG-RULE-021;CFG-RULE-022,finance_reviewer,企业出款领域；具体受影响页面、接口和任务由需求追踪矩阵反向查询,保存前显示旧值/新值、依赖校验、跨字段规则、受影响环境和业务快照差异,激活后保留不可变版本；通过审批回滚到最近已验证版本，不直接修改历史版本,config.payout.changed,8,1.2.2,FROZEN_OPERATIONAL_V1.2.2
payout.notify_url,payout,string,https://api.orbexa.cc/callbacks/payout/alipay,False,False,"['finance_operator', 'platform_engineer']",TWO_PERSON,False,False,支付宝出款回调,,ACTIVATION_GATED_CONFIGURATION,ACTIVATION_GATED,ACTIVATE_VERSION,False,NOT_SECRET,type+provider_connection_test,payout_owner,HIGH,True,1,支付宝出款回调,企业出款 / notify url,URL_INPUT,,,,,^https://[^\s]+$,none,支付宝出款回调。值来源、环境、生效和回滚必须遵守配置生命周期；禁止在业务代码中另设默认值。,该配置可能影响资金、安全、域名或生产流量；保存只生成草稿，审批和影响预览通过后方可激活。,当前环境和配置依赖满足；秘密字段仅显示“已配置/未配置”,具备编辑角色，当前无激活任务；涉及生产/资金/安全时会话已升级,,CFG-RULE-020;CFG-RULE-021;CFG-RULE-022,finance_reviewer,企业出款领域；具体受影响页面、接口和任务由需求追踪矩阵反向查询,保存前显示旧值/新值、依赖校验、跨字段规则、受影响环境和业务快照差异,激活后保留不可变版本；通过审批回滚到最近已验证版本，不直接修改历史版本,config.payout.changed,9,1.2.2,FROZEN_OPERATIONAL_V1.2.2
app.android.application_id,app_build,string,GENERATE_AT_P00,False,False,"['release_manager', 'platform_engineer', 'security_admin']",TWO_PERSON,False,False,正式包名，由P00生成后冻结,,STARTUP_CONFIGURATION,"STAGING,PRODUCTION",RESTART_REQUIRED,True,NOT_SECRET,type+range+cross_field,app_build_owner,HIGH,True,1,正式包名，由P00生成后冻结,App构建发布 / android,TEXT_INPUT,,,,,^[a-z][a-z0-9_]*(\.[a-z][a-z0-9_]*)+$,none,正式包名，由P00生成后冻结。值来源、环境、生效和回滚必须遵守配置生命周期；禁止在业务代码中另设默认值。,该配置可能影响资金、安全、域名或生产流量；保存只生成草稿，审批和影响预览通过后方可激活。,当前环境和配置依赖满足；秘密字段仅显示“已配置/未配置”,具备编辑角色，当前无激活任务；涉及生产/资金/安全时会话已升级,,CFG-RULE-055;CFG-RULE-056;CFG-RULE-057,release_manager,App构建发布领域；具体受影响页面、接口和任务由需求追踪矩阵反向查询,保存前显示旧值/新值、依赖校验、跨字段规则、受影响环境和业务快照差异,激活后保留不可变版本；通过审批回滚到最近已验证版本，不直接修改历史版本,config.app_build.changed,1,1.2.2,FROZEN_OPERATIONAL_V1.2.2
app.android.staging_application_id,app_build,string,GENERATE_AT_P00,False,False,"['release_manager', 'platform_engineer', 'security_admin']",TWO_PERSON,False,False,测试包名，由P00生成后冻结,,STARTUP_CONFIGURATION,"STAGING,PRODUCTION",RESTART_REQUIRED,True,NOT_SECRET,type+range+cross_field,app_build_owner,HIGH,True,1,测试包名，由P00生成后冻结,App构建发布 / android,TEXT_INPUT,,,,,^[a-z][a-z0-9_]*(\.[a-z][a-z0-9_]*)+$,none,测试包名，由P00生成后冻结。值来源、环境、生效和回滚必须遵守配置生命周期；禁止在业务代码中另设默认值。,该配置可能影响资金、安全、域名或生产流量；保存只生成草稿，审批和影响预览通过后方可激活。,当前环境和配置依赖满足；秘密字段仅显示“已配置/未配置”,具备编辑角色，当前无激活任务；涉及生产/资金/安全时会话已升级,,CFG-RULE-055;CFG-RULE-056;CFG-RULE-057,release_manager,App构建发布领域；具体受影响页面、接口和任务由需求追踪矩阵反向查询,保存前显示旧值/新值、依赖校验、跨字段规则、受影响环境和业务快照差异,激活后保留不可变版本；通过审批回滚到最近已验证版本，不直接修改历史版本,config.app_build.changed,2,1.2.2,FROZEN_OPERATIONAL_V1.2.2
app.android.display_name,app_build,string,合伙云 Pro,False,False,"['release_manager', 'platform_engineer', 'security_admin']",TWO_PERSON,False,False,App显示名,,ACTIVATION_GATED_CONFIGURATION,ACTIVATION_GATED,ACTIVATE_VERSION,False,NOT_SECRET,type+provider_connection_test,app_build_owner,HIGH,True,1,App显示名,App构建发布 / android,TEXT_INPUT,,,,,,none,App显示名。值来源、环境、生效和回滚必须遵守配置生命周期；禁止在业务代码中另设默认值。,该配置可能影响资金、安全、域名或生产流量；保存只生成草稿，审批和影响预览通过后方可激活。,当前环境和配置依赖满足；秘密字段仅显示“已配置/未配置”,具备编辑角色，当前无激活任务；涉及生产/资金/安全时会话已升级,,CFG-RULE-055;CFG-RULE-056;CFG-RULE-057,release_manager,App构建发布领域；具体受影响页面、接口和任务由需求追踪矩阵反向查询,保存前显示旧值/新值、依赖校验、跨字段规则、受影响环境和业务快照差异,激活后保留不可变版本；通过审批回滚到最近已验证版本，不直接修改历史版本,config.app_build.changed,3,1.2.2,FROZEN_OPERATIONAL_V1.2.2
app.android.signing.staging_profile,app_build,string,GENERATE_AT_P00,False,False,"['release_manager', 'platform_engineer', 'security_admin']",TWO_PERSON,False,False,测试签名Profile,,ACTIVATION_GATED_CONFIGURATION,ACTIVATION_GATED,ACTIVATE_VERSION,False,NOT_SECRET,type+provider_connection_test,app_build_owner,HIGH,True,1,测试签名Profile,App构建发布 / android,TEXT_INPUT,,,,,,none,测试签名Profile。值来源、环境、生效和回滚必须遵守配置生命周期；禁止在业务代码中另设默认值。,该配置可能影响资金、安全、域名或生产流量；保存只生成草稿，审批和影响预览通过后方可激活。,当前环境和配置依赖满足；秘密字段仅显示“已配置/未配置”,具备编辑角色，当前无激活任务；涉及生产/资金/安全时会话已升级,,CFG-RULE-055;CFG-RULE-056;CFG-RULE-057,release_manager,App构建发布领域；具体受影响页面、接口和任务由需求追踪矩阵反向查询,保存前显示旧值/新值、依赖校验、跨字段规则、受影响环境和业务快照差异,激活后保留不可变版本；通过审批回滚到最近已验证版本，不直接修改历史版本,config.app_build.changed,4,1.2.2,FROZEN_OPERATIONAL_V1.2.2
app.android.signing.production_profile,app_build,secret_ref,,True,False,"['release_manager', 'platform_engineer', 'security_admin']",TWO_PERSON,False,False,生产签名Profile,,SECRET_REFERENCE,ACTIVATION_GATED,ACTIVATE_VERSION,False,VAULT_OR_KMS_REFERENCE_ONLY,secret_ref_exists+provider_connection_test,app_build_owner,CRITICAL,True,1,生产签名Profile,App构建发布 / android,SECRET_REF_PICKER,,,,,,none,生产签名Profile。值来源、环境、生效和回滚必须遵守配置生命周期；禁止在业务代码中另设默认值。,仅保存Vault/KMS SecretRef，页面永不回显秘密；激活前必须连接测试和双人审批。,当前环境和配置依赖满足；秘密字段仅显示“已配置/未配置”,具备编辑角色，当前无激活任务；涉及生产/资金/安全时会话已升级,app.release.require_two_person_approval,CFG-RULE-055;CFG-RULE-056;CFG-RULE-057,release_manager,App构建发布领域；具体受影响页面、接口和任务由需求追踪矩阵反向查询,保存前显示旧值/新值、依赖校验、跨字段规则、受影响环境和业务快照差异,激活后保留不可变版本；通过审批回滚到最近已验证版本，不直接修改历史版本,config.app_build.changed,5,1.2.2,FROZEN_OPERATIONAL_V1.2.2
app.build.runner,app_build,enum,ISOLATED_DOCKER,False,False,"['release_manager', 'platform_engineer', 'security_admin']",TWO_PERSON,False,False,构建执行器,['ISOLATED_DOCKER'],ACTIVATION_GATED_CONFIGURATION,ACTIVATION_GATED,ACTIVATE_VERSION,False,NOT_SECRET,type+provider_connection_test,app_build_owner,HIGH,True,1,构建执行器,App构建发布 / build,SELECT,,,,,,enum:['ISOLATED_DOCKER'],构建执行器。值来源、环境、生效和回滚必须遵守配置生命周期；禁止在业务代码中另设默认值。,该配置可能影响资金、安全、域名或生产流量；保存只生成草稿，审批和影响预览通过后方可激活。,当前环境和配置依赖满足；秘密字段仅显示“已配置/未配置”,具备编辑角色，当前无激活任务；涉及生产/资金/安全时会话已升级,,CFG-RULE-055;CFG-RULE-056;CFG-RULE-057,release_manager,App构建发布领域；具体受影响页面、接口和任务由需求追踪矩阵反向查询,保存前显示旧值/新值、依赖校验、跨字段规则、受影响环境和业务快照差异,激活后保留不可变版本；通过审批回滚到最近已验证版本，不直接修改历史版本,config.app_build.changed,6,1.2.2,FROZEN_OPERATIONAL_V1.2.2
app.build.allowed_ref_patterns,app_build,string_list,"['main', 'release/*', 'v*']",False,False,"['release_manager', 'platform_engineer', 'security_admin']",TWO_PERSON,False,False,允许构建的Git Ref,,ACTIVATION_GATED_CONFIGURATION,ACTIVATION_GATED,ACTIVATE_VERSION,False,NOT_SECRET,type+provider_connection_test,app_build_owner,HIGH,True,1,允许构建的Git Ref,App构建发布 / build,TAG_LIST_OR_STRUCTURED_EDITOR,,,,,,none,允许构建的Git Ref。值来源、环境、生效和回滚必须遵守配置生命周期；禁止在业务代码中另设默认值。,该配置可能影响资金、安全、域名或生产流量；保存只生成草稿，审批和影响预览通过后方可激活。,当前环境和配置依赖满足；秘密字段仅显示“已配置/未配置”,具备编辑角色，当前无激活任务；涉及生产/资金/安全时会话已升级,,CFG-RULE-055;CFG-RULE-056;CFG-RULE-057,release_manager,App构建发布领域；具体受影响页面、接口和任务由需求追踪矩阵反向查询,保存前显示旧值/新值、依赖校验、跨字段规则、受影响环境和业务快照差异,激活后保留不可变版本；通过审批回滚到最近已验证版本，不直接修改历史版本,config.app_build.changed,7,1.2.2,FROZEN_OPERATIONAL_V1.2.2
app.build.artifact_storage_scope,app_build,string,apk_release,False,False,"['release_manager', 'platform_engineer', 'security_admin']",TWO_PERSON,False,False,构建产物存储Scope,,ACTIVATION_GATED_CONFIGURATION,ACTIVATION_GATED,ACTIVATE_VERSION,False,NOT_SECRET,type+provider_connection_test,app_build_owner,HIGH,True,1,构建产物存储Scope,App构建发布 / build,TEXT_INPUT,,,,,,none,构建产物存储Scope。值来源、环境、生效和回滚必须遵守配置生命周期；禁止在业务代码中另设默认值。,该配置可能影响资金、安全、域名或生产流量；保存只生成草稿，审批和影响预览通过后方可激活。,当前环境和配置依赖满足；秘密字段仅显示“已配置/未配置”,具备编辑角色，当前无激活任务；涉及生产/资金/安全时会话已升级,,CFG-RULE-055;CFG-RULE-056;CFG-RULE-057,release_manager,App构建发布领域；具体受影响页面、接口和任务由需求追踪矩阵反向查询,保存前显示旧值/新值、依赖校验、跨字段规则、受影响环境和业务快照差异,激活后保留不可变版本；通过审批回滚到最近已验证版本，不直接修改历史版本,config.app_build.changed,8,1.2.2,FROZEN_OPERATIONAL_V1.2.2
app.release.default_update_type,app_build,enum,RECOMMENDED,False,False,"['release_manager', 'platform_engineer', 'security_admin']",TWO_PERSON,False,False,默认更新类型,"['OPTIONAL', 'RECOMMENDED', 'FORCED', 'MAINTENANCE']",ACTIVATION_GATED_CONFIGURATION,ACTIVATION_GATED,ACTIVATE_VERSION,False,NOT_SECRET,type+provider_connection_test,app_build_owner,HIGH,True,1,默认更新类型,App构建发布 / release,SELECT,,,,,,"enum:['OPTIONAL', 'RECOMMENDED', 'FORCED', 'MAINTENANCE']",默认更新类型。值来源、环境、生效和回滚必须遵守配置生命周期；禁止在业务代码中另设默认值。,该配置可能影响资金、安全、域名或生产流量；保存只生成草稿，审批和影响预览通过后方可激活。,当前环境和配置依赖满足；秘密字段仅显示“已配置/未配置”,具备编辑角色，当前无激活任务；涉及生产/资金/安全时会话已升级,,CFG-RULE-055;CFG-RULE-056;CFG-RULE-057,release_manager,App构建发布领域；具体受影响页面、接口和任务由需求追踪矩阵反向查询,保存前显示旧值/新值、依赖校验、跨字段规则、受影响环境和业务快照差异,激活后保留不可变版本；通过审批回滚到最近已验证版本，不直接修改历史版本,config.app_build.changed,9,1.2.2,FROZEN_OPERATIONAL_V1.2.2
app.release.require_two_person_approval,app_build,boolean,True,False,False,"['release_manager', 'platform_engineer', 'security_admin']",TWO_PERSON,False,False,生产发布双人复核,,ACTIVATION_GATED_CONFIGURATION,ACTIVATION_GATED,ACTIVATE_VERSION,False,NOT_SECRET,type+provider_connection_test,app_build_owner,HIGH,True,1,生产发布双人复核,App构建发布 / release,SWITCH,,,,,,none,生产发布双人复核。值来源、环境、生效和回滚必须遵守配置生命周期；禁止在业务代码中另设默认值。,该配置可能影响资金、安全、域名或生产流量；保存只生成草稿，审批和影响预览通过后方可激活。,当前环境和配置依赖满足；秘密字段仅显示“已配置/未配置”,具备编辑角色，当前无激活任务；涉及生产/资金/安全时会话已升级,,CFG-RULE-055;CFG-RULE-056;CFG-RULE-057,release_manager,App构建发布领域；具体受影响页面、接口和任务由需求追踪矩阵反向查询,保存前显示旧值/新值、依赖校验、跨字段规则、受影响环境和业务快照差异,激活后保留不可变版本；通过审批回滚到最近已验证版本，不直接修改历史版本,config.app_build.changed,10,1.2.2,FROZEN_OPERATIONAL_V1.2.2
content.limit.normal.online,content,integer,3,False,False,"['content_ops', 'operations_admin']",NONE,False,True,normal同时上架数量,,VERSIONED_BUSINESS_CONFIGURATION,DEFAULT_OR_ACTIVE_VERSION,ATOMIC_HOT_RELOAD,False,NOT_SECRET,type+range+cross_field+business_invariant,content_owner,MEDIUM,True,1,normal同时上架数量,内容与发布,NUMBER_INPUT,个/次,0,1000000,1,,none,normal同时上架数量。值来源、环境、生效和回滚必须遵守配置生命周期；禁止在业务代码中另设默认值。,修改后按生效策略刷新；页面展示影响范围和可回滚版本。,当前环境和配置依赖满足；秘密字段仅显示“已配置/未配置”,具备编辑角色，当前无激活任务；涉及生产/资金/安全时会话已升级,,CFG-RULE-006;CFG-RULE-007;CFG-RULE-008,content_ops_lead,内容与发布领域；具体受影响页面、接口和任务由需求追踪矩阵反向查询,保存前显示旧值/新值、依赖校验、跨字段规则、受影响环境和业务快照差异,激活后保留不可变版本；通过审批回滚到最近已验证版本，不直接修改历史版本,config.content.changed,1,1.2.2,FROZEN_OPERATIONAL_V1.2.2
content.limit.month.online,content,integer,10,False,False,"['content_ops', 'operations_admin']",NONE,False,True,month同时上架数量,,VERSIONED_BUSINESS_CONFIGURATION,DEFAULT_OR_ACTIVE_VERSION,ATOMIC_HOT_RELOAD,False,NOT_SECRET,type+range+cross_field+business_invariant,content_owner,MEDIUM,True,1,month同时上架数量,内容与发布,NUMBER_INPUT,个/次,0,1000000,1,,none,month同时上架数量。值来源、环境、生效和回滚必须遵守配置生命周期；禁止在业务代码中另设默认值。,修改后按生效策略刷新；页面展示影响范围和可回滚版本。,当前环境和配置依赖满足；秘密字段仅显示“已配置/未配置”,具备编辑角色，当前无激活任务；涉及生产/资金/安全时会话已升级,,CFG-RULE-006;CFG-RULE-007;CFG-RULE-008,content_ops_lead,内容与发布领域；具体受影响页面、接口和任务由需求追踪矩阵反向查询,保存前显示旧值/新值、依赖校验、跨字段规则、受影响环境和业务快照差异,激活后保留不可变版本；通过审批回滚到最近已验证版本，不直接修改历史版本,config.content.changed,2,1.2.2,FROZEN_OPERATIONAL_V1.2.2
content.limit.quarter.online,content,integer,25,False,False,"['content_ops', 'operations_admin']",NONE,False,True,quarter同时上架数量,,VERSIONED_BUSINESS_CONFIGURATION,DEFAULT_OR_ACTIVE_VERSION,ATOMIC_HOT_RELOAD,False,NOT_SECRET,type+range+cross_field+business_invariant,content_owner,MEDIUM,True,1,quarter同时上架数量,内容与发布,NUMBER_INPUT,个/次,0,1000000,1,,none,quarter同时上架数量。值来源、环境、生效和回滚必须遵守配置生命周期；禁止在业务代码中另设默认值。,修改后按生效策略刷新；页面展示影响范围和可回滚版本。,当前环境和配置依赖满足；秘密字段仅显示“已配置/未配置”,具备编辑角色，当前无激活任务；涉及生产/资金/安全时会话已升级,,CFG-RULE-006;CFG-RULE-007;CFG-RULE-008,content_ops_lead,内容与发布领域；具体受影响页面、接口和任务由需求追踪矩阵反向查询,保存前显示旧值/新值、依赖校验、跨字段规则、受影响环境和业务快照差异,激活后保留不可变版本；通过审批回滚到最近已验证版本，不直接修改历史版本,config.content.changed,3,1.2.2,FROZEN_OPERATIONAL_V1.2.2
content.limit.year.online,content,integer,60,False,False,"['content_ops', 'operations_admin']",NONE,False,True,year同时上架数量,,VERSIONED_BUSINESS_CONFIGURATION,DEFAULT_OR_ACTIVE_VERSION,ATOMIC_HOT_RELOAD,False,NOT_SECRET,type+range+cross_field+business_invariant,content_owner,MEDIUM,True,1,year同时上架数量,内容与发布,NUMBER_INPUT,个/次,0,1000000,1,,none,year同时上架数量。值来源、环境、生效和回滚必须遵守配置生命周期；禁止在业务代码中另设默认值。,修改后按生效策略刷新；页面展示影响范围和可回滚版本。,当前环境和配置依赖满足；秘密字段仅显示“已配置/未配置”,具备编辑角色，当前无激活任务；涉及生产/资金/安全时会话已升级,,CFG-RULE-006;CFG-RULE-007;CFG-RULE-008,content_ops_lead,内容与发布领域；具体受影响页面、接口和任务由需求追踪矩阵反向查询,保存前显示旧值/新值、依赖校验、跨字段规则、受影响环境和业务快照差异,激活后保留不可变版本；通过审批回滚到最近已验证版本，不直接修改历史版本,config.content.changed,4,1.2.2,FROZEN_OPERATIONAL_V1.2.2
