需求ID,需求标题,版本,优先级,前端页面,客户端API,后台API,数据表,状态机,配置组,配置项,页面规格,动作规格,测试用例,任务清单,DoR证据,Commit/PR,状态
REQ-RP-005,红包付款金额版本与暂停,R21,P1,SCR-RP-ADV-001;SCR-RP-ADV-002;SCR-RP-ADV-003;SCR-RP-ADV-004;SCR-RP-ADV-005;SCR-RP-ADV-006,GET /api/v1/me/red-packet-campaigns;POST /api/v1/red-packet-campaigns;GET /api/v1/red-packet-campaigns/{id};POST /api/v1/red-packet-campaigns/{id}/submit-review;POST /api/v1/red-packet-campaigns/{id}/quote;POST /api/v1/red-packet-campaigns/{id}/orders;GET /api/v1/me/red-packet-campaigns/{id}/analytics;POST /api/v1/red-packet-campaigns/{id}/pause;POST /api/v1/red-packet-campaigns/{id}/resume;POST /api/v1/red-packet-campaigns/{id}/close;POST /api/v1/red-packet-campaigns/{id}/increase-quotes;POST /api/v1/red-packet-campaigns/{id}/increase-orders,N/A_NO_ADMIN_API,red_packet_campaigns;red_packet_campaign_versions;red_packet_quotes;red_packet_orders;red_packet_stock;red_packet_view_sessions;red_packet_reservations;red_packet_claims;red_packet_ledger;reward_ledger;outbox_events,RED_PACKET_STATUS,red_packet;payment,red_packet.default_view_seconds;red_packet.reservation_min_seconds;red_packet.unit_amount_min_cent;red_packet.unit_amount_max_cent;red_packet.min_count;red_packet.service_fee_bps;red_packet.one_active_per_content;red_packet.allow_raise_unit_amount;red_packet.allow_refund;red_packet.view_seconds.min;red_packet.view_seconds.max;red_packet.reservation_extra_seconds;red_packet.reservation_max_seconds;red_packet.max_count;red_packet.claim_per_user;red_packet.heartbeat_interval_seconds;red_packet.session_timeout_seconds;red_packet.settlement_delay_hours;red_packet.pause_max_days;red_packet.owner_close_allowed;red_packet.member_fee_discount_bps.normal;red_packet.member_fee_discount_bps.month;red_packet.member_fee_discount_bps.quarter;red_packet.member_fee_discount_bps.year;red_packet.min_service_fee_cent;red_packet.risk.new_account_hold_hours;payment.active_gateway;payment.caihong.base_url;payment.caihong.merchant_id;payment.caihong.merchant_key;payment.caihong.sign_type;payment.caihong.enabled_channels;payment.notify_url;payment.return_url;payment.order_timeout_seconds;payment.query.max_attempts;payment.query.interval_seconds;payment.callback.ip_whitelist_enabled;payment.webview.allowed_hosts;payment.webview.allowed_schemes;payment.channel.reversal_auto_freeze,catalogs/ui_page_specifications.csv;docs/02-ui/page-specs/,catalogs/ui_action_matrix.csv,TST-RP_005-CONCURRENCY;TST-RP_005-HAPPY;TST-RP_005-IDEMPOTENT;TST-RP_005-RECOVERY;TST-RP_005-REJECT,releases/R21/STORIES.yaml;releases/R21/TASKS.yaml,catalogs/release_definition_of_ready.csv,开发后由CI回填,FROZEN_READY_V1.2.2
REQ-RP-006,红包账本数据与反作弊,R23,P1,SCR-RP-001;SCR-RP-002;SCR-RP-003;SCR-RP-004;ADM-RP-001;ADM-RP-002;ADM-RP-003;ADM-RP-004,GET /api/v1/red-packet-campaigns;GET /api/v1/red-packet-campaigns/{id};POST /api/v1/red-packet-campaigns/{id}/view-sessions;POST /api/v1/red-packet-view-sessions/{id}/heartbeat;POST /api/v1/red-packet-view-sessions/{id}/claim;POST /api/v1/red-packet-view-sessions/{id}/cancel;GET /api/v1/me/red-packet-claims;GET /api/v1/me/reward-account,GET /admin-api/v1/red-packet-campaigns;GET /admin-api/v1/red-packet-campaigns/{id};GET /admin-api/v1/red-packet-campaigns/{id}/sessions;GET /admin-api/v1/red-packet-campaigns/{id}/claims;GET /admin-api/v1/red-packet-campaigns/{id}/ledger;POST /admin-api/v1/red-packet-campaigns/{id}/review;POST /admin-api/v1/red-packet-campaigns/{id}/pause;POST /admin-api/v1/red-packet-campaigns/{id}/resume;POST /admin-api/v1/red-packet-campaigns/{id}/terminate,red_packet_campaigns;red_packet_campaign_versions;red_packet_quotes;red_packet_orders;red_packet_stock;red_packet_view_sessions;red_packet_reservations;red_packet_claims;red_packet_ledger;reward_ledger;outbox_events;reward_accounts;reward_settlements;reward_freezes;accounting_entries,RED_PACKET_STATUS,red_packet;payment;withdrawal,red_packet.default_view_seconds;red_packet.reservation_min_seconds;red_packet.unit_amount_min_cent;red_packet.unit_amount_max_cent;red_packet.min_count;red_packet.service_fee_bps;red_packet.one_active_per_content;red_packet.allow_raise_unit_amount;red_packet.allow_refund;red_packet.view_seconds.min;red_packet.view_seconds.max;red_packet.reservation_extra_seconds;red_packet.reservation_max_seconds;red_packet.max_count;red_packet.claim_per_user;red_packet.heartbeat_interval_seconds;red_packet.session_timeout_seconds;red_packet.settlement_delay_hours;red_packet.pause_max_days;red_packet.owner_close_allowed;red_packet.member_fee_discount_bps.normal;red_packet.member_fee_discount_bps.month;red_packet.member_fee_discount_bps.quarter;red_packet.member_fee_discount_bps.year;red_packet.min_service_fee_cent;red_packet.risk.new_account_hold_hours;payment.active_gateway;payment.caihong.base_url;payment.caihong.merchant_id;payment.caihong.merchant_key;payment.caihong.sign_type;payment.caihong.enabled_channels;payment.notify_url;payment.return_url;payment.order_timeout_seconds;payment.query.max_attempts;payment.query.interval_seconds;payment.callback.ip_whitelist_enabled;payment.webview.allowed_hosts;payment.webview.allowed_schemes;payment.channel.reversal_auto_freeze;withdrawal.min_amount_cent.normal;withdrawal.fee.fixed_cent.normal;withdrawal.fee.bps.normal;withdrawal.daily_count.normal;withdrawal.min_amount_cent.month;withdrawal.fee.fixed_cent.month;withdrawal.fee.bps.month;withdrawal.daily_count.month;withdrawal.min_amount_cent.quarter;withdrawal.fee.fixed_cent.quarter;withdrawal.fee.bps.quarter;withdrawal.daily_count.quarter;withdrawal.min_amount_cent.year;withdrawal.fee.fixed_cent.year;withdrawal.fee.bps.year;withdrawal.daily_count.year;withdrawal.max_amount_cent.normal;withdrawal.daily_total_cent.normal;withdrawal.monthly_total_cent.normal;withdrawal.monthly_free_count.normal;withdrawal.max_amount_cent.month;withdrawal.daily_total_cent.month;withdrawal.monthly_total_cent.month;withdrawal.monthly_free_count.month;withdrawal.max_amount_cent.quarter;withdrawal.daily_total_cent.quarter;withdrawal.monthly_total_cent.quarter;withdrawal.monthly_free_count.quarter;withdrawal.max_amount_cent.year;withdrawal.daily_total_cent.year;withdrawal.monthly_total_cent.year;withdrawal.monthly_free_count.year;withdrawal.account_change_cooldown_hours;withdrawal.new_device_wait_hours;withdrawal.auto_review_threshold_cent;withdrawal.open_time_windows,catalogs/ui_page_specifications.csv;docs/02-ui/page-specs/,catalogs/ui_action_matrix.csv,TST-RP_006-CONCURRENCY;TST-RP_006-HAPPY;TST-RP_006-IDEMPOTENT;TST-RP_006-RECOVERY;TST-RP_006-REJECT,releases/R23/STORIES.yaml;releases/R23/TASKS.yaml,catalogs/release_definition_of_ready.csv,开发后由CI回填,FROZEN_READY_V1.2.2
REQ-ANALYTICS-001,统一埋点和指标口径,R23/R30,P0,ADM-DASH-001,N/A_NO_CLIENT_API,GET /admin-api/v1/dashboard/summary;GET /admin-api/v1/dashboard/todos,daily_kpis;analytics_events,N/A_STATE_MACHINE_NOT_REQUIRED,analytics;platform,analytics.event.retention_days;analytics.traffic_types;platform.brand.name;platform.brand.slogan;platform.brand.logo_media_id;platform.customer_service.name;platform.customer_service.contact,catalogs/ui_page_specifications.csv;docs/02-ui/page-specs/,catalogs/ui_action_matrix.csv,TST-ANALYTICS_001-HAPPY;TST-ANALYTICS_001-IDEMPOTENT;TST-ANALYTICS_001-REJECT,releases/R23/STORIES.yaml;releases/R23/TASKS.yaml;releases/R30/STORIES.yaml;releases/R30/TASKS.yaml,catalogs/release_definition_of_ready.csv,开发后由CI回填,FROZEN_READY_V1.2.2
REQ-REF-002,邀请归因与反作弊,R25,P2,SCR-REF-001;SCR-REF-002;SCR-REF-003;SCR-REF-004;SCR-REF-005;SCR-REF-006;SCR-REF-007;SCR-REF-008;H5-003,GET /api/v1/me/referral/overview;GET /api/v1/me/referral/invite-assets;GET /api/v1/me/referral/posters;GET /api/v1/me/referral/direct-users;GET /api/v1/me/referral/level2-users;GET /api/v1/me/referral/commissions;GET /api/v1/me/referral/activity-rewards;GET /public-api/v1/agreements/{code};GET /public-api/v1/invite/{code};GET /public-api/v1/app/latest,N/A_NO_ADMIN_API,invite_codes;referral_relations;commission_records;referral_activity_progress;referral_milestone_rewards;h5_page_configs;cms_articles;agreements;app_versions;content_posts,REWARD_STATUS,referral;referral_activity;platform,commission.settlement_delay_hours;referral.max_commission_level;referral.binding_mode;referral.relation_change_allowed;referral.attribution_days;referral.block_self_invite;referral.block_same_device;referral.red_packet_principal_commissionable;referral.commission.default_level1_bps;referral.commission.default_level2_bps;referral_activity.settlement_delay_hours;referral_activity.event.first_register_login_score;referral_activity.event.first_approved_publish_score;referral_activity.enabled;referral_activity.milestones;referral_activity.score_daily_cap_per_invitee;referral_activity.reward_matrix_source;platform.brand.name;platform.brand.slogan;platform.brand.logo_media_id;platform.customer_service.name;platform.customer_service.contact,catalogs/ui_page_specifications.csv;docs/02-ui/page-specs/,catalogs/ui_action_matrix.csv,TST-REF_002-CONCURRENCY;TST-REF_002-HAPPY;TST-REF_002-IDEMPOTENT;TST-REF_002-RECOVERY;TST-REF_002-REJECT,releases/R25/STORIES.yaml;releases/R25/TASKS.yaml,catalogs/release_definition_of_ready.csv,开发后由CI回填,FROZEN_READY_V1.2.2
REQ-REF-ACT-002,直推活跃事件与矩阵配置,R26,P2,SCR-REF-001;SCR-REF-002;SCR-REF-003;SCR-REF-004;SCR-REF-005;SCR-REF-006;SCR-REF-007;SCR-REF-008;ADM-REF-001;ADM-REF-002;ADM-REF-003;ADM-REF-004;ADM-REF-005;ADM-REF-006,GET /api/v1/me/referral/overview;GET /api/v1/me/referral/invite-assets;GET /api/v1/me/referral/posters;GET /api/v1/me/referral/direct-users;GET /api/v1/me/referral/level2-users;GET /api/v1/me/referral/commissions;GET /api/v1/me/referral/activity-rewards;GET /public-api/v1/agreements/{code},GET /admin-api/v1/referral-relations;POST /admin-api/v1/referral-relations/{inviteeId}/adjust;GET /admin-api/v1/commission-policies;POST /admin-api/v1/commission-policies;GET /admin-api/v1/commissions;GET /admin-api/v1/referral-activity/rules;POST /admin-api/v1/referral-activity/rule-versions;GET /admin-api/v1/referral-activity/progress;GET /admin-api/v1/referral-activity/milestones;GET /admin-api/v1/referral-activity/rewards,invite_codes;referral_relations;commission_records;referral_activity_progress;referral_milestone_rewards;h5_page_configs;cms_articles;agreements;app_versions;content_posts;referral_activity_rule_versions;referral_activity_rules,REWARD_STATUS,referral;referral_activity;platform,commission.settlement_delay_hours;referral.max_commission_level;referral.binding_mode;referral.relation_change_allowed;referral.attribution_days;referral.block_self_invite;referral.block_same_device;referral.red_packet_principal_commissionable;referral.commission.default_level1_bps;referral.commission.default_level2_bps;referral_activity.settlement_delay_hours;referral_activity.event.first_register_login_score;referral_activity.event.first_approved_publish_score;referral_activity.enabled;referral_activity.milestones;referral_activity.score_daily_cap_per_invitee;referral_activity.reward_matrix_source;platform.brand.name;platform.brand.slogan;platform.brand.logo_media_id;platform.customer_service.name;platform.customer_service.contact,catalogs/ui_page_specifications.csv;docs/02-ui/page-specs/,catalogs/ui_action_matrix.csv,TST-REF_ACT_002-CONCURRENCY;TST-REF_ACT_002-HAPPY;TST-REF_ACT_002-IDEMPOTENT;TST-REF_ACT_002-RECOVERY;TST-REF_ACT_002-REJECT,releases/R26/STORIES.yaml;releases/R26/TASKS.yaml,catalogs/release_definition_of_ready.csv,开发后由CI回填,FROZEN_READY_V1.2.2
REQ-TASK-002,个人任务预算与留存,R27,P2,SCR-TASK-001;SCR-TASK-002;ADM-TASK-001;ADM-TASK-002,GET /api/v1/tasks;POST /api/v1/tasks/{id}/claim;GET /api/v1/me/points;GET /api/v1/me/point-ledger,GET /admin-api/v1/tasks;POST /admin-api/v1/tasks;PATCH /admin-api/v1/tasks/{id};GET /admin-api/v1/task-progress;GET /admin-api/v1/growth-budgets;PUT /admin-api/v1/growth-budgets/{id},task_definitions;user_task_progress;task_events;user_point_accounts;user_point_ledger;growth_budgets;task_rule_versions,REWARD_STATUS,task;platform,feature.personal_task_cash_reward;task.enabled;task.daily_point_cap;task.monthly_cash_reward_cap_cent;task.platform_daily_budget_cent;task.platform_monthly_budget_cent;task.incentivized_traffic_excluded_from_organic_rank;platform.brand.name;platform.brand.slogan;platform.brand.logo_media_id;platform.customer_service.name;platform.customer_service.contact,catalogs/ui_page_specifications.csv;docs/02-ui/page-specs/,catalogs/ui_action_matrix.csv,TST-TASK_002-CONCURRENCY;TST-TASK_002-HAPPY;TST-TASK_002-IDEMPOTENT;TST-TASK_002-RECOVERY;TST-TASK_002-REJECT,releases/R27/STORIES.yaml;releases/R27/TASKS.yaml,catalogs/release_definition_of_ready.csv,开发后由CI回填,FROZEN_READY_V1.2.2
REQ-CMS-001,H5与运营CMS,R28/R30,P2,H5-010;ADM-CMS-001;ADM-CMS-002;ADM-CMS-003,GET /public-api/v1/agreements/{code},GET /admin-api/v1/cms/home-modules;PUT /admin-api/v1/cms/home-modules;GET /admin-api/v1/cms/banners;POST /admin-api/v1/cms/banners;GET /admin-api/v1/cms/articles;POST /admin-api/v1/cms/articles;GET /admin-api/v1/cms/h5-pages;PUT /admin-api/v1/cms/h5-pages/{code},h5_page_configs;cms_articles;agreements;app_versions;content_posts;home_modules;banners,N/A_STATE_MACHINE_NOT_REQUIRED,operations;notification;platform,ops.backup.rpo_minutes;ops.recovery.rto_minutes;ops.audit_log.retention_days;ops.security_event.retention_days;ops.alert.error_rate_percent;ops.alert.api_p95_ms;notification.marketing.default_enabled;notification.quiet_hours.start;notification.quiet_hours.end;platform.brand.name;platform.brand.slogan;platform.brand.logo_media_id;platform.customer_service.name;platform.customer_service.contact,catalogs/ui_page_specifications.csv;docs/02-ui/page-specs/,catalogs/ui_action_matrix.csv,TST-CMS_001-HAPPY;TST-CMS_001-IDEMPOTENT;TST-CMS_001-REJECT,releases/R28/STORIES.yaml;releases/R28/TASKS.yaml;releases/R30/STORIES.yaml;releases/R30/TASKS.yaml,catalogs/release_definition_of_ready.csv,开发后由CI回填,FROZEN_READY_V1.2.2
REQ-APP-RELEASE-001,App版本检测与自有分发,R29/R32,P0,SCR-APP-001;SCR-APP-002;SCR-APP-003;SCR-ABOUT-001;H5-001;ADM-APP-001,GET /public-api/v1/platform/status;POST /public-api/v1/app/version-check;POST /api/v1/auth/refresh;GET /public-api/v1/app/latest;GET /public-api/v1/agreements/{code};GET /public-api/v1/home-page,GET /admin-api/v1/app-versions;POST /admin-api/v1/app-versions;POST /admin-api/v1/app-versions/{id}/publish,h5_page_configs;cms_articles;agreements;app_versions;content_posts;app_release_records;app_build_artifacts;users;user_credentials;auth_security_challenges;user_sessions;user_devices;sms_verification_codes;login_logs,N/A_STATE_MACHINE_NOT_REQUIRED,app_build;domain;platform;auth,app.android.application_id;app.android.staging_application_id;app.android.display_name;app.android.signing.staging_profile;app.android.signing.production_profile;app.build.runner;app.build.allowed_ref_patterns;app.build.artifact_storage_scope;app.release.default_update_type;app.release.require_two_person_approval;app.build.apk_required_for_android_release;app.build.timeout_minutes;app.build.max_concurrent_jobs;app.build.artifact_retention_days;app.build.arbitrary_shell_allowed;app.build.white_label_enabled;app.android.min_sdk;app.android.target_sdk;app.android.version_code_strategy;platform.base_domain;domain.www.host;domain.api.host;domain.ws.host;domain.admin.host;domain.h5.host;domain.download.host;domain.assets.host;domain.stg_api.host;domain.stg_ws.host;domain.stg_admin.host;domain.stg_h5.host;domain.stg_download.host;platform.brand.name;platform.brand.slogan;platform.brand.logo_media_id;platform.customer_service.name;platform.customer_service.contact;auth.default_login_method;auth.security_challenge.provider;auth.security_challenge.mode;auth.password.min_length;auth.password.max_length;auth.password.max_failures;auth.password.lock_seconds;auth.invite.app_required;auth.invite.h5_required;auth.nickname.prefix;auth.nickname.random_digits;auth.security_challenge.ttl_seconds;auth.security_challenge.max_attempts;auth.password.require_letters;auth.password.require_digits;auth.session.access_ttl_seconds;auth.session.refresh_ttl_seconds;auth.session.max_active_devices;auth.registration.daily_ip_limit;auth.registration.daily_device_limit;auth.login.daily_ip_failure_limit,catalogs/ui_page_specifications.csv;docs/02-ui/page-specs/,catalogs/ui_action_matrix.csv,TST-APP_RELEASE_001-HAPPY;TST-APP_RELEASE_001-IDEMPOTENT;TST-APP_RELEASE_001-REJECT,releases/R29/STORIES.yaml;releases/R29/TASKS.yaml;releases/R32/STORIES.yaml;releases/R32/TASKS.yaml,catalogs/release_definition_of_ready.csv,开发后由CI回填,FROZEN_READY_V1.2.2
REQ-ADMIN-001,完整运营后台,R30,P0,ADM-DASH-001;ADM-USER-001;ADM-USER-002,N/A_NO_CLIENT_API,GET /admin-api/v1/dashboard/summary;GET /admin-api/v1/dashboard/todos;GET /admin-api/v1/users;GET /admin-api/v1/users/{id};POST /admin-api/v1/users/{id}/restrictions;DELETE /admin-api/v1/users/{id}/restrictions/{type};POST /admin-api/v1/users/{id}/freeze;POST /admin-api/v1/users/{id}/unfreeze;POST /admin-api/v1/users/{id}/force-logout,daily_kpis;analytics_events;users;user_profiles;user_status_logs;user_sessions,N/A_STATE_MACHINE_NOT_REQUIRED,system;auth;operations;platform,system.maintenance.enabled;system.maintenance.message;system.registration.enabled;system.publish.enabled;system.red_packet.enabled;system.withdrawal.enabled;auth.default_login_method;auth.security_challenge.provider;auth.security_challenge.mode;auth.password.min_length;auth.password.max_length;auth.password.max_failures;auth.password.lock_seconds;auth.invite.app_required;auth.invite.h5_required;auth.nickname.prefix;auth.nickname.random_digits;auth.security_challenge.ttl_seconds;auth.security_challenge.max_attempts;auth.password.require_letters;auth.password.require_digits;auth.session.access_ttl_seconds;auth.session.refresh_ttl_seconds;auth.session.max_active_devices;auth.registration.daily_ip_limit;auth.registration.daily_device_limit;auth.login.daily_ip_failure_limit;ops.backup.rpo_minutes;ops.recovery.rto_minutes;ops.audit_log.retention_days;ops.security_event.retention_days;ops.alert.error_rate_percent;ops.alert.api_p95_ms;platform.brand.name;platform.brand.slogan;platform.brand.logo_media_id;platform.customer_service.name;platform.customer_service.contact,catalogs/ui_page_specifications.csv;docs/02-ui/page-specs/,catalogs/ui_action_matrix.csv,TST-ADMIN_001-HAPPY;TST-ADMIN_001-IDEMPOTENT;TST-ADMIN_001-REJECT,releases/R30/STORIES.yaml;releases/R30/TASKS.yaml,catalogs/release_definition_of_ready.csv,开发后由CI回填,FROZEN_READY_V1.2.2
REQ-RBAC-001,RBAC审批与审计,R30,P0,ADM-RBAC-001;ADM-AUDIT-001;ADM-SECURITY-001;ADM-APPROVAL-001;ADM-EXPORT-001,N/A_NO_CLIENT_API,GET /admin-api/v1/admin-users;POST /admin-api/v1/admin-users;GET /admin-api/v1/roles;PUT /admin-api/v1/roles/{id}/permissions;GET /admin-api/v1/audit/logs;POST /admin-api/v1/auth/logout;GET /admin-api/v1/approvals;POST /admin-api/v1/approvals/{id}/decide;GET /admin-api/v1/export-jobs;POST /admin-api/v1/export-jobs;GET /admin-api/v1/export-jobs/{id};POST /admin-api/v1/export-jobs/{id}/download-token;GET /admin-api/v1/me/security;POST /admin-api/v1/me/security/password/change;POST /admin-api/v1/me/security/mfa/enroll;POST /admin-api/v1/me/security/mfa/confirm;POST /admin-api/v1/me/security/mfa/disable,admin_users;admin_roles;admin_permissions;admin_user_roles;admin_role_permissions;admin_operation_logs;sensitive_data_access_logs,N/A_STATE_MACHINE_NOT_REQUIRED,system;auth;operations;platform;analytics,system.maintenance.enabled;system.maintenance.message;system.registration.enabled;system.publish.enabled;system.red_packet.enabled;system.withdrawal.enabled;auth.default_login_method;auth.security_challenge.provider;auth.security_challenge.mode;auth.password.min_length;auth.password.max_length;auth.password.max_failures;auth.password.lock_seconds;auth.invite.app_required;auth.invite.h5_required;auth.nickname.prefix;auth.nickname.random_digits;auth.security_challenge.ttl_seconds;auth.security_challenge.max_attempts;auth.password.require_letters;auth.password.require_digits;auth.session.access_ttl_seconds;auth.session.refresh_ttl_seconds;auth.session.max_active_devices;auth.registration.daily_ip_limit;auth.registration.daily_device_limit;auth.login.daily_ip_failure_limit;ops.backup.rpo_minutes;ops.recovery.rto_minutes;ops.audit_log.retention_days;ops.security_event.retention_days;ops.alert.error_rate_percent;ops.alert.api_p95_ms;platform.brand.name;platform.brand.slogan;platform.brand.logo_media_id;platform.customer_service.name;platform.customer_service.contact;analytics.event.retention_days;analytics.traffic_types,catalogs/ui_page_specifications.csv;docs/02-ui/page-specs/,catalogs/ui_action_matrix.csv,TST-RBAC_001-HAPPY;TST-RBAC_001-IDEMPOTENT;TST-RBAC_001-REJECT;TST-RBAC_001-SECURITY;TST-V122-028;TST-V122-029,releases/R30/STORIES.yaml;releases/R30/TASKS.yaml,catalogs/release_definition_of_ready.csv,开发后由CI回填,FROZEN_READY_V1.2.2
REQ-SEC-001,全量安全和性能验收,R31,P0,ADM-RISK-001;ADM-RISK-002;ADM-RISK-003;ADM-RISK-004,N/A_NO_CLIENT_API,GET /admin-api/v1/risk/events;POST /admin-api/v1/risk/events/{id}/decide;GET /admin-api/v1/risk/rule-versions;POST /admin-api/v1/risk/rule-versions;GET /admin-api/v1/risk/blacklists;POST /admin-api/v1/risk/blacklists;DELETE /admin-api/v1/risk/blacklists/{id};GET /admin-api/v1/risk-rule-versions;POST /admin-api/v1/risk-rule-versions;POST /admin-api/v1/risk-rule-versions/{id}/simulate;POST /admin-api/v1/risk-rule-versions/{id}/activate,risk_rule_versions;risk_events;blacklists;whitelists;manual_review_cases,N/A_STATE_MACHINE_NOT_REQUIRED,auth;system;operations;red_packet;withdrawal,auth.default_login_method;auth.security_challenge.provider;auth.security_challenge.mode;auth.password.min_length;auth.password.max_length;auth.password.max_failures;auth.password.lock_seconds;auth.invite.app_required;auth.invite.h5_required;auth.nickname.prefix;auth.nickname.random_digits;auth.security_challenge.ttl_seconds;auth.security_challenge.max_attempts;auth.password.require_letters;auth.password.require_digits;auth.session.access_ttl_seconds;auth.session.refresh_ttl_seconds;auth.session.max_active_devices;auth.registration.daily_ip_limit;auth.registration.daily_device_limit;auth.login.daily_ip_failure_limit;system.maintenance.enabled;system.maintenance.message;system.registration.enabled;system.publish.enabled;system.red_packet.enabled;system.withdrawal.enabled;ops.backup.rpo_minutes;ops.recovery.rto_minutes;ops.audit_log.retention_days;ops.security_event.retention_days;ops.alert.error_rate_percent;ops.alert.api_p95_ms;red_packet.default_view_seconds;red_packet.reservation_min_seconds;red_packet.unit_amount_min_cent;red_packet.unit_amount_max_cent;red_packet.min_count;red_packet.service_fee_bps;red_packet.one_active_per_content;red_packet.allow_raise_unit_amount;red_packet.allow_refund;red_packet.view_seconds.min;red_packet.view_seconds.max;red_packet.reservation_extra_seconds;red_packet.reservation_max_seconds;red_packet.max_count;red_packet.claim_per_user;red_packet.heartbeat_interval_seconds;red_packet.session_timeout_seconds;red_packet.settlement_delay_hours;red_packet.pause_max_days;red_packet.owner_close_allowed;red_packet.member_fee_discount_bps.normal;red_packet.member_fee_discount_bps.month;red_packet.member_fee_discount_bps.quarter;red_packet.member_fee_discount_bps.year;red_packet.min_service_fee_cent;red_packet.risk.new_account_hold_hours;withdrawal.min_amount_cent.normal;withdrawal.fee.fixed_cent.normal;withdrawal.fee.bps.normal;withdrawal.daily_count.normal;withdrawal.min_amount_cent.month;withdrawal.fee.fixed_cent.month;withdrawal.fee.bps.month;withdrawal.daily_count.month;withdrawal.min_amount_cent.quarter;withdrawal.fee.fixed_cent.quarter;withdrawal.fee.bps.quarter;withdrawal.daily_count.quarter;withdrawal.min_amount_cent.year;withdrawal.fee.fixed_cent.year;withdrawal.fee.bps.year;withdrawal.daily_count.year;withdrawal.max_amount_cent.normal;withdrawal.daily_total_cent.normal;withdrawal.monthly_total_cent.normal;withdrawal.monthly_free_count.normal;withdrawal.max_amount_cent.month;withdrawal.daily_total_cent.month;withdrawal.monthly_total_cent.month;withdrawal.monthly_free_count.month;withdrawal.max_amount_cent.quarter;withdrawal.daily_total_cent.quarter;withdrawal.monthly_total_cent.quarter;withdrawal.monthly_free_count.quarter;withdrawal.max_amount_cent.year;withdrawal.daily_total_cent.year;withdrawal.monthly_total_cent.year;withdrawal.monthly_free_count.year;withdrawal.account_change_cooldown_hours;withdrawal.new_device_wait_hours;withdrawal.auto_review_threshold_cent;withdrawal.open_time_windows,catalogs/ui_page_specifications.csv;docs/02-ui/page-specs/,catalogs/ui_action_matrix.csv,TST-SEC_001-HAPPY;TST-SEC_001-IDEMPOTENT;TST-SEC_001-REJECT;TST-SEC_001-SECURITY,releases/R31/STORIES.yaml;releases/R31/TASKS.yaml,catalogs/release_definition_of_ready.csv,开发后由CI回填,FROZEN_READY_V1.2.2
REQ-OPS-001,监控备份灾备与回滚,R31,P0,ADM-JOB-001,N/A_NO_CLIENT_API,GET /admin-api/v1/jobs;POST /admin-api/v1/jobs/{code}/run,job_definitions;job_execution_logs,N/A_STATE_MACHINE_NOT_REQUIRED,operations;domain;platform,ops.backup.rpo_minutes;ops.recovery.rto_minutes;ops.audit_log.retention_days;ops.security_event.retention_days;ops.alert.error_rate_percent;ops.alert.api_p95_ms;platform.base_domain;domain.www.host;domain.api.host;domain.ws.host;domain.admin.host;domain.h5.host;domain.download.host;domain.assets.host;domain.stg_api.host;domain.stg_ws.host;domain.stg_admin.host;domain.stg_h5.host;domain.stg_download.host;platform.brand.name;platform.brand.slogan;platform.brand.logo_media_id;platform.customer_service.name;platform.customer_service.contact,catalogs/ui_page_specifications.csv;docs/02-ui/page-specs/,catalogs/ui_action_matrix.csv,TST-OPS_001-HAPPY;TST-OPS_001-IDEMPOTENT;TST-OPS_001-REJECT,releases/R31/STORIES.yaml;releases/R31/TASKS.yaml,catalogs/release_definition_of_ready.csv,开发后由CI回填,FROZEN_READY_V1.2.2
