页面ID,平台,路由,允许入口,成功出口,取消/返回,未登录处理,无权限处理,资源不存在处理,深链规则,返回栈规则,成熟度
SCR-NOTICE-002,ANDROID,/messages/notifications/{id},从列表、通知、分享深链或关联业务入口进入，路由参数必须完整,按动作成功后导航列执行；未指定时留在当前页并刷新,返回来源页并同步资源最新状态；来源失效时回到所属模块首页,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-ANN-001,ANDROID,/messages/announcements,从上级页面、导航入口、通知或业务流程进入,按动作成功后导航列执行；未指定时留在当前页并刷新,按导航栈返回；成功流程按动作规格进入结果或详情,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-ANN-002,ANDROID,/messages/announcements/{id},从列表、通知、分享深链或关联业务入口进入，路由参数必须完整,按动作成功后导航列执行；未指定时留在当前页并刷新,返回来源页并同步资源最新状态；来源失效时回到所属模块首页,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-ME-001,ANDROID,/me,登录后由底部导航、业务通知或深链进入,按动作成功后导航列执行；未指定时留在当前页并刷新,切换底部导航；返回键按应用根导航策略处理,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-ME-002,ANDROID,/me/profile,从上级页面、导航入口、通知或业务流程进入,按动作成功后导航列执行；未指定时留在当前页并刷新,按导航栈返回；成功流程按动作规格进入结果或详情,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-FAV-001,ANDROID,/me/favorites,从上级页面、导航入口、通知或业务流程进入,按动作成功后导航列执行；未指定时留在当前页并刷新,按导航栈返回；成功流程按动作规格进入结果或详情,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-HIS-001,ANDROID,/me/history,从上级页面、导航入口、通知或业务流程进入,按动作成功后导航列执行；未指定时留在当前页并刷新,按导航栈返回；成功流程按动作规格进入结果或详情,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-ORDER-001,ANDROID,/me/orders,从上级页面、导航入口、通知或业务流程进入,按动作成功后导航列执行；未指定时留在当前页并刷新,按导航栈返回；成功流程按动作规格进入结果或详情,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-ORDER-002,ANDROID,/me/orders/{id},从列表、通知、分享深链或关联业务入口进入，路由参数必须完整,按动作成功后导航列执行；未指定时留在当前页并刷新,返回来源页并同步资源最新状态；来源失效时回到所属模块首页,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-MEMBER-001,ANDROID,/me/membership,从上级页面、导航入口、通知或业务流程进入,按动作成功后导航列执行；未指定时留在当前页并刷新,按导航栈返回；成功流程按动作规格进入结果或详情,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-MEMBER-002,ANDROID,/me/membership/buy/{skuId},从列表、通知、分享深链或关联业务入口进入，路由参数必须完整,按动作成功后导航列执行；未指定时留在当前页并刷新,返回来源页并同步资源最新状态；来源失效时回到所属模块首页,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-MEMBER-003,ANDROID,/me/membership/upgrade,从上级页面、导航入口、通知或业务流程进入,按动作成功后导航列执行；未指定时留在当前页并刷新,按导航栈返回；成功流程按动作规格进入结果或详情,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-MEMBER-004,ANDROID,/me/membership/benefits,从上级页面、导航入口、通知或业务流程进入,按动作成功后导航列执行；未指定时留在当前页并刷新,按导航栈返回；成功流程按动作规格进入结果或详情,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-PROP-001,ANDROID,/me/props/store,从上级页面、导航入口、通知或业务流程进入,按动作成功后导航列执行；未指定时留在当前页并刷新,按导航栈返回；成功流程按动作规格进入结果或详情,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-PROP-002,ANDROID,/me/props,从上级页面、导航入口、通知或业务流程进入,按动作成功后导航列执行；未指定时留在当前页并刷新,按导航栈返回；成功流程按动作规格进入结果或详情,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-PROP-003,ANDROID,/me/props/use/{id},从列表、通知、分享深链或关联业务入口进入，路由参数必须完整,按动作成功后导航列执行；未指定时留在当前页并刷新,返回来源页并同步资源最新状态；来源失效时回到所属模块首页,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-REF-001,ANDROID,/me/referral,从上级页面、导航入口、通知或业务流程进入,按动作成功后导航列执行；未指定时留在当前页并刷新,按导航栈返回；成功流程按动作规格进入结果或详情,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-REF-002,ANDROID,/me/referral/invite,从上级页面、导航入口、通知或业务流程进入,按动作成功后导航列执行；未指定时留在当前页并刷新,按导航栈返回；成功流程按动作规格进入结果或详情,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-REF-003,ANDROID,/me/referral/posters,从上级页面、导航入口、通知或业务流程进入,按动作成功后导航列执行；未指定时留在当前页并刷新,按导航栈返回；成功流程按动作规格进入结果或详情,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-REF-004,ANDROID,/me/referral/direct,从上级页面、导航入口、通知或业务流程进入,按动作成功后导航列执行；未指定时留在当前页并刷新,按导航栈返回；成功流程按动作规格进入结果或详情,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-REF-005,ANDROID,/me/referral/level2,从上级页面、导航入口、通知或业务流程进入,按动作成功后导航列执行；未指定时留在当前页并刷新,按导航栈返回；成功流程按动作规格进入结果或详情,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-REF-006,ANDROID,/me/referral/commissions,从上级页面、导航入口、通知或业务流程进入,按动作成功后导航列执行；未指定时留在当前页并刷新,按导航栈返回；成功流程按动作规格进入结果或详情,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-REF-007,ANDROID,/me/referral/activity-rewards,从上级页面、导航入口、通知或业务流程进入,按动作成功后导航列执行；未指定时留在当前页并刷新,按导航栈返回；成功流程按动作规格进入结果或详情,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-REF-008,ANDROID,/me/referral/rules,从上级页面、导航入口、通知或业务流程进入,按动作成功后导航列执行；未指定时留在当前页并刷新,按导航栈返回；成功流程按动作规格进入结果或详情,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-TASK-001,ANDROID,/me/tasks,从上级页面、导航入口、通知或业务流程进入,按动作成功后导航列执行；未指定时留在当前页并刷新,按导航栈返回；成功流程按动作规格进入结果或详情,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-TASK-002,ANDROID,/me/tasks/points,从上级页面、导航入口、通知或业务流程进入,按动作成功后导航列执行；未指定时留在当前页并刷新,按导航栈返回；成功流程按动作规格进入结果或详情,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-REWARD-001,ANDROID,/me/rewards,从上级页面、导航入口、通知或业务流程进入,按动作成功后导航列执行；未指定时留在当前页并刷新,按导航栈返回；成功流程按动作规格进入结果或详情,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-REWARD-002,ANDROID,/me/rewards/ledger,从上级页面、导航入口、通知或业务流程进入,按动作成功后导航列执行；未指定时留在当前页并刷新,按导航栈返回；成功流程按动作规格进入结果或详情,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-WD-001,ANDROID,/me/withdrawal/account,从上级页面、导航入口、通知或业务流程进入,按动作成功后导航列执行；未指定时留在当前页并刷新,按导航栈返回；成功流程按动作规格进入结果或详情,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-WD-002,ANDROID,/me/withdrawal/create,从上级页面、导航入口、通知或业务流程进入,按动作成功后导航列执行；未指定时留在当前页并刷新,按导航栈返回；成功流程按动作规格进入结果或详情,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-WD-003,ANDROID,/me/withdrawal/history,从上级页面、导航入口、通知或业务流程进入,按动作成功后导航列执行；未指定时留在当前页并刷新,按导航栈返回；成功流程按动作规格进入结果或详情,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-ID-001,ANDROID,/me/identity,从上级页面、导航入口、通知或业务流程进入,按动作成功后导航列执行；未指定时留在当前页并刷新,按导航栈返回；成功流程按动作规格进入结果或详情,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-ID-002,ANDROID,/me/identity/form,从上级页面、导航入口、通知或业务流程进入,按动作成功后导航列执行；未指定时留在当前页并刷新,按导航栈返回；成功流程按动作规格进入结果或详情,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-ID-003,ANDROID,/me/identity/liveness,从上级页面、导航入口、通知或业务流程进入,按动作成功后导航列执行；未指定时留在当前页并刷新,按导航栈返回；成功流程按动作规格进入结果或详情,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-ID-004,ANDROID,/me/identity/result,从上级页面、导航入口、通知或业务流程进入,按动作成功后导航列执行；未指定时留在当前页并刷新,按导航栈返回；成功流程按动作规格进入结果或详情,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-SUPPORT-001,ANDROID,/support/help,从上级页面、导航入口、通知或业务流程进入,按动作成功后导航列执行；未指定时留在当前页并刷新,按导航栈返回；成功流程按动作规格进入结果或详情,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-SUPPORT-002,ANDROID,/support/tickets/create,从上级页面、导航入口、通知或业务流程进入,按动作成功后导航列执行；未指定时留在当前页并刷新,按导航栈返回；成功流程按动作规格进入结果或详情,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-SUPPORT-003,ANDROID,/support/tickets,从上级页面、导航入口、通知或业务流程进入,按动作成功后导航列执行；未指定时留在当前页并刷新,按导航栈返回；成功流程按动作规格进入结果或详情,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-SUPPORT-004,ANDROID,/support/tickets/{id},从列表、通知、分享深链或关联业务入口进入，路由参数必须完整,按动作成功后导航列执行；未指定时留在当前页并刷新,返回来源页并同步资源最新状态；来源失效时回到所属模块首页,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-SET-001,ANDROID,/me/settings,从上级页面、导航入口、通知或业务流程进入,按动作成功后导航列执行；未指定时留在当前页并刷新,按导航栈返回；成功流程按动作规格进入结果或详情,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-ABOUT-001,ANDROID,/me/about,从上级页面、导航入口、通知或业务流程进入,按动作成功后导航列执行；未指定时留在当前页并刷新,按导航栈返回；成功流程按动作规格进入结果或详情,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SHEET-MEDIA-001,ANDROID,sheet://media-upload,由拥有该动作的页面显式打开，携带不可变目标快照,按动作成功后导航列执行；未指定时留在当前页并刷新,成功后向调用页回传结果并关闭；取消恢复触发控件焦点,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,禁止外部深链直接打开；必须由受信任调用页创建上下文,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
DIALOG-SEARCH-001,ANDROID,dialog://search-history-clear,由拥有该动作的页面显式打开，携带不可变目标快照,按动作成功后导航列执行；未指定时留在当前页并刷新,成功后向调用页回传结果并关闭；取消恢复触发控件焦点,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,禁止外部深链直接打开；必须由受信任调用页创建上下文,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SHEET-CONTENT-INVALID-001,ANDROID,sheet://content-invalid-feedback,由拥有该动作的页面显式打开，携带不可变目标快照,按动作成功后导航列执行；未指定时留在当前页并刷新,成功后向调用页回传结果并关闭；取消恢复触发控件焦点,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,禁止外部深链直接打开；必须由受信任调用页创建上下文,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
DIALOG-CHAT-BLOCK-001,ANDROID,dialog://chat-block,由拥有该动作的页面显式打开，携带不可变目标快照,按动作成功后导航列执行；未指定时留在当前页并刷新,成功后向调用页回传结果并关闭；取消恢复触发控件焦点,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,禁止外部深链直接打开；必须由受信任调用页创建上下文,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
DIALOG-CHAT-DELETE-001,ANDROID,dialog://chat-delete,由拥有该动作的页面显式打开，携带不可变目标快照,按动作成功后导航列执行；未指定时留在当前页并刷新,成功后向调用页回传结果并关闭；取消恢复触发控件焦点,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,禁止外部深链直接打开；必须由受信任调用页创建上下文,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-SUPPORT-005,ANDROID,/support/help/{id},从列表、通知、分享深链或关联业务入口进入，路由参数必须完整,按动作成功后导航列执行；未指定时留在当前页并刷新,返回来源页并同步资源最新状态；来源失效时回到所属模块首页,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
H5-001,H5,/,外部链接、搜索引擎、分享卡片、邀请链接、支付/实名回跳或App内WebView,按动作成功后导航列执行；未指定时留在当前页并刷新,优先返回App或来源页；无App环境时进入下载/帮助；禁止回到含敏感参数的URL,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,允许HTTPS外链；查询参数白名单；邀请/归因/state使用一次性或签名校验,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
H5-002,H5,/install-guide,外部链接、搜索引擎、分享卡片、邀请链接、支付/实名回跳或App内WebView,按动作成功后导航列执行；未指定时留在当前页并刷新,优先返回App或来源页；无App环境时进入下载/帮助；禁止回到含敏感参数的URL,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,允许HTTPS外链；查询参数白名单；邀请/归因/state使用一次性或签名校验,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
H5-003,H5,/invite/{code},外部链接、搜索引擎、分享卡片、邀请链接、支付/实名回跳或App内WebView,按动作成功后导航列执行；未指定时留在当前页并刷新,优先返回App或来源页；无App环境时进入下载/帮助；禁止回到含敏感参数的URL,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,允许HTTPS外链；查询参数白名单；邀请/归因/state使用一次性或签名校验,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
H5-013,H5,/invite/{code}/register,外部链接、搜索引擎、分享卡片、邀请链接、支付/实名回跳或App内WebView,按动作成功后导航列执行；未指定时留在当前页并刷新,优先返回App或来源页；无App环境时进入下载/帮助；禁止回到含敏感参数的URL,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,允许HTTPS外链；查询参数白名单；邀请/归因/state使用一次性或签名校验,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
H5-004,H5,/share/project/{id},外部链接、搜索引擎、分享卡片、邀请链接、支付/实名回跳或App内WebView,按动作成功后导航列执行；未指定时留在当前页并刷新,优先返回App或来源页；无App环境时进入下载/帮助；禁止回到含敏感参数的URL,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,允许HTTPS外链；查询参数白名单；邀请/归因/state使用一次性或签名校验,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
H5-005,H5,/share/app/{id},外部链接、搜索引擎、分享卡片、邀请链接、支付/实名回跳或App内WebView,按动作成功后导航列执行；未指定时留在当前页并刷新,优先返回App或来源页；无App环境时进入下载/帮助；禁止回到含敏感参数的URL,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,允许HTTPS外链；查询参数白名单；邀请/归因/state使用一次性或签名校验,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
H5-006,H5,/share/group/{id},外部链接、搜索引擎、分享卡片、邀请链接、支付/实名回跳或App内WebView,按动作成功后导航列执行；未指定时留在当前页并刷新,优先返回App或来源页；无App环境时进入下载/帮助；禁止回到含敏感参数的URL,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,允许HTTPS外链；查询参数白名单；邀请/归因/state使用一次性或签名校验,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
H5-007,H5,/share/team-leader/{id},外部链接、搜索引擎、分享卡片、邀请链接、支付/实名回跳或App内WebView,按动作成功后导航列执行；未指定时留在当前页并刷新,优先返回App或来源页；无App环境时进入下载/帮助；禁止回到含敏感参数的URL,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,允许HTTPS外链；查询参数白名单；邀请/归因/state使用一次性或签名校验,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
