故事ID,版本,主题,用户故事,平台,模块,模板ID,页面ID,operationId,API契约,需求ID,配置项,数据表,测试ID,依赖版本,责任角色,验收条件,DoR,状态
STORY-R19-002,R19,道具：使用道具,作为已登录用户；公开能力仅限文档明确的H5页面，我需要完成使用道具的完整业务流程，以便在不依赖研发临时决策的情况下实现选择内容和确认。,ANDROID,道具,MOB-FORM,SCR-PROP-003,propGetMeProps;propPostMePropsByIdUse,GET /api/v1/me/props;POST /api/v1/me/props/{id}/use,REQ-PROP-001;REQ-PROP-002,props.top_duration_seconds;props.headline_duration_seconds;props.color_duration_seconds;props.refresh_cooldown_seconds;props.same_type.stack_duration;props.same_page.deduplicate_content;props.refresh.daily_limit.normal;props.refresh.daily_limit.month,prop_products;prop_skus;user_props;content_exposure_entitlements;content_refresh_records;headline_slot_bookings;prop_execution_logs;system_configs,TST-PROP_001-HAPPY;TST-PROP_002-HAPPY;TST-PROP_001-IDEMPOTENT;TST-PROP_002-IDEMPOTENT,R17;R12,android_engineer;backend_engineer;test_engineer,SCR-PROP-003 全部绑定模板 MOB-FORM，字段、状态、动作、导航和错误恢复无TBD || 页面调用 operationId：propGetMeProps;propPostMePropsByIdUse；请求/响应字段不得另行发明 || 按钮显示、可用和确认条件与服务端状态机、权限、expectedVersion、幂等策略一致 || 首屏、空、刷新、翻页/局部失败、无权限、404、离线和版本冲突状态按页面状态目录实现 || 敏感字段按分级脱敏；高敏读取和后台写操作完整审计 || 自动化覆盖：TST-PROP_001-HAPPY;TST-PROP_002-HAPPY;TST-PROP_001-IDEMPOTENT;TST-PROP_002-IDEMPOTENT,READY,READY_FOR_IMPLEMENTATION
STORY-R19-003,R19,道具：道具商城、我的道具,作为已登录用户；公开能力仅限文档明确的H5页面，我需要完成道具商城、我的道具的完整业务流程，以便在不依赖研发临时决策的情况下实现四类道具。,ANDROID,道具,MOB-LIST,SCR-PROP-001;SCR-PROP-002,propGetPropsStore;propPostPropsOrders;propGetMeProps,GET /api/v1/props/store;POST /api/v1/props/orders;GET /api/v1/me/props,REQ-PROP-001;REQ-PROP-002,props.top_duration_seconds;props.headline_duration_seconds;props.color_duration_seconds;props.refresh_cooldown_seconds;props.same_type.stack_duration;props.same_page.deduplicate_content;props.refresh.daily_limit.normal;props.refresh.daily_limit.month,prop_products;prop_skus;user_props;content_exposure_entitlements;content_refresh_records;headline_slot_bookings;prop_execution_logs;system_configs,TST-PROP_001-HAPPY;TST-PROP_002-HAPPY;TST-PROP_001-IDEMPOTENT;TST-PROP_002-IDEMPOTENT,R17;R12,android_engineer;backend_engineer;test_engineer,SCR-PROP-001;SCR-PROP-002 全部绑定模板 MOB-LIST，字段、状态、动作、导航和错误恢复无TBD || 页面调用 operationId：propGetPropsStore;propPostPropsOrders;propGetMeProps；请求/响应字段不得另行发明 || 按钮显示、可用和确认条件与服务端状态机、权限、expectedVersion、幂等策略一致 || 首屏、空、刷新、翻页/局部失败、无权限、404、离线和版本冲突状态按页面状态目录实现 || 敏感字段按分级脱敏；高敏读取和后台写操作完整审计 || 自动化覆盖：TST-PROP_001-HAPPY;TST-PROP_002-HAPPY;TST-PROP_001-IDEMPOTENT;TST-PROP_002-IDEMPOTENT,READY,READY_FOR_IMPLEMENTATION
STORY-R19-004,R19,道具与曝光层级：契约、数据、配置、测试与交接,作为技术负责人，我需要按冻结的 R19 契约和DoR完成数据、后端、配置、测试、观测与交接，使前端故事能够稳定落地并可追溯。,CROSS_PLATFORM,工程治理,N/A,SCR-PROP-001;SCR-PROP-002;SCR-PROP-003;ADM-PROP-001;ADM-PROP-002;ADM-PROP-003,propGetPropsStore;propGetMeProps;propPostPropsOrders;propPostMePropsByIdUse;adminPropsGetProps;adminPropsPatchPropsById;adminPropsGetHeadlineSlots;adminPropsPostHeadlineSlots;adminPropsGetPropExecutions,GET /api/v1/props/store;GET /api/v1/me/props;POST /api/v1/props/orders;POST /api/v1/me/props/{id}/use;GET /admin-api/v1/props;PATCH /admin-api/v1/props/{id};GET /admin-api/v1/headline-slots;POST /admin-api/v1/headline-slots;GET /admin-api/v1/prop-executions,REQ-PROP-001;REQ-PROP-002,props.top_duration_seconds;props.headline_duration_seconds;props.color_duration_seconds;props.refresh_cooldown_seconds;props.same_type.stack_duration;props.same_page.deduplicate_content;props.refresh.daily_limit.normal;props.refresh.daily_limit.month,prop_products;prop_skus;user_props;content_exposure_entitlements;content_refresh_records;headline_slot_bookings;prop_execution_logs;system_configs,TST-PROP_001-HAPPY;TST-PROP_001-IDEMPOTENT;TST-PROP_001-REJECT;TST-PROP_002-HAPPY;TST-PROP_002-IDEMPOTENT;TST-PROP_002-REJECT,R17;R12,tech_lead;backend_engineer;database_engineer;test_engineer;devops_engineer,OpenAPI、状态机、数据库迁移、配置Schema和页面契约引用一致，代码生成不得产生手工分叉 || 每个需求可追溯到页面/API/表/配置/测试/故事；不适用项必须显式N/A并说明 || 版本DoR全部PASS后方可编码；出口仍按原RELEASE_MANIFEST和ACCEPTANCE_MATRIX执行 || 变更必须通过CR，更新唯一事实源并重新生成全部派生目录和哈希 || 完成Session Log、追踪矩阵、发布证据和下一任务交接,READY,READY_FOR_IMPLEMENTATION
STORY-R20-001,R20,红包：红包活动列表,作为具备 redpacket.read 的后台员工；写操作另需 redpacket.manage，我需要完成红包活动列表的完整业务流程，以便在不依赖研发临时决策的情况下实现活动状态和金额。,ADMIN,红包,ADM-LIST,ADM-RP-001,adminRedPacketGetRedPacketCampaigns;adminRedPacketGetRedPacketCampaignsById;adminRedPacketGetRedPacketCampaignsByIdSessions;adminRedPacketGetRedPacketCampaignsByIdClaims;adminRedPacketGetRedPacketCampaignsByIdLedger,GET /admin-api/v1/red-packet-campaigns;GET /admin-api/v1/red-packet-campaigns/{id};GET /admin-api/v1/red-packet-campaigns/{id}/sessions;GET /admin-api/v1/red-packet-campaigns/{id}/claims;GET /admin-api/v1/red-packet-campaigns/{id}/ledger,REQ-RP-004;REQ-RP-006,red_packet.default_view_seconds;red_packet.reservation_min_seconds;red_packet.unit_amount_min_cent;red_packet.unit_amount_max_cent;red_packet.min_count;red_packet.service_fee_bps;red_packet.one_active_per_content;red_packet.allow_raise_unit_amount,red_packet_campaigns;red_packet_campaign_versions;red_packet_quotes;red_packet_orders;red_packet_stock;red_packet_view_sessions;red_packet_reservations;red_packet_claims;red_packet_ledger;reward_ledger;outbox_events;reward_accounts;reward_settlements;reward_freezes;accounting_entries,TST-RP_004-HAPPY;TST-RP_006-HAPPY,R05;R12;R17,admin_frontend_engineer;backend_engineer;test_engineer,ADM-RP-001 全部绑定模板 ADM-LIST，字段、状态、动作、导航和错误恢复无TBD || 页面调用 operationId：adminRedPacketGetRedPacketCampaigns;adminRedPacketGetRedPacketCampaignsById;adminRedPacketGetRedPacketCampaignsByIdSessions;adminRedPacketGetRedPacketCampaignsByIdClaims;adminRedPacketGetRedPacketCampaignsByIdLedger；请求/响应字段不得另行发明 || 按钮显示、可用和确认条件与服务端状态机、权限、expectedVersion、幂等策略一致 || 首屏、空、刷新、翻页/局部失败、无权限、404、离线和版本冲突状态按页面状态目录实现 || 敏感字段按分级脱敏；高敏读取和后台写操作完整审计 || 自动化覆盖：TST-RP_004-HAPPY;TST-RP_006-HAPPY,READY,READY_FOR_IMPLEMENTATION
STORY-R20-002,R20,红包：红包预审核,作为具备 redpacket.read 的后台员工；写操作另需 redpacket.manage，我需要完成红包预审核的完整业务流程，以便在不依赖研发临时决策的情况下实现规则和内容联查。,ADMIN,红包,ADM-REVIEW,ADM-RP-003,adminRedPacketGetRedPacketCampaigns;adminRedPacketGetRedPacketCampaignsById;adminRedPacketPostRedPacketCampaignsByIdReview;adminRedPacketPostRedPacketCampaignsByIdPause;adminRedPacketPostRedPacketCampaignsByIdResume;adminRedPacketPostRedPacketCampaignsByIdTerminate;adminRedPacketGetRedPacketCampaignsByIdSessions;adminRedPacketGetRedPacketCampaignsByIdClaims,GET /admin-api/v1/red-packet-campaigns;GET /admin-api/v1/red-packet-campaigns/{id};POST /admin-api/v1/red-packet-campaigns/{id}/review;POST /admin-api/v1/red-packet-campaigns/{id}/pause;POST /admin-api/v1/red-packet-campaigns/{id}/resume;POST /admin-api/v1/red-packet-campaigns/{id}/terminate;GET /admin-api/v1/red-packet-campaigns/{id}/sessions;GET /admin-api/v1/red-packet-campaigns/{id}/claims,REQ-RP-004;REQ-RP-006,red_packet.default_view_seconds;red_packet.reservation_min_seconds;red_packet.unit_amount_min_cent;red_packet.unit_amount_max_cent;red_packet.min_count;red_packet.service_fee_bps;red_packet.one_active_per_content;red_packet.allow_raise_unit_amount,red_packet_campaigns;red_packet_campaign_versions;red_packet_quotes;red_packet_orders;red_packet_stock;red_packet_view_sessions;red_packet_reservations;red_packet_claims;red_packet_ledger;reward_ledger;outbox_events;reward_accounts;reward_settlements;reward_freezes;accounting_entries,TST-RP_004-HAPPY;TST-RP_006-HAPPY;TST-RP_004-IDEMPOTENT;TST-RP_006-IDEMPOTENT,R05;R12;R17,admin_frontend_engineer;backend_engineer;test_engineer,ADM-RP-003 全部绑定模板 ADM-REVIEW，字段、状态、动作、导航和错误恢复无TBD || 页面调用 operationId：adminRedPacketGetRedPacketCampaigns;adminRedPacketGetRedPacketCampaignsById;adminRedPacketPostRedPacketCampaignsByIdReview;adminRedPacketPostRedPacketCampaignsByIdPause;adminRedPacketPostRedPacketCampaignsByIdResume;adminRedPacketPostRedPacketCampaignsByIdTerminate;adminRedPacketGetRedPacketCampaignsByIdSessions;adminRedPacketGetRedPacketCampaignsByIdClaims；请求/响应字段不得另行发明 || 按钮显示、可用和确认条件与服务端状态机、权限、expectedVersion、幂等策略一致 || 首屏、空、刷新、翻页/局部失败、无权限、404、离线和版本冲突状态按页面状态目录实现 || 敏感字段按分级脱敏；高敏读取和后台写操作完整审计 || 自动化覆盖：TST-RP_004-HAPPY;TST-RP_006-HAPPY;TST-RP_004-IDEMPOTENT;TST-RP_006-IDEMPOTENT,READY,READY_FOR_IMPLEMENTATION
STORY-R20-003,R20,红包广告：红包报价确认,作为已登录且满足实名/发布能力的广告主，我需要完成红包报价确认的完整业务流程，以便在不依赖研发临时决策的情况下实现本金、服务费、不可退款。,ANDROID,红包广告,MOB-CHECKOUT,SCR-RP-ADV-004,redPacketPostRedPacketCampaignsByIdQuote;redPacketPostRedPacketCampaignsByIdOrders,POST /api/v1/red-packet-campaigns/{id}/quote;POST /api/v1/red-packet-campaigns/{id}/orders,REQ-RP-001;REQ-RP-004;REQ-RP-005,red_packet.default_view_seconds;red_packet.reservation_min_seconds;red_packet.unit_amount_min_cent;red_packet.unit_amount_max_cent;red_packet.min_count;red_packet.service_fee_bps;red_packet.one_active_per_content;red_packet.allow_raise_unit_amount,red_packet_campaigns;red_packet_campaign_versions;red_packet_quotes;red_packet_orders;red_packet_stock;red_packet_view_sessions;red_packet_reservations;red_packet_claims;red_packet_ledger;reward_ledger;outbox_events,TST-RP_001-HAPPY;TST-RP_004-HAPPY;TST-RP_005-HAPPY;TST-RP_001-IDEMPOTENT;TST-RP_004-IDEMPOTENT;TST-RP_005-IDEMPOTENT,R05;R12;R17,android_engineer;backend_engineer;test_engineer,SCR-RP-ADV-004 全部绑定模板 MOB-CHECKOUT，字段、状态、动作、导航和错误恢复无TBD || 页面调用 operationId：redPacketPostRedPacketCampaignsByIdQuote;redPacketPostRedPacketCampaignsByIdOrders；请求/响应字段不得另行发明 || 按钮显示、可用和确认条件与服务端状态机、权限、expectedVersion、幂等策略一致 || 首屏、空、刷新、翻页/局部失败、无权限、404、离线和版本冲突状态按页面状态目录实现 || 敏感字段按分级脱敏；高敏读取和后台写操作完整审计 || 自动化覆盖：TST-RP_001-HAPPY;TST-RP_004-HAPPY;TST-RP_005-HAPPY;TST-RP_001-IDEMPOTENT;TST-RP_004-IDEMPOTENT;TST-RP_005-IDEMPOTENT,READY,READY_FOR_IMPLEMENTATION
STORY-R20-004,R20,红包广告：创建红包,作为已登录且满足实名/发布能力的广告主，我需要完成创建红包的完整业务流程，以便在不依赖研发临时决策的情况下实现内容、金额、数量、浏览秒数。,ANDROID,红包广告,MOB-FORM,SCR-RP-ADV-002,redPacketPostRedPacketCampaigns;redPacketPatchRedPacketCampaignsById,POST /api/v1/red-packet-campaigns;PATCH /api/v1/red-packet-campaigns/{id},REQ-RP-001;REQ-RP-004;REQ-RP-005;REQ-PAGE-SPEC-001,red_packet.default_view_seconds;red_packet.reservation_min_seconds;red_packet.unit_amount_min_cent;red_packet.unit_amount_max_cent;red_packet.min_count;red_packet.service_fee_bps;red_packet.one_active_per_content;red_packet.allow_raise_unit_amount,red_packet_campaigns;red_packet_campaign_versions;red_packet_quotes;red_packet_orders;red_packet_stock;red_packet_view_sessions;red_packet_reservations;red_packet_claims;red_packet_ledger;reward_ledger;outbox_events,TST-RP_001-HAPPY;TST-RP_004-HAPPY;TST-RP_005-HAPPY;TST-RP_001-IDEMPOTENT;TST-RP_004-IDEMPOTENT;TST-RP_005-IDEMPOTENT;TST-V122-009,R05;R12;R17,android_engineer;backend_engineer;test_engineer,SCR-RP-ADV-002 全部绑定模板 MOB-FORM，字段、状态、动作、导航和错误恢复无TBD || 页面调用 operationId：redPacketPostRedPacketCampaigns;redPacketPatchRedPacketCampaignsById；请求/响应字段不得另行发明 || 按钮显示、可用和确认条件与服务端状态机、权限、expectedVersion、幂等策略一致 || 首屏、空、刷新、翻页/局部失败、无权限、404、离线和版本冲突状态按页面状态目录实现 || 敏感字段按分级脱敏；高敏读取和后台写操作完整审计 || 自动化覆盖：TST-RP_001-HAPPY;TST-RP_004-HAPPY;TST-RP_005-HAPPY;TST-RP_001-IDEMPOTENT;TST-RP_004-IDEMPOTENT;TST-RP_005-IDEMPOTENT;TST-V122-009,READY,READY_FOR_IMPLEMENTATION
STORY-R20-005,R20,红包广告：红包活动列表,作为已登录且满足实名/发布能力的广告主，我需要完成红包活动列表的完整业务流程，以便在不依赖研发临时决策的情况下实现广告主活动管理。,ANDROID,红包广告,MOB-LIST,SCR-RP-ADV-001,redPacketGetMeRedPacketCampaigns,GET /api/v1/me/red-packet-campaigns,REQ-RP-001;REQ-RP-004;REQ-RP-005,red_packet.default_view_seconds;red_packet.reservation_min_seconds;red_packet.unit_amount_min_cent;red_packet.unit_amount_max_cent;red_packet.min_count;red_packet.service_fee_bps;red_packet.one_active_per_content;red_packet.allow_raise_unit_amount,red_packet_campaigns;red_packet_campaign_versions;red_packet_quotes;red_packet_orders;red_packet_stock;red_packet_view_sessions;red_packet_reservations;red_packet_claims;red_packet_ledger;reward_ledger;outbox_events,TST-RP_001-HAPPY;TST-RP_004-HAPPY;TST-RP_005-HAPPY,R05;R12;R17,android_engineer;backend_engineer;test_engineer,SCR-RP-ADV-001 全部绑定模板 MOB-LIST，字段、状态、动作、导航和错误恢复无TBD || 页面调用 operationId：redPacketGetMeRedPacketCampaigns；请求/响应字段不得另行发明 || 按钮显示、可用和确认条件与服务端状态机、权限、expectedVersion、幂等策略一致 || 首屏、空、刷新、翻页/局部失败、无权限、404、离线和版本冲突状态按页面状态目录实现 || 敏感字段按分级脱敏；高敏读取和后台写操作完整审计 || 自动化覆盖：TST-RP_001-HAPPY;TST-RP_004-HAPPY;TST-RP_005-HAPPY,READY,READY_FOR_IMPLEMENTATION
STORY-R20-006,R20,红包广告：预审核结果,作为已登录且满足实名/发布能力的广告主，我需要完成预审核结果的完整业务流程，以便在不依赖研发临时决策的情况下实现审核状态和原因。,ANDROID,红包广告,MOB-STATUS,SCR-RP-ADV-003,redPacketGetRedPacketCampaignsById;redPacketPostRedPacketCampaignsByIdSubmitReview,GET /api/v1/red-packet-campaigns/{id};POST /api/v1/red-packet-campaigns/{id}/submit-review,REQ-RP-001;REQ-RP-004;REQ-RP-005,red_packet.default_view_seconds;red_packet.reservation_min_seconds;red_packet.unit_amount_min_cent;red_packet.unit_amount_max_cent;red_packet.min_count;red_packet.service_fee_bps;red_packet.one_active_per_content;red_packet.allow_raise_unit_amount,red_packet_campaigns;red_packet_campaign_versions;red_packet_quotes;red_packet_orders;red_packet_stock;red_packet_view_sessions;red_packet_reservations;red_packet_claims;red_packet_ledger;reward_ledger;outbox_events,TST-RP_001-HAPPY;TST-RP_004-HAPPY;TST-RP_005-HAPPY;TST-RP_001-IDEMPOTENT;TST-RP_004-IDEMPOTENT;TST-RP_005-IDEMPOTENT,R05;R12;R17,android_engineer;backend_engineer;test_engineer,SCR-RP-ADV-003 全部绑定模板 MOB-STATUS，字段、状态、动作、导航和错误恢复无TBD || 页面调用 operationId：redPacketGetRedPacketCampaignsById;redPacketPostRedPacketCampaignsByIdSubmitReview；请求/响应字段不得另行发明 || 按钮显示、可用和确认条件与服务端状态机、权限、expectedVersion、幂等策略一致 || 首屏、空、刷新、翻页/局部失败、无权限、404、离线和版本冲突状态按页面状态目录实现 || 敏感字段按分级脱敏；高敏读取和后台写操作完整审计 || 自动化覆盖：TST-RP_001-HAPPY;TST-RP_004-HAPPY;TST-RP_005-HAPPY;TST-RP_001-IDEMPOTENT;TST-RP_004-IDEMPOTENT;TST-RP_005-IDEMPOTENT,READY,READY_FOR_IMPLEMENTATION
STORY-R20-007,R20,红包活动创建与预审核：契约、数据、配置、测试与交接,作为技术负责人，我需要按冻结的 R20 契约和DoR完成数据、后端、配置、测试、观测与交接，使前端故事能够稳定落地并可追溯。,CROSS_PLATFORM,工程治理,N/A,SCR-RP-ADV-001;SCR-RP-ADV-002;SCR-RP-ADV-003;SCR-RP-ADV-004;ADM-RP-001;ADM-RP-003,,,REQ-RP-001;REQ-RP-004;REQ-LEDGER-001,red_packet.default_view_seconds;red_packet.reservation_min_seconds;red_packet.unit_amount_min_cent;red_packet.unit_amount_max_cent;red_packet.min_count;red_packet.service_fee_bps;red_packet.one_active_per_content;red_packet.allow_raise_unit_amount,red_packet_campaigns;red_packet_campaign_versions;red_packet_quotes;red_packet_orders;red_packet_stock;red_packet_view_sessions;red_packet_reservations;red_packet_claims;red_packet_ledger;reward_ledger;outbox_events;reward_accounts;reward_settlements;reward_freezes;accounting_entries;payout_accounts;withdrawal_requests;payout_transactions;payout_callbacks;payout_reconciliation_records;accounting_transactions;payment_transactions;payment_callbacks;payment_exception_orders;payment_reconciliation_records,TST-RP_001-CONCURRENCY;TST-RP_001-HAPPY;TST-RP_001-IDEMPOTENT;TST-RP_001-RECOVERY;TST-RP_001-REJECT;TST-RP_004-CONCURRENCY;TST-RP_004-HAPPY;TST-RP_004-IDEMPOTENT;TST-RP_004-RECOVERY;TST-RP_004-REJECT;TST-V122-009,R05;R12;R17,tech_lead;backend_engineer;database_engineer;test_engineer;devops_engineer,OpenAPI、状态机、数据库迁移、配置Schema和页面契约引用一致，代码生成不得产生手工分叉 || 每个需求可追溯到页面/API/表/配置/测试/故事；不适用项必须显式N/A并说明 || 版本DoR全部PASS后方可编码；出口仍按原RELEASE_MANIFEST和ACCEPTANCE_MATRIX执行 || 变更必须通过CR，更新唯一事实源并重新生成全部派生目录和哈希 || 完成Session Log、追踪矩阵、发布证据和下一任务交接,READY,READY_FOR_IMPLEMENTATION
STORY-R21-001,R21,红包广告：提高红包金额,作为已登录且满足实名/发布能力的广告主，我需要完成提高红包金额的完整业务流程，以便在不依赖研发临时决策的情况下实现新金额、差额报价和付款。,ANDROID,红包广告,MOB-CHECKOUT,SCR-RP-ADV-006,redPacketPostRedPacketCampaignsByIdIncreaseQuotes;redPacketPostRedPacketCampaignsByIdIncreaseOrders,POST /api/v1/red-packet-campaigns/{id}/increase-quotes;POST /api/v1/red-packet-campaigns/{id}/increase-orders,REQ-RP-001;REQ-RP-004;REQ-RP-005,red_packet.default_view_seconds;red_packet.reservation_min_seconds;red_packet.unit_amount_min_cent;red_packet.unit_amount_max_cent;red_packet.min_count;red_packet.service_fee_bps;red_packet.one_active_per_content;red_packet.allow_raise_unit_amount,red_packet_campaigns;red_packet_campaign_versions;red_packet_quotes;red_packet_orders;red_packet_stock;red_packet_view_sessions;red_packet_reservations;red_packet_claims;red_packet_ledger;reward_ledger;outbox_events,TST-RP_001-HAPPY;TST-RP_004-HAPPY;TST-RP_005-HAPPY;TST-RP_001-IDEMPOTENT;TST-RP_004-IDEMPOTENT;TST-RP_005-IDEMPOTENT,R20,android_engineer;backend_engineer;test_engineer,SCR-RP-ADV-006 全部绑定模板 MOB-CHECKOUT，字段、状态、动作、导航和错误恢复无TBD || 页面调用 operationId：redPacketPostRedPacketCampaignsByIdIncreaseQuotes;redPacketPostRedPacketCampaignsByIdIncreaseOrders；请求/响应字段不得另行发明 || 按钮显示、可用和确认条件与服务端状态机、权限、expectedVersion、幂等策略一致 || 首屏、空、刷新、翻页/局部失败、无权限、404、离线和版本冲突状态按页面状态目录实现 || 敏感字段按分级脱敏；高敏读取和后台写操作完整审计 || 自动化覆盖：TST-RP_001-HAPPY;TST-RP_004-HAPPY;TST-RP_005-HAPPY;TST-RP_001-IDEMPOTENT;TST-RP_004-IDEMPOTENT;TST-RP_005-IDEMPOTENT,READY,READY_FOR_IMPLEMENTATION
STORY-R21-002,R21,红包广告：红包活动详情,作为已登录且满足实名/发布能力的广告主，我需要完成红包活动详情的完整业务流程，以便在不依赖研发临时决策的情况下实现数据、暂停、恢复、关闭。,ANDROID,红包广告,MOB-DETAIL,SCR-RP-ADV-005,redPacketGetMeRedPacketCampaignsByIdAnalytics;redPacketPostRedPacketCampaignsByIdPause;redPacketPostRedPacketCampaignsByIdResume;redPacketPostRedPacketCampaignsByIdClose,GET /api/v1/me/red-packet-campaigns/{id}/analytics;POST /api/v1/red-packet-campaigns/{id}/pause;POST /api/v1/red-packet-campaigns/{id}/resume;POST /api/v1/red-packet-campaigns/{id}/close,REQ-RP-001;REQ-RP-004;REQ-RP-005,red_packet.default_view_seconds;red_packet.reservation_min_seconds;red_packet.unit_amount_min_cent;red_packet.unit_amount_max_cent;red_packet.min_count;red_packet.service_fee_bps;red_packet.one_active_per_content;red_packet.allow_raise_unit_amount,red_packet_campaigns;red_packet_campaign_versions;red_packet_quotes;red_packet_orders;red_packet_stock;red_packet_view_sessions;red_packet_reservations;red_packet_claims;red_packet_ledger;reward_ledger;outbox_events,TST-RP_001-HAPPY;TST-RP_004-HAPPY;TST-RP_005-HAPPY;TST-RP_001-IDEMPOTENT;TST-RP_004-IDEMPOTENT;TST-RP_005-IDEMPOTENT,R20,android_engineer;backend_engineer;test_engineer,SCR-RP-ADV-005 全部绑定模板 MOB-DETAIL，字段、状态、动作、导航和错误恢复无TBD || 页面调用 operationId：redPacketGetMeRedPacketCampaignsByIdAnalytics;redPacketPostRedPacketCampaignsByIdPause;redPacketPostRedPacketCampaignsByIdResume;redPacketPostRedPacketCampaignsByIdClose；请求/响应字段不得另行发明 || 按钮显示、可用和确认条件与服务端状态机、权限、expectedVersion、幂等策略一致 || 首屏、空、刷新、翻页/局部失败、无权限、404、离线和版本冲突状态按页面状态目录实现 || 敏感字段按分级脱敏；高敏读取和后台写操作完整审计 || 自动化覆盖：TST-RP_001-HAPPY;TST-RP_004-HAPPY;TST-RP_005-HAPPY;TST-RP_001-IDEMPOTENT;TST-RP_004-IDEMPOTENT;TST-RP_005-IDEMPOTENT,READY,READY_FOR_IMPLEMENTATION
STORY-R21-003,R21,红包付款、加价与暂停：契约、数据、配置、测试与交接,作为技术负责人，我需要按冻结的 R21 契约和DoR完成数据、后端、配置、测试、观测与交接，使前端故事能够稳定落地并可追溯。,CROSS_PLATFORM,工程治理,N/A,SCR-RP-ADV-005;SCR-RP-ADV-006,,,REQ-RP-002;REQ-RP-005,red_packet.default_view_seconds;red_packet.reservation_min_seconds;red_packet.unit_amount_min_cent;red_packet.unit_amount_max_cent;red_packet.min_count;red_packet.service_fee_bps;red_packet.one_active_per_content;red_packet.allow_raise_unit_amount,red_packet_campaigns;red_packet_campaign_versions;red_packet_quotes;red_packet_orders;red_packet_stock;red_packet_view_sessions;red_packet_heartbeats;red_packet_reservations;red_packet_claims;red_packet_task_evidence;red_packet_ledger;red_packet_campaign_stats;reward_ledger;outbox_events,TST-RP_002-CONCURRENCY;TST-RP_002-HAPPY;TST-RP_002-IDEMPOTENT;TST-RP_002-RECOVERY;TST-RP_002-REJECT;TST-RP_005-CONCURRENCY;TST-RP_005-HAPPY;TST-RP_005-IDEMPOTENT;TST-RP_005-RECOVERY;TST-RP_005-REJECT,R20,tech_lead;backend_engineer;database_engineer;test_engineer;devops_engineer,OpenAPI、状态机、数据库迁移、配置Schema和页面契约引用一致，代码生成不得产生手工分叉 || 每个需求可追溯到页面/API/表/配置/测试/故事；不适用项必须显式N/A并说明 || 版本DoR全部PASS后方可编码；出口仍按原RELEASE_MANIFEST和ACCEPTANCE_MATRIX执行 || 变更必须通过CR，更新唯一事实源并重新生成全部派生目录和哈希 || 完成Session Log、追踪矩阵、发布证据和下一任务交接,READY,READY_FOR_IMPLEMENTATION
STORY-R22-001,R22,红包：红包首页,作为已登录用户；公开能力仅限文档明确的H5页面，我需要完成红包首页的完整业务流程，以便在不依赖研发临时决策的情况下实现四类红包聚合。,ANDROID,红包,MOB-HOME,SCR-RP-001,redPacketGetRedPacketCampaigns,GET /api/v1/red-packet-campaigns,REQ-RP-003;REQ-RP-006,red_packet.default_view_seconds;red_packet.reservation_min_seconds;red_packet.unit_amount_min_cent;red_packet.unit_amount_max_cent;red_packet.min_count;red_packet.service_fee_bps;red_packet.one_active_per_content;red_packet.allow_raise_unit_amount,red_packet_campaigns;red_packet_campaign_versions;red_packet_quotes;red_packet_orders;red_packet_stock;red_packet_view_sessions;red_packet_reservations;red_packet_claims;red_packet_ledger;reward_ledger;outbox_events;reward_accounts;reward_settlements;reward_freezes;accounting_entries,TST-RP_003-HAPPY;TST-RP_006-HAPPY,R21,android_engineer;backend_engineer;test_engineer,SCR-RP-001 全部绑定模板 MOB-HOME，字段、状态、动作、导航和错误恢复无TBD || 页面调用 operationId：redPacketGetRedPacketCampaigns；请求/响应字段不得另行发明 || 按钮显示、可用和确认条件与服务端状态机、权限、expectedVersion、幂等策略一致 || 首屏、空、刷新、翻页/局部失败、无权限、404、离线和版本冲突状态按页面状态目录实现 || 敏感字段按分级脱敏；高敏读取和后台写操作完整审计 || 自动化覆盖：TST-RP_003-HAPPY;TST-RP_006-HAPPY,READY,READY_FOR_IMPLEMENTATION
