字段ID,页面ID,平台,页面,区域,字段键,显示名称,字段角色,语义类型,控件类型,数据来源,必填条件,显示条件,可编辑条件,校验规则,默认值,选项来源,敏感级别,脱敏规则,帮助说明,错误提示,排序,关联operationId,成熟度
FLD-00286,SCR-SEARCH-002,ANDROID,搜索结果,表单输入,regionCode,地区,INPUT,string,TEXT_INPUT,searchGetSearch.request,可选；按业务条件或页面状态决定,执行“全局搜索”且字段适用时显示,具备 登录 且资源状态允许,最多32字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,地区不符合要求,12,searchGetSearch,FROZEN_V1.2.2
FLD-00287,SCR-SEARCH-002,ANDROID,搜索结果,主要内容,id,ID,DISPLAY,string,TEXT,searchGetSearch.response.data.SearchResultResource,服务端返回时展示,有值且当前角色拥有字段访问权限,只读；通过明确写操作更新,必填；最多64字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,ID加载失败时显示字段级占位或隐藏,13,searchGetSearch,FROZEN_CR-0178
FLD-00288,SCR-SEARCH-002,ANDROID,搜索结果,主要内容,contentType,内容类型,DISPLAY,string,TEXT,searchGetSearch.response.data.SearchResultResource,服务端返回时展示,有值且当前角色拥有字段访问权限,只读；通过明确写操作更新,必填；最多2000字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,内容类型加载失败时显示字段级占位或隐藏,14,searchGetSearch,FROZEN_CR-0178
FLD-00289,SCR-SEARCH-002,ANDROID,搜索结果,主要内容,title,标题,DISPLAY,string,TEXT,searchGetSearch.response.data.SearchResultResource,服务端返回时展示,有值且当前角色拥有字段访问权限,只读；通过明确写操作更新,必填；最多2000字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,标题加载失败时显示字段级占位或隐藏,15,searchGetSearch,FROZEN_CR-0178
FLD-00290,SCR-SEARCH-002,ANDROID,搜索结果,主要内容,summary,摘要,DISPLAY,string,TEXT,searchGetSearch.response.data.SearchResultResource,服务端返回时展示,有值且当前角色拥有字段访问权限,只读；通过明确写操作更新,最多2000字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,摘要加载失败时显示字段级占位或隐藏,16,searchGetSearch,FROZEN_CR-0178
FLD-00291,SCR-SEARCH-002,ANDROID,搜索结果,主要内容,coverUrl,cover Url,DISPLAY,string,TEXT,searchGetSearch.response.data.SearchResultResource,服务端返回时展示,有值且当前角色拥有字段访问权限,只读；通过明确写操作更新,最多2000字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,cover Url加载失败时显示字段级占位或隐藏,17,searchGetSearch,FROZEN_CR-0178
FLD-00292,SCR-SEARCH-002,ANDROID,搜索结果,主要内容,publisher,发布者,DISPLAY,PublisherSummaryResource,STRUCTURED_SECTION,searchGetSearch.response.data.SearchResultResource,服务端返回时展示,有值且当前角色拥有字段访问权限,只读；通过明确写操作更新,按服务端Schema校验；前端不得放宽,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,发布者加载失败时显示字段级占位或隐藏,18,searchGetSearch,FROZEN_CR-0178
FLD-00293,SCR-SEARCH-002,ANDROID,搜索结果,主要内容,score,匹配分,DISPLAY,number,NUMBER_TEXT,searchGetSearch.response.data.SearchResultResource,服务端返回时展示,有值且当前角色拥有字段访问权限,只读；通过明确写操作更新,按服务端Schema校验；前端不得放宽,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,匹配分加载失败时显示字段级占位或隐藏,19,searchGetSearch,FROZEN_CR-0178
FLD-00294,SCR-SEARCH-002,ANDROID,搜索结果,主要内容,badges,badges,DISPLAY,array<string>,LIST,searchGetSearch.response.data.SearchResultResource,服务端返回时展示,有值且当前角色拥有字段访问权限,只读；通过明确写操作更新,按服务端Schema校验；前端不得放宽,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,badges加载失败时显示字段级占位或隐藏,20,searchGetSearch,FROZEN_CR-0178
FLD-05168,SCR-SEARCH-002,ANDROID,搜索结果,路由与筛选,page,页码,FILTER,integer,NUMBER_INPUT,searchGetSearch.query,可选；仅在对应操作/筛选时提交,执行“全局搜索”时显示,用户具备权限且页面状态允许,≥1,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,页码；游标接口可忽略,页码格式或范围不正确,21,searchGetSearch,FROZEN_CR-0178
FLD-05169,SCR-SEARCH-002,ANDROID,搜索结果,路由与筛选,pageSize,每页数量,FILTER,integer,NUMBER_INPUT,searchGetSearch.query,可选；仅在对应操作/筛选时提交,执行“全局搜索”时显示,用户具备权限且页面状态允许,≥1；≤100,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,每页数量,每页数量格式或范围不正确,22,searchGetSearch,FROZEN_CR-0178
FLD-05170,SCR-SEARCH-002,ANDROID,搜索结果,路由与筛选,cursor,游标,FILTER,string,FILTER_INPUT,searchGetSearch.query,可选；仅在对应操作/筛选时提交,执行“全局搜索”时显示,用户具备权限且页面状态允许,最多256字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,游标；与page二选一,游标格式或范围不正确,23,searchGetSearch,FROZEN_CR-0178
FLD-05171,SCR-SEARCH-002,ANDROID,搜索结果,路由与筛选,sort,排序,FILTER,string,FILTER_INPUT,searchGetSearch.query,可选；仅在对应操作/筛选时提交,执行“全局搜索”时显示,用户具备权限且页面状态允许,最多64字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,白名单排序字段，例如 createdAt:desc,排序格式或范围不正确,24,searchGetSearch,FROZEN_CR-0178
FLD-05172,SCR-SEARCH-002,ANDROID,搜索结果,表单输入,page,页码,INPUT,integer,NUMBER_INPUT,searchGetSearch.request,可选；按业务条件或页面状态决定,执行“全局搜索”且字段适用时显示,具备 登录 且资源状态允许,≥1,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,页码；游标接口可忽略,页码不符合要求,25,searchGetSearch,FROZEN_CR-0178
FLD-05173,SCR-SEARCH-002,ANDROID,搜索结果,表单输入,pageSize,每页数量,INPUT,integer,NUMBER_INPUT,searchGetSearch.request,可选；按业务条件或页面状态决定,执行“全局搜索”且字段适用时显示,具备 登录 且资源状态允许,≥1；≤100,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,每页数量,每页数量不符合要求,26,searchGetSearch,FROZEN_CR-0178
FLD-05174,SCR-SEARCH-002,ANDROID,搜索结果,表单输入,cursor,游标,INPUT,string,TEXT_INPUT,searchGetSearch.request,可选；按业务条件或页面状态决定,执行“全局搜索”且字段适用时显示,具备 登录 且资源状态允许,最多256字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,游标；与page二选一,游标不符合要求,27,searchGetSearch,FROZEN_CR-0178
FLD-05175,SCR-SEARCH-002,ANDROID,搜索结果,表单输入,sort,排序,INPUT,string,TEXT_INPUT,searchGetSearch.request,可选；按业务条件或页面状态决定,执行“全局搜索”且字段适用时显示,具备 登录 且资源状态允许,最多64字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,白名单排序字段，例如 createdAt:desc,排序不符合要求,28,searchGetSearch,FROZEN_CR-0178
FLD-00295,SCR-LIST-001,ANDROID,项目列表,页面头部,pageTitle,页面标题,UI_META,ui,TEXT,LOCAL_UI,必需,按页面状态显示,本地UI字段不可写入业务事实,按页面模板,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,页面标题不符合页面规格,1,,FROZEN_V1.2.2
FLD-00296,SCR-LIST-001,ANDROID,项目列表,筛选区,filterSummary,当前筛选条件,UI_META,ui,FILTER_SUMMARY,LOCAL_UI,有筛选时显示,按页面状态显示,本地UI字段不可写入业务事实,按页面模板,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,当前筛选条件不符合页面规格,2,,FROZEN_V1.2.2
FLD-00297,SCR-LIST-001,ANDROID,项目列表,列表摘要,resultCount,结果数量,UI_META,ui,NUMBER_TEXT,LOCAL_UI,服务端提供时显示,按页面状态显示,本地UI字段不可写入业务事实,≥0,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,结果数量不符合页面规格,3,,FROZEN_V1.2.2
FLD-00298,SCR-LIST-001,ANDROID,项目列表,内容区,emptyStateReason,空状态原因,UI_META,ui,EMPTY_STATE,LOCAL_UI,结果为空时必需,按页面状态显示,本地UI字段不可写入业务事实,按页面模板,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,空状态原因不符合页面规格,4,,FROZEN_V1.2.2
FLD-00299,SCR-LIST-001,ANDROID,项目列表,路由与筛选,page,页码,FILTER,integer,NUMBER_INPUT,contentGetContents.query,可选；仅在对应操作/筛选时提交,执行“统一内容列表”时显示,用户具备权限且页面状态允许,≥1,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,页码；游标接口可忽略,页码格式或范围不正确,5,contentGetContents,FROZEN_V1.2.2
FLD-00300,SCR-LIST-001,ANDROID,项目列表,路由与筛选,pageSize,每页数量,FILTER,integer,NUMBER_INPUT,contentGetContents.query,可选；仅在对应操作/筛选时提交,执行“统一内容列表”时显示,用户具备权限且页面状态允许,≥1；≤100,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,每页数量,每页数量格式或范围不正确,6,contentGetContents,FROZEN_V1.2.2
FLD-00301,SCR-LIST-001,ANDROID,项目列表,路由与筛选,cursor,游标,FILTER,string,FILTER_INPUT,contentGetContents.query,可选；仅在对应操作/筛选时提交,执行“统一内容列表”时显示,用户具备权限且页面状态允许,最多256字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,游标；与page二选一,游标格式或范围不正确,7,contentGetContents,FROZEN_V1.2.2
FLD-00302,SCR-LIST-001,ANDROID,项目列表,路由与筛选,status,状态,FILTER,string,FILTER_INPUT,contentGetContents.query,可选；仅在对应操作/筛选时提交,执行“统一内容列表”时显示,用户具备权限且页面状态允许,最多64字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,状态筛选,状态格式或范围不正确,8,contentGetContents,FROZEN_V1.2.2
FLD-00303,SCR-LIST-001,ANDROID,项目列表,路由与筛选,keyword,关键词,FILTER,string,FILTER_INPUT,contentGetContents.query,可选；仅在对应操作/筛选时提交,执行“统一内容列表”时显示,用户具备权限且页面状态允许,最多100字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,关键词筛选,关键词格式或范围不正确,9,contentGetContents,FROZEN_V1.2.2
FLD-00304,SCR-LIST-001,ANDROID,项目列表,路由与筛选,sort,排序,FILTER,string,FILTER_INPUT,contentGetContents.query,可选；仅在对应操作/筛选时提交,执行“统一内容列表”时显示,用户具备权限且页面状态允许,最多64字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,白名单排序字段，例如 createdAt:desc,排序格式或范围不正确,10,contentGetContents,FROZEN_V1.2.2
FLD-00305,SCR-LIST-001,ANDROID,项目列表,路由与筛选,contentType,内容类型,FILTER,string,SELECT,contentGetContents.query,可选；仅在对应操作/筛选时提交,执行“统一内容列表”时显示,用户具备权限且页面状态允许,枚举:PROJECT/APP/GROUP_CHAT/TEAM_LEADER,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,内容类型格式或范围不正确,11,contentGetContents,FROZEN_V1.2.2
FLD-00306,SCR-LIST-001,ANDROID,项目列表,路由与筛选,categoryCode,分类,FILTER,string,FILTER_INPUT,contentGetContents.query,可选；仅在对应操作/筛选时提交,执行“统一内容列表”时显示,用户具备权限且页面状态允许,最多64字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,分类格式或范围不正确,12,contentGetContents,FROZEN_V1.2.2
FLD-00307,SCR-LIST-001,ANDROID,项目列表,路由与筛选,regionCode,地区,FILTER,string,FILTER_INPUT,contentGetContents.query,可选；仅在对应操作/筛选时提交,执行“统一内容列表”时显示,用户具备权限且页面状态允许,最多32字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,地区格式或范围不正确,13,contentGetContents,FROZEN_V1.2.2
FLD-00308,SCR-LIST-001,ANDROID,项目列表,表单输入,page,页码,INPUT,integer,NUMBER_INPUT,contentGetContents.request,可选；按业务条件或页面状态决定,执行“统一内容列表”且字段适用时显示,具备 登录 且资源状态允许,≥1,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,页码；游标接口可忽略,页码不符合要求,14,contentGetContents,FROZEN_V1.2.2
FLD-00309,SCR-LIST-001,ANDROID,项目列表,表单输入,pageSize,每页数量,INPUT,integer,NUMBER_INPUT,contentGetContents.request,可选；按业务条件或页面状态决定,执行“统一内容列表”且字段适用时显示,具备 登录 且资源状态允许,≥1；≤100,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,每页数量,每页数量不符合要求,15,contentGetContents,FROZEN_V1.2.2
FLD-00310,SCR-LIST-001,ANDROID,项目列表,表单输入,cursor,游标,INPUT,string,TEXT_INPUT,contentGetContents.request,可选；按业务条件或页面状态决定,执行“统一内容列表”且字段适用时显示,具备 登录 且资源状态允许,最多256字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,游标；与page二选一,游标不符合要求,16,contentGetContents,FROZEN_V1.2.2
FLD-00311,SCR-LIST-001,ANDROID,项目列表,表单输入,status,状态,INPUT,string,TEXT_INPUT,contentGetContents.request,可选；按业务条件或页面状态决定,执行“统一内容列表”且字段适用时显示,具备 登录 且资源状态允许,最多64字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,状态筛选,状态不符合要求,17,contentGetContents,FROZEN_V1.2.2
FLD-00312,SCR-LIST-001,ANDROID,项目列表,表单输入,keyword,关键词,INPUT,string,TEXT_INPUT,contentGetContents.request,可选；按业务条件或页面状态决定,执行“统一内容列表”且字段适用时显示,具备 登录 且资源状态允许,最多100字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,关键词筛选,关键词不符合要求,18,contentGetContents,FROZEN_V1.2.2
FLD-00313,SCR-LIST-001,ANDROID,项目列表,表单输入,sort,排序,INPUT,string,TEXT_INPUT,contentGetContents.request,可选；按业务条件或页面状态决定,执行“统一内容列表”且字段适用时显示,具备 登录 且资源状态允许,最多64字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,白名单排序字段，例如 createdAt:desc,排序不符合要求,19,contentGetContents,FROZEN_V1.2.2
FLD-00314,SCR-LIST-001,ANDROID,项目列表,表单输入,contentType,内容类型,INPUT,string,SELECT,contentGetContents.request,可选；按业务条件或页面状态决定,执行“统一内容列表”且字段适用时显示,具备 登录 且资源状态允许,枚举:PROJECT/APP/GROUP_CHAT/TEAM_LEADER,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,内容类型不符合要求,20,contentGetContents,FROZEN_V1.2.2
FLD-00315,SCR-LIST-001,ANDROID,项目列表,表单输入,categoryCode,分类,INPUT,string,TEXT_INPUT,contentGetContents.request,可选；按业务条件或页面状态决定,执行“统一内容列表”且字段适用时显示,具备 登录 且资源状态允许,最多64字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,分类不符合要求,21,contentGetContents,FROZEN_V1.2.2
FLD-00316,SCR-LIST-001,ANDROID,项目列表,表单输入,regionCode,地区,INPUT,string,TEXT_INPUT,contentGetContents.request,可选；按业务条件或页面状态决定,执行“统一内容列表”且字段适用时显示,具备 登录 且资源状态允许,最多32字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,地区不符合要求,22,contentGetContents,FROZEN_V1.2.2
FLD-00317,SCR-LIST-001,ANDROID,项目列表,主要内容,id,ID,DISPLAY,string,TEXT,contentGetContents.response.data.ContentResource,服务端返回时展示,有值且当前角色拥有字段访问权限,只读；通过明确写操作更新,必填；最多64字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,ID加载失败时显示字段级占位或隐藏,23,contentGetContents,FROZEN_V1.2.2
FLD-00318,SCR-LIST-001,ANDROID,项目列表,主要内容,contentType,内容类型,DISPLAY,string,TEXT,contentGetContents.response.data.ContentResource,服务端返回时展示,有值且当前角色拥有字段访问权限,只读；通过明确写操作更新,必填；最多2000字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,内容类型加载失败时显示字段级占位或隐藏,24,contentGetContents,FROZEN_V1.2.2
FLD-00319,SCR-LIST-001,ANDROID,项目列表,主要内容,title,标题,DISPLAY,string,TEXT,contentGetContents.response.data.ContentResource,服务端返回时展示,有值且当前角色拥有字段访问权限,只读；通过明确写操作更新,必填；最多2000字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,标题加载失败时显示字段级占位或隐藏,25,contentGetContents,FROZEN_V1.2.2
FLD-00320,SCR-LIST-001,ANDROID,项目列表,主要内容,summary,摘要,DISPLAY,string,TEXT,contentGetContents.response.data.ContentResource,服务端返回时展示,有值且当前角色拥有字段访问权限,只读；通过明确写操作更新,最多2000字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,摘要加载失败时显示字段级占位或隐藏,26,contentGetContents,FROZEN_V1.2.2
FLD-00321,SCR-LIST-001,ANDROID,项目列表,主要内容,description,详细说明,DISPLAY,string,TEXT,contentGetContents.response.data.ContentResource,服务端返回时展示,有值且当前角色拥有字段访问权限,只读；通过明确写操作更新,最多2000字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,HIGH,按数据分级展示部分掩码；导出执行更严格脱敏,,详细说明加载失败时显示字段级占位或隐藏,27,contentGetContents,FROZEN_V1.2.2
FLD-00322,SCR-LIST-001,ANDROID,项目列表,主要内容,categoryCode,分类,DISPLAY,string,TEXT,contentGetContents.response.data.ContentResource,服务端返回时展示,有值且当前角色拥有字段访问权限,只读；通过明确写操作更新,最多2000字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,分类加载失败时显示字段级占位或隐藏,28,contentGetContents,FROZEN_V1.2.2
FLD-00323,SCR-LIST-001,ANDROID,项目列表,主要内容,regionCode,地区,DISPLAY,string,TEXT,contentGetContents.response.data.ContentResource,服务端返回时展示,有值且当前角色拥有字段访问权限,只读；通过明确写操作更新,最多2000字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,地区加载失败时显示字段级占位或隐藏,29,contentGetContents,FROZEN_V1.2.2
FLD-00324,SCR-LIST-001,ANDROID,项目列表,主要内容,media,媒体,DISPLAY,array<MediaItemResource>,MEDIA_GALLERY,contentGetContents.response.data.ContentResource,服务端返回时展示,有值且当前角色拥有字段访问权限,只读；通过明确写操作更新,最多50项,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,媒体加载失败时显示字段级占位或隐藏,30,contentGetContents,FROZEN_V1.2.2
FLD-00325,SCR-LIST-001,ANDROID,项目列表,主要内容,publisher,发布者,DISPLAY,PublisherSummaryResource,STRUCTURED_SECTION,contentGetContents.response.data.ContentResource,服务端返回时展示,有值且当前角色拥有字段访问权限,只读；通过明确写操作更新,按服务端Schema校验；前端不得放宽,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,发布者加载失败时显示字段级占位或隐藏,31,contentGetContents,FROZEN_V1.2.2
FLD-00326,SCR-LIST-001,ANDROID,项目列表,主要内容,contactsMasked,脱敏联系方式,DISPLAY,array<ContactChannelSummaryResource>,LIST,contentGetContents.response.data.ContentResource,服务端返回时展示,有值且当前角色拥有字段访问权限,只读；通过明确写操作更新,最多20项,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,HIGH,按数据分级展示部分掩码；导出执行更严格脱敏,,脱敏联系方式加载失败时显示字段级占位或隐藏,32,contentGetContents,FROZEN_V1.2.2
FLD-00327,SCR-LIST-001,ANDROID,项目列表,主要内容,status,状态,DISPLAY,string,TEXT,contentGetContents.response.data.ContentResource,服务端返回时展示,有值且当前角色拥有字段访问权限,只读；通过明确写操作更新,必填；最多2000字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,状态加载失败时显示字段级占位或隐藏,33,contentGetContents,FROZEN_V1.2.2
FLD-00328,SCR-LIST-001,ANDROID,项目列表,主要内容,reviewStatus,审核状态,DISPLAY,string,TEXT,contentGetContents.response.data.ContentResource,服务端返回时展示,有值且当前角色拥有字段访问权限,只读；通过明确写操作更新,最多2000字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,审核状态加载失败时显示字段级占位或隐藏,34,contentGetContents,FROZEN_V1.2.2
FLD-00329,SCR-LIST-001,ANDROID,项目列表,主要内容,statistics,统计,DISPLAY,ContentStatisticsResource,STRUCTURED_SECTION,contentGetContents.response.data.ContentResource,服务端返回时展示,有值且当前角色拥有字段访问权限,只读；通过明确写操作更新,按服务端Schema校验；前端不得放宽,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,统计加载失败时显示字段级占位或隐藏,35,contentGetContents,FROZEN_V1.2.2
FLD-00330,SCR-LIST-001,ANDROID,项目列表,主要内容,createdAt,创建时间,DISPLAY,string,DATETIME_TEXT,contentGetContents.response.data.ContentResource,服务端返回时展示,有值且当前角色拥有字段访问权限,只读；通过明确写操作更新,格式:date-time,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,创建时间加载失败时显示字段级占位或隐藏,36,contentGetContents,FROZEN_V1.2.2
FLD-00331,SCR-LIST-001,ANDROID,项目列表,主要内容,updatedAt,更新时间,DISPLAY,string,DATETIME_TEXT,contentGetContents.response.data.ContentResource,服务端返回时展示,有值且当前角色拥有字段访问权限,只读；通过明确写操作更新,格式:date-time,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,更新时间加载失败时显示字段级占位或隐藏,37,contentGetContents,FROZEN_V1.2.2
FLD-00332,SCR-LIST-001,ANDROID,项目列表,主要内容,version,版本,DISPLAY,integer,NUMBER_TEXT,contentGetContents.response.data.ContentResource,服务端返回时展示,有值且当前角色拥有字段访问权限,只读；通过明确写操作更新,必填；格式:int64,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,版本加载失败时显示字段级占位或隐藏,38,contentGetContents,FROZEN_V1.2.2
FLD-00333,SCR-LIST-001,ANDROID,项目列表,主要内容,attributes,扩展属性,DISPLAY,JsonObject,STRUCTURED_SECTION,contentGetContents.response.data.ContentResource,服务端返回时展示,有值且当前角色拥有字段访问权限,只读；通过明确写操作更新,按服务端Schema校验；前端不得放宽,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,扩展属性加载失败时显示字段级占位或隐藏,39,contentGetContents,FROZEN_V1.2.2
