operationId,方法,路径,用途,权限,计划版本,错误码,400处理,401处理,403处理,404处理,409处理,422处理,429处理,500处理,成熟度
redPacketPostRedPacketCampaignsByIdPause,POST,/api/v1/red-packet-campaigns/{id}/pause,暂停,登录+所有者,R20-R23,COMMON-400-VALIDATION;COMMON-401-UNAUTHENTICATED;COMMON-403-FORBIDDEN;COMMON-404-NOT_FOUND;COMMON-409-VERSION_CONFLICT;COMMON-422-BUSINESS_RULE;COMMON-429-RATE_LIMITED;COMMON-500-INTERNAL;REDPACKET-409-STOCK_EXHAUSTED;REDPACKET-409-ALREADY_CLAIMED;REDPACKET-422-VIEW_INVALID,逐字段映射，不使用通用失败Toast,刷新/重新认证并恢复安全目标,收回操作入口且不泄露资源存在性,进入资源不存在/失效状态,重新加载version和差异，禁止盲目覆盖,展示业务原因并保留安全输入,显示服务端重试时间,保留上下文和requestId，提供人工重试,FROZEN_V1.2.2
redPacketPostRedPacketCampaignsByIdResume,POST,/api/v1/red-packet-campaigns/{id}/resume,恢复,登录+所有者,R20-R23,COMMON-400-VALIDATION;COMMON-401-UNAUTHENTICATED;COMMON-403-FORBIDDEN;COMMON-404-NOT_FOUND;COMMON-409-VERSION_CONFLICT;COMMON-422-BUSINESS_RULE;COMMON-429-RATE_LIMITED;COMMON-500-INTERNAL;REDPACKET-409-STOCK_EXHAUSTED;REDPACKET-409-ALREADY_CLAIMED;REDPACKET-422-VIEW_INVALID,逐字段映射，不使用通用失败Toast,刷新/重新认证并恢复安全目标,收回操作入口且不泄露资源存在性,进入资源不存在/失效状态,重新加载version和差异，禁止盲目覆盖,展示业务原因并保留安全输入,显示服务端重试时间,保留上下文和requestId，提供人工重试,FROZEN_V1.2.2
redPacketPostRedPacketCampaignsByIdClose,POST,/api/v1/red-packet-campaigns/{id}/close,关闭且不退款,登录+所有者,R20-R23,COMMON-400-VALIDATION;COMMON-401-UNAUTHENTICATED;COMMON-403-FORBIDDEN;COMMON-404-NOT_FOUND;COMMON-409-VERSION_CONFLICT;COMMON-422-BUSINESS_RULE;COMMON-429-RATE_LIMITED;COMMON-500-INTERNAL;REDPACKET-409-STOCK_EXHAUSTED;REDPACKET-409-ALREADY_CLAIMED;REDPACKET-422-VIEW_INVALID,逐字段映射，不使用通用失败Toast,刷新/重新认证并恢复安全目标,收回操作入口且不泄露资源存在性,进入资源不存在/失效状态,重新加载version和差异，禁止盲目覆盖,展示业务原因并保留安全输入,显示服务端重试时间,保留上下文和requestId，提供人工重试,FROZEN_V1.2.2
redPacketPostRedPacketCampaignsByIdIncreaseQuotes,POST,/api/v1/red-packet-campaigns/{id}/increase-quotes,提高金额报价,登录+实名+所有者,R20-R23,COMMON-400-VALIDATION;COMMON-401-UNAUTHENTICATED;COMMON-403-FORBIDDEN;COMMON-404-NOT_FOUND;COMMON-409-VERSION_CONFLICT;COMMON-422-BUSINESS_RULE;COMMON-429-RATE_LIMITED;COMMON-500-INTERNAL;IDENTITY-422-NOT_VERIFIED;REDPACKET-409-STOCK_EXHAUSTED;REDPACKET-409-ALREADY_CLAIMED;REDPACKET-422-VIEW_INVALID,逐字段映射，不使用通用失败Toast,刷新/重新认证并恢复安全目标,收回操作入口且不泄露资源存在性,进入资源不存在/失效状态,重新加载version和差异，禁止盲目覆盖,展示业务原因并保留安全输入,显示服务端重试时间,保留上下文和requestId，提供人工重试,FROZEN_V1.2.2
redPacketPostRedPacketCampaignsByIdIncreaseOrders,POST,/api/v1/red-packet-campaigns/{id}/increase-orders,创建加价订单,登录+实名+所有者,R20-R23,COMMON-400-VALIDATION;COMMON-401-UNAUTHENTICATED;COMMON-403-FORBIDDEN;COMMON-404-NOT_FOUND;COMMON-409-VERSION_CONFLICT;COMMON-422-BUSINESS_RULE;COMMON-429-RATE_LIMITED;COMMON-500-INTERNAL;IDENTITY-422-NOT_VERIFIED;REDPACKET-409-STOCK_EXHAUSTED;REDPACKET-409-ALREADY_CLAIMED;REDPACKET-422-VIEW_INVALID,逐字段映射，不使用通用失败Toast,刷新/重新认证并恢复安全目标,收回操作入口且不泄露资源存在性,进入资源不存在/失效状态,重新加载version和差异，禁止盲目覆盖,展示业务原因并保留安全输入,显示服务端重试时间,保留上下文和requestId，提供人工重试,FROZEN_V1.2.2
redPacketGetMeRedPacketCampaigns,GET,/api/v1/me/red-packet-campaigns,广告主活动列表,登录,R20-R23,COMMON-400-VALIDATION;COMMON-401-UNAUTHENTICATED;COMMON-403-FORBIDDEN;COMMON-404-NOT_FOUND;COMMON-409-VERSION_CONFLICT;COMMON-422-BUSINESS_RULE;COMMON-429-RATE_LIMITED;COMMON-500-INTERNAL;REDPACKET-409-STOCK_EXHAUSTED;REDPACKET-409-ALREADY_CLAIMED;REDPACKET-422-VIEW_INVALID,逐字段映射，不使用通用失败Toast,刷新/重新认证并恢复安全目标,收回操作入口且不泄露资源存在性,进入资源不存在/失效状态,重新加载version和差异，禁止盲目覆盖,展示业务原因并保留安全输入,显示服务端重试时间,保留上下文和requestId，提供人工重试,FROZEN_V1.2.2
redPacketGetMeRedPacketCampaignsByIdAnalytics,GET,/api/v1/me/red-packet-campaigns/{id}/analytics,活动数据,登录+所有者,R20-R23,COMMON-400-VALIDATION;COMMON-401-UNAUTHENTICATED;COMMON-403-FORBIDDEN;COMMON-404-NOT_FOUND;COMMON-409-VERSION_CONFLICT;COMMON-422-BUSINESS_RULE;COMMON-429-RATE_LIMITED;COMMON-500-INTERNAL;REDPACKET-409-STOCK_EXHAUSTED;REDPACKET-409-ALREADY_CLAIMED;REDPACKET-422-VIEW_INVALID,逐字段映射，不使用通用失败Toast,刷新/重新认证并恢复安全目标,收回操作入口且不泄露资源存在性,进入资源不存在/失效状态,重新加载version和差异，禁止盲目覆盖,展示业务原因并保留安全输入,显示服务端重试时间,保留上下文和requestId，提供人工重试,FROZEN_V1.2.2
redPacketPostRedPacketCampaignsByIdViewSessions,POST,/api/v1/red-packet-campaigns/{id}/view-sessions,创建浏览会话并锁定名额,登录+实名,R20-R23,COMMON-400-VALIDATION;COMMON-401-UNAUTHENTICATED;COMMON-403-FORBIDDEN;COMMON-404-NOT_FOUND;COMMON-409-VERSION_CONFLICT;COMMON-422-BUSINESS_RULE;COMMON-429-RATE_LIMITED;COMMON-500-INTERNAL;IDENTITY-422-NOT_VERIFIED;REDPACKET-409-STOCK_EXHAUSTED;REDPACKET-409-ALREADY_CLAIMED;REDPACKET-422-VIEW_INVALID,逐字段映射，不使用通用失败Toast,刷新/重新认证并恢复安全目标,收回操作入口且不泄露资源存在性,进入资源不存在/失效状态,重新加载version和差异，禁止盲目覆盖,展示业务原因并保留安全输入,显示服务端重试时间,保留上下文和requestId，提供人工重试,FROZEN_V1.2.2
redPacketPostRedPacketViewSessionsByIdHeartbeat,POST,/api/v1/red-packet-view-sessions/{id}/heartbeat,浏览心跳,登录,R20-R23,COMMON-400-VALIDATION;COMMON-401-UNAUTHENTICATED;COMMON-403-FORBIDDEN;COMMON-404-NOT_FOUND;COMMON-409-VERSION_CONFLICT;COMMON-422-BUSINESS_RULE;COMMON-429-RATE_LIMITED;COMMON-500-INTERNAL;REDPACKET-409-STOCK_EXHAUSTED;REDPACKET-409-ALREADY_CLAIMED;REDPACKET-422-VIEW_INVALID,逐字段映射，不使用通用失败Toast,刷新/重新认证并恢复安全目标,收回操作入口且不泄露资源存在性,进入资源不存在/失效状态,重新加载version和差异，禁止盲目覆盖,展示业务原因并保留安全输入,显示服务端重试时间,保留上下文和requestId，提供人工重试,FROZEN_V1.2.2
redPacketPostRedPacketViewSessionsByIdClaim,POST,/api/v1/red-packet-view-sessions/{id}/claim,领取红包,登录+实名,R20-R23,COMMON-400-VALIDATION;COMMON-401-UNAUTHENTICATED;COMMON-403-FORBIDDEN;COMMON-404-NOT_FOUND;COMMON-409-VERSION_CONFLICT;COMMON-422-BUSINESS_RULE;COMMON-429-RATE_LIMITED;COMMON-500-INTERNAL;IDENTITY-422-NOT_VERIFIED;REDPACKET-409-STOCK_EXHAUSTED;REDPACKET-409-ALREADY_CLAIMED;REDPACKET-422-VIEW_INVALID,逐字段映射，不使用通用失败Toast,刷新/重新认证并恢复安全目标,收回操作入口且不泄露资源存在性,进入资源不存在/失效状态,重新加载version和差异，禁止盲目覆盖,展示业务原因并保留安全输入,显示服务端重试时间,保留上下文和requestId，提供人工重试,FROZEN_V1.2.2
redPacketPostRedPacketViewSessionsByIdCancel,POST,/api/v1/red-packet-view-sessions/{id}/cancel,取消/释放名额,登录,R20-R23,COMMON-400-VALIDATION;COMMON-401-UNAUTHENTICATED;COMMON-403-FORBIDDEN;COMMON-404-NOT_FOUND;COMMON-409-VERSION_CONFLICT;COMMON-422-BUSINESS_RULE;COMMON-429-RATE_LIMITED;COMMON-500-INTERNAL;REDPACKET-409-STOCK_EXHAUSTED;REDPACKET-409-ALREADY_CLAIMED;REDPACKET-422-VIEW_INVALID,逐字段映射，不使用通用失败Toast,刷新/重新认证并恢复安全目标,收回操作入口且不泄露资源存在性,进入资源不存在/失效状态,重新加载version和差异，禁止盲目覆盖,展示业务原因并保留安全输入,显示服务端重试时间,保留上下文和requestId，提供人工重试,FROZEN_V1.2.2
redPacketGetMeRedPacketClaims,GET,/api/v1/me/red-packet-claims,我的红包记录,登录,R20-R23,COMMON-400-VALIDATION;COMMON-401-UNAUTHENTICATED;COMMON-403-FORBIDDEN;COMMON-404-NOT_FOUND;COMMON-409-VERSION_CONFLICT;COMMON-422-BUSINESS_RULE;COMMON-429-RATE_LIMITED;COMMON-500-INTERNAL;REDPACKET-409-STOCK_EXHAUSTED;REDPACKET-409-ALREADY_CLAIMED;REDPACKET-422-VIEW_INVALID,逐字段映射，不使用通用失败Toast,刷新/重新认证并恢复安全目标,收回操作入口且不泄露资源存在性,进入资源不存在/失效状态,重新加载version和差异，禁止盲目覆盖,展示业务原因并保留安全输入,显示服务端重试时间,保留上下文和requestId，提供人工重试,FROZEN_V1.2.2
orderGetMeOrders,GET,/api/v1/me/orders,订单列表,登录,R16,COMMON-400-VALIDATION;COMMON-401-UNAUTHENTICATED;COMMON-403-FORBIDDEN;COMMON-404-NOT_FOUND;COMMON-409-VERSION_CONFLICT;COMMON-422-BUSINESS_RULE;COMMON-429-RATE_LIMITED;COMMON-500-INTERNAL;PAYMENT-409-AMOUNT_MISMATCH;PAYMENT-422-GATEWAY_REJECTED,逐字段映射，不使用通用失败Toast,刷新/重新认证并恢复安全目标,收回操作入口且不泄露资源存在性,进入资源不存在/失效状态,重新加载version和差异，禁止盲目覆盖,展示业务原因并保留安全输入,显示服务端重试时间,保留上下文和requestId，提供人工重试,FROZEN_V1.2.2
orderGetMeOrdersByOrderno,GET,/api/v1/me/orders/{orderNo},订单详情,登录,R16,COMMON-400-VALIDATION;COMMON-401-UNAUTHENTICATED;COMMON-403-FORBIDDEN;COMMON-404-NOT_FOUND;COMMON-409-VERSION_CONFLICT;COMMON-422-BUSINESS_RULE;COMMON-429-RATE_LIMITED;COMMON-500-INTERNAL;PAYMENT-409-AMOUNT_MISMATCH;PAYMENT-422-GATEWAY_REJECTED,逐字段映射，不使用通用失败Toast,刷新/重新认证并恢复安全目标,收回操作入口且不泄露资源存在性,进入资源不存在/失效状态,重新加载version和差异，禁止盲目覆盖,展示业务原因并保留安全输入,显示服务端重试时间,保留上下文和requestId，提供人工重试,FROZEN_V1.2.2
paymentGetOrdersByOrdernoCashier,GET,/api/v1/orders/{orderNo}/cashier,收银台数据,登录,R17,COMMON-400-VALIDATION;COMMON-401-UNAUTHENTICATED;COMMON-403-FORBIDDEN;COMMON-404-NOT_FOUND;COMMON-409-VERSION_CONFLICT;COMMON-422-BUSINESS_RULE;COMMON-429-RATE_LIMITED;COMMON-500-INTERNAL;PAYMENT-409-AMOUNT_MISMATCH;PAYMENT-422-GATEWAY_REJECTED,逐字段映射，不使用通用失败Toast,刷新/重新认证并恢复安全目标,收回操作入口且不泄露资源存在性,进入资源不存在/失效状态,重新加载version和差异，禁止盲目覆盖,展示业务原因并保留安全输入,显示服务端重试时间,保留上下文和requestId，提供人工重试,FROZEN_V1.2.2
paymentPostOrdersByOrdernoPayments,POST,/api/v1/orders/{orderNo}/payments,创建第三方支付,登录,R17,COMMON-400-VALIDATION;COMMON-401-UNAUTHENTICATED;COMMON-403-FORBIDDEN;COMMON-404-NOT_FOUND;COMMON-409-VERSION_CONFLICT;COMMON-422-BUSINESS_RULE;COMMON-429-RATE_LIMITED;COMMON-500-INTERNAL;PAYMENT-409-AMOUNT_MISMATCH;PAYMENT-422-GATEWAY_REJECTED,逐字段映射，不使用通用失败Toast,刷新/重新认证并恢复安全目标,收回操作入口且不泄露资源存在性,进入资源不存在/失效状态,重新加载version和差异，禁止盲目覆盖,展示业务原因并保留安全输入,显示服务端重试时间,保留上下文和requestId，提供人工重试,FROZEN_V1.2.2
paymentGetOrdersByOrdernoPaymentStatus,GET,/api/v1/orders/{orderNo}/payment-status,查询支付状态,登录,R17,COMMON-400-VALIDATION;COMMON-401-UNAUTHENTICATED;COMMON-403-FORBIDDEN;COMMON-404-NOT_FOUND;COMMON-409-VERSION_CONFLICT;COMMON-422-BUSINESS_RULE;COMMON-429-RATE_LIMITED;COMMON-500-INTERNAL;PAYMENT-409-AMOUNT_MISMATCH;PAYMENT-422-GATEWAY_REJECTED,逐字段映射，不使用通用失败Toast,刷新/重新认证并恢复安全目标,收回操作入口且不泄露资源存在性,进入资源不存在/失效状态,重新加载version和差异，禁止盲目覆盖,展示业务原因并保留安全输入,显示服务端重试时间,保留上下文和requestId，提供人工重试,FROZEN_V1.2.2
paymentPostPaymentByGatewayNotify,POST,/public-api/v1/payment/{gateway}/notify,支付异步回调,供应商签名,R17,COMMON-400-VALIDATION;COMMON-401-UNAUTHENTICATED;COMMON-403-FORBIDDEN;COMMON-404-NOT_FOUND;COMMON-409-VERSION_CONFLICT;COMMON-422-BUSINESS_RULE;COMMON-429-RATE_LIMITED;COMMON-500-INTERNAL;PAYMENT-409-AMOUNT_MISMATCH;PAYMENT-422-GATEWAY_REJECTED,逐字段映射，不使用通用失败Toast,刷新/重新认证并恢复安全目标,收回操作入口且不泄露资源存在性,进入资源不存在/失效状态,重新加载version和差异，禁止盲目覆盖,展示业务原因并保留安全输入,显示服务端重试时间,保留上下文和requestId，提供人工重试,FROZEN_V1.2.2
rewardGetMeRewardAccount,GET,/api/v1/me/reward-account,奖励账户,登录+实名,R24,COMMON-400-VALIDATION;COMMON-401-UNAUTHENTICATED;COMMON-403-FORBIDDEN;COMMON-404-NOT_FOUND;COMMON-409-VERSION_CONFLICT;COMMON-422-BUSINESS_RULE;COMMON-429-RATE_LIMITED;COMMON-500-INTERNAL;IDENTITY-422-NOT_VERIFIED;REWARD-423-RISK_FROZEN,逐字段映射，不使用通用失败Toast,刷新/重新认证并恢复安全目标,收回操作入口且不泄露资源存在性,进入资源不存在/失效状态,重新加载version和差异，禁止盲目覆盖,展示业务原因并保留安全输入,显示服务端重试时间,保留上下文和requestId，提供人工重试,FROZEN_V1.2.2
rewardGetMeRewardLedger,GET,/api/v1/me/reward-ledger,奖励流水,登录+实名,R24,COMMON-400-VALIDATION;COMMON-401-UNAUTHENTICATED;COMMON-403-FORBIDDEN;COMMON-404-NOT_FOUND;COMMON-409-VERSION_CONFLICT;COMMON-422-BUSINESS_RULE;COMMON-429-RATE_LIMITED;COMMON-500-INTERNAL;IDENTITY-422-NOT_VERIFIED;REWARD-423-RISK_FROZEN,逐字段映射，不使用通用失败Toast,刷新/重新认证并恢复安全目标,收回操作入口且不泄露资源存在性,进入资源不存在/失效状态,重新加载version和差异，禁止盲目覆盖,展示业务原因并保留安全输入,显示服务端重试时间,保留上下文和requestId，提供人工重试,FROZEN_V1.2.2
withdrawalGetMePayoutAccount,GET,/api/v1/me/payout-account,支付宝账户,登录+实名,R24,COMMON-400-VALIDATION;COMMON-401-UNAUTHENTICATED;COMMON-403-FORBIDDEN;COMMON-404-NOT_FOUND;COMMON-409-VERSION_CONFLICT;COMMON-422-BUSINESS_RULE;COMMON-429-RATE_LIMITED;COMMON-500-INTERNAL;IDENTITY-422-NOT_VERIFIED;WITHDRAWAL-422-BALANCE_INSUFFICIENT;WITHDRAWAL-409-DUPLICATE,逐字段映射，不使用通用失败Toast,刷新/重新认证并恢复安全目标,收回操作入口且不泄露资源存在性,进入资源不存在/失效状态,重新加载version和差异，禁止盲目覆盖,展示业务原因并保留安全输入,显示服务端重试时间,保留上下文和requestId，提供人工重试,FROZEN_V1.2.2
withdrawalPutMePayoutAccount,PUT,/api/v1/me/payout-account,绑定/修改支付宝,登录+实名,R24,COMMON-400-VALIDATION;COMMON-401-UNAUTHENTICATED;COMMON-403-FORBIDDEN;COMMON-404-NOT_FOUND;COMMON-409-VERSION_CONFLICT;COMMON-422-BUSINESS_RULE;COMMON-429-RATE_LIMITED;COMMON-500-INTERNAL;IDENTITY-422-NOT_VERIFIED;WITHDRAWAL-422-BALANCE_INSUFFICIENT;WITHDRAWAL-409-DUPLICATE,逐字段映射，不使用通用失败Toast,刷新/重新认证并恢复安全目标,收回操作入口且不泄露资源存在性,进入资源不存在/失效状态,重新加载version和差异，禁止盲目覆盖,展示业务原因并保留安全输入,显示服务端重试时间,保留上下文和requestId，提供人工重试,FROZEN_V1.2.2
withdrawalPostWithdrawalsQuote,POST,/api/v1/withdrawals/quote,提现手续费报价,登录+实名,R24,COMMON-400-VALIDATION;COMMON-401-UNAUTHENTICATED;COMMON-403-FORBIDDEN;COMMON-404-NOT_FOUND;COMMON-409-VERSION_CONFLICT;COMMON-422-BUSINESS_RULE;COMMON-429-RATE_LIMITED;COMMON-500-INTERNAL;IDENTITY-422-NOT_VERIFIED;WITHDRAWAL-422-BALANCE_INSUFFICIENT;WITHDRAWAL-409-DUPLICATE,逐字段映射，不使用通用失败Toast,刷新/重新认证并恢复安全目标,收回操作入口且不泄露资源存在性,进入资源不存在/失效状态,重新加载version和差异，禁止盲目覆盖,展示业务原因并保留安全输入,显示服务端重试时间,保留上下文和requestId，提供人工重试,FROZEN_V1.2.2
withdrawalPostWithdrawals,POST,/api/v1/withdrawals,提交提现,登录+实名,R24,COMMON-400-VALIDATION;COMMON-401-UNAUTHENTICATED;COMMON-403-FORBIDDEN;COMMON-404-NOT_FOUND;COMMON-409-VERSION_CONFLICT;COMMON-422-BUSINESS_RULE;COMMON-429-RATE_LIMITED;COMMON-500-INTERNAL;IDENTITY-422-NOT_VERIFIED;WITHDRAWAL-422-BALANCE_INSUFFICIENT;WITHDRAWAL-409-DUPLICATE,逐字段映射，不使用通用失败Toast,刷新/重新认证并恢复安全目标,收回操作入口且不泄露资源存在性,进入资源不存在/失效状态,重新加载version和差异，禁止盲目覆盖,展示业务原因并保留安全输入,显示服务端重试时间,保留上下文和requestId，提供人工重试,FROZEN_V1.2.2
withdrawalGetMeWithdrawals,GET,/api/v1/me/withdrawals,提现记录,登录+实名,R24,COMMON-400-VALIDATION;COMMON-401-UNAUTHENTICATED;COMMON-403-FORBIDDEN;COMMON-404-NOT_FOUND;COMMON-409-VERSION_CONFLICT;COMMON-422-BUSINESS_RULE;COMMON-429-RATE_LIMITED;COMMON-500-INTERNAL;IDENTITY-422-NOT_VERIFIED;WITHDRAWAL-422-BALANCE_INSUFFICIENT;WITHDRAWAL-409-DUPLICATE,逐字段映射，不使用通用失败Toast,刷新/重新认证并恢复安全目标,收回操作入口且不泄露资源存在性,进入资源不存在/失效状态,重新加载version和差异，禁止盲目覆盖,展示业务原因并保留安全输入,显示服务端重试时间,保留上下文和requestId，提供人工重试,FROZEN_V1.2.2
referralGetMeReferralOverview,GET,/api/v1/me/referral/overview,推广概览,登录+实名,R25-R26,COMMON-400-VALIDATION;COMMON-401-UNAUTHENTICATED;COMMON-403-FORBIDDEN;COMMON-404-NOT_FOUND;COMMON-409-VERSION_CONFLICT;COMMON-422-BUSINESS_RULE;COMMON-429-RATE_LIMITED;COMMON-500-INTERNAL;IDENTITY-422-NOT_VERIFIED,逐字段映射，不使用通用失败Toast,刷新/重新认证并恢复安全目标,收回操作入口且不泄露资源存在性,进入资源不存在/失效状态,重新加载version和差异，禁止盲目覆盖,展示业务原因并保留安全输入,显示服务端重试时间,保留上下文和requestId，提供人工重试,FROZEN_V1.2.2
referralGetMeReferralInviteAssets,GET,/api/v1/me/referral/invite-assets,邀请链接二维码文案,登录+实名,R25-R26,COMMON-400-VALIDATION;COMMON-401-UNAUTHENTICATED;COMMON-403-FORBIDDEN;COMMON-404-NOT_FOUND;COMMON-409-VERSION_CONFLICT;COMMON-422-BUSINESS_RULE;COMMON-429-RATE_LIMITED;COMMON-500-INTERNAL;IDENTITY-422-NOT_VERIFIED,逐字段映射，不使用通用失败Toast,刷新/重新认证并恢复安全目标,收回操作入口且不泄露资源存在性,进入资源不存在/失效状态,重新加载version和差异，禁止盲目覆盖,展示业务原因并保留安全输入,显示服务端重试时间,保留上下文和requestId，提供人工重试,FROZEN_V1.2.2
referralGetMeReferralPosters,GET,/api/v1/me/referral/posters,海报模板,登录+实名,R25-R26,COMMON-400-VALIDATION;COMMON-401-UNAUTHENTICATED;COMMON-403-FORBIDDEN;COMMON-404-NOT_FOUND;COMMON-409-VERSION_CONFLICT;COMMON-422-BUSINESS_RULE;COMMON-429-RATE_LIMITED;COMMON-500-INTERNAL;IDENTITY-422-NOT_VERIFIED,逐字段映射，不使用通用失败Toast,刷新/重新认证并恢复安全目标,收回操作入口且不泄露资源存在性,进入资源不存在/失效状态,重新加载version和差异，禁止盲目覆盖,展示业务原因并保留安全输入,显示服务端重试时间,保留上下文和requestId，提供人工重试,FROZEN_V1.2.2
referralGetMeReferralDirectUsers,GET,/api/v1/me/referral/direct-users,直推用户和活跃进度,登录+实名,R25-R26,COMMON-400-VALIDATION;COMMON-401-UNAUTHENTICATED;COMMON-403-FORBIDDEN;COMMON-404-NOT_FOUND;COMMON-409-VERSION_CONFLICT;COMMON-422-BUSINESS_RULE;COMMON-429-RATE_LIMITED;COMMON-500-INTERNAL;IDENTITY-422-NOT_VERIFIED,逐字段映射，不使用通用失败Toast,刷新/重新认证并恢复安全目标,收回操作入口且不泄露资源存在性,进入资源不存在/失效状态,重新加载version和差异，禁止盲目覆盖,展示业务原因并保留安全输入,显示服务端重试时间,保留上下文和requestId，提供人工重试,FROZEN_V1.2.2
referralGetMeReferralLevel2Users,GET,/api/v1/me/referral/level2-users,二级用户,登录+实名,R25-R26,COMMON-400-VALIDATION;COMMON-401-UNAUTHENTICATED;COMMON-403-FORBIDDEN;COMMON-404-NOT_FOUND;COMMON-409-VERSION_CONFLICT;COMMON-422-BUSINESS_RULE;COMMON-429-RATE_LIMITED;COMMON-500-INTERNAL;IDENTITY-422-NOT_VERIFIED,逐字段映射，不使用通用失败Toast,刷新/重新认证并恢复安全目标,收回操作入口且不泄露资源存在性,进入资源不存在/失效状态,重新加载version和差异，禁止盲目覆盖,展示业务原因并保留安全输入,显示服务端重试时间,保留上下文和requestId，提供人工重试,FROZEN_V1.2.2
referralGetMeReferralCommissions,GET,/api/v1/me/referral/commissions,一级二级佣金,登录+实名,R25-R26,COMMON-400-VALIDATION;COMMON-401-UNAUTHENTICATED;COMMON-403-FORBIDDEN;COMMON-404-NOT_FOUND;COMMON-409-VERSION_CONFLICT;COMMON-422-BUSINESS_RULE;COMMON-429-RATE_LIMITED;COMMON-500-INTERNAL;IDENTITY-422-NOT_VERIFIED,逐字段映射，不使用通用失败Toast,刷新/重新认证并恢复安全目标,收回操作入口且不泄露资源存在性,进入资源不存在/失效状态,重新加载version和差异，禁止盲目覆盖,展示业务原因并保留安全输入,显示服务端重试时间,保留上下文和requestId，提供人工重试,FROZEN_V1.2.2
referralGetMeReferralActivityRewards,GET,/api/v1/me/referral/activity-rewards,直推阶梯奖励,登录+实名,R25-R26,COMMON-400-VALIDATION;COMMON-401-UNAUTHENTICATED;COMMON-403-FORBIDDEN;COMMON-404-NOT_FOUND;COMMON-409-VERSION_CONFLICT;COMMON-422-BUSINESS_RULE;COMMON-429-RATE_LIMITED;COMMON-500-INTERNAL;IDENTITY-422-NOT_VERIFIED,逐字段映射，不使用通用失败Toast,刷新/重新认证并恢复安全目标,收回操作入口且不泄露资源存在性,进入资源不存在/失效状态,重新加载version和差异，禁止盲目覆盖,展示业务原因并保留安全输入,显示服务端重试时间,保留上下文和requestId，提供人工重试,FROZEN_V1.2.2
taskGetTasks,GET,/api/v1/tasks,任务列表和进度,登录,R27,COMMON-400-VALIDATION;COMMON-401-UNAUTHENTICATED;COMMON-403-FORBIDDEN;COMMON-404-NOT_FOUND;COMMON-409-VERSION_CONFLICT;COMMON-422-BUSINESS_RULE;COMMON-429-RATE_LIMITED;COMMON-500-INTERNAL,逐字段映射，不使用通用失败Toast,刷新/重新认证并恢复安全目标,收回操作入口且不泄露资源存在性,进入资源不存在/失效状态,重新加载version和差异，禁止盲目覆盖,展示业务原因并保留安全输入,显示服务端重试时间,保留上下文和requestId，提供人工重试,FROZEN_V1.2.2
taskPostTasksByIdClaim,POST,/api/v1/tasks/{id}/claim,领取任务奖励,登录,R27,COMMON-400-VALIDATION;COMMON-401-UNAUTHENTICATED;COMMON-403-FORBIDDEN;COMMON-404-NOT_FOUND;COMMON-409-VERSION_CONFLICT;COMMON-422-BUSINESS_RULE;COMMON-429-RATE_LIMITED;COMMON-500-INTERNAL,逐字段映射，不使用通用失败Toast,刷新/重新认证并恢复安全目标,收回操作入口且不泄露资源存在性,进入资源不存在/失效状态,重新加载version和差异，禁止盲目覆盖,展示业务原因并保留安全输入,显示服务端重试时间,保留上下文和requestId，提供人工重试,FROZEN_V1.2.2
taskGetMePoints,GET,/api/v1/me/points,个人任务积分,登录,R27,COMMON-400-VALIDATION;COMMON-401-UNAUTHENTICATED;COMMON-403-FORBIDDEN;COMMON-404-NOT_FOUND;COMMON-409-VERSION_CONFLICT;COMMON-422-BUSINESS_RULE;COMMON-429-RATE_LIMITED;COMMON-500-INTERNAL,逐字段映射，不使用通用失败Toast,刷新/重新认证并恢复安全目标,收回操作入口且不泄露资源存在性,进入资源不存在/失效状态,重新加载version和差异，禁止盲目覆盖,展示业务原因并保留安全输入,显示服务端重试时间,保留上下文和requestId，提供人工重试,FROZEN_V1.2.2
taskGetMePointLedger,GET,/api/v1/me/point-ledger,积分明细,登录,R27,COMMON-400-VALIDATION;COMMON-401-UNAUTHENTICATED;COMMON-403-FORBIDDEN;COMMON-404-NOT_FOUND;COMMON-409-VERSION_CONFLICT;COMMON-422-BUSINESS_RULE;COMMON-429-RATE_LIMITED;COMMON-500-INTERNAL,逐字段映射，不使用通用失败Toast,刷新/重新认证并恢复安全目标,收回操作入口且不泄露资源存在性,进入资源不存在/失效状态,重新加载version和差异，禁止盲目覆盖,展示业务原因并保留安全输入,显示服务端重试时间,保留上下文和requestId，提供人工重试,FROZEN_V1.2.2
supportGetHelpArticles,GET,/api/v1/help/articles,帮助列表,登录,R15,COMMON-400-VALIDATION;COMMON-401-UNAUTHENTICATED;COMMON-403-FORBIDDEN;COMMON-404-NOT_FOUND;COMMON-409-VERSION_CONFLICT;COMMON-422-BUSINESS_RULE;COMMON-429-RATE_LIMITED;COMMON-500-INTERNAL,逐字段映射，不使用通用失败Toast,刷新/重新认证并恢复安全目标,收回操作入口且不泄露资源存在性,进入资源不存在/失效状态,重新加载version和差异，禁止盲目覆盖,展示业务原因并保留安全输入,显示服务端重试时间,保留上下文和requestId，提供人工重试,FROZEN_V1.2.2
